alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
59,0.000E+00,0.000E+00,9.850E-03,0.000E+00,4.702E-03,0.000E+00,2.441E-06,3.906E-06,5.177E-03,1.977E-02,9.848E-03,1.961E-02,1.400E+00,1.611E+00,-5.850E-01,8.087E+00,2.191E+00,3.142E+00,-1.226E-03,2.578E+00,2.558E+00,6.242E-02,4.639E+00,1.598E+00,-3.385E-01,4.219E+00,2.271E+00,3.142E+00,-3.660E-03,2.832E+00,2.768E+00,2.685E-01,1.428E+00,1.617E+00,-4.177E-01,5.153E+00,2.170E+00,3.142E+00,-2.745E-03,2.732E+00,2.685E+00,9.623E-02,3.604E+00,1.689E+00,-6.391E-01,7.659E+00,2.012E+00,3.142E+00,-1.254E-03,2.462E+00,2.443E+00,5.100E-02,5.355E+00
60,0.000E+00,0.000E+00,1.013E-02,0.000E+00,4.899E-03,0.000E+00,2.930E-06,4.883E-06,5.322E-03,2.034E-02,1.016E-02,2.027E-02,1.444E+00,1.604E+00,-5.890E-01,8.241E+00,2.220E+00,3.142E+00,-5.635E-04,2.565E+00,2.556E+00,6.193E-02,4.666E+00,1.595E+00,-3.369E-01,4.183E+00,2.300E+00,3.142E+00,-4.327E-03,2.843E+00,2.766E+00,2.676E-01,1.432E+00,1.614E+00,-4.185E-01,5.184E+00,2.181E+00,3.142E+00,-2.520E-03,2.716E+00,2.673E+00,9.497E-02,3.642E+00,1.694E+00,-6.411E-01,7.443E+00,2.022E+00,3.142E+00,-7.874E-04,2.432E+00,2.420E+00,5.032E-02,5.407E+00
61,0.000E+00,0.000E+00,1.096E-02,0.000E+00,5.227E-03,0.000E+00,3.418E-06,4.883E-06,5.803E-03,2.210E-02,1.105E-02,2.164E-02,1.559E+00,1.596E+00,-6.257E-01,9.706E+00,2.183E+00,3.142E+00,7.831E-04,2.580E+00,2.593E+00,6.244E-02,4.638E+00,1.575E+00,-3.777E-01,5.258E+00,2.221E+00,3.142E+00,-3.415E-03,2.802E+00,2.742E+00,2.677E-01,1.431E+00,1.602E+00,-4.567E-01,6.279E+00,2.121E+00,3.142E+00,-2.606E-03,2.743E+00,2.698E+00,9.594E-02,3.612E+00,1.650E+00,-6.532E-01,8.740E+00,2.103E+00,3.142E+00,-1.029E-03,2.416E+00,2.400E+00,5.032E-02,5.407E+00
62,0.000E+00,0.000E+00,1.137E-02,0.000E+00,5.391E-03,0.000E+00,3.662E-06,4.883E-06,6.043E-03,2.299E-02,1.149E-02,2.233E-02,1.617E+00,1.595E+00,-6.440E-01,1.044E+01,2.165E+00,3.142E+00,1.456E-03,2.587E+00,2.611E+00,6.269E-02,4.623E+00,1.570E+00,-3.981E-01,5.795E+00,2.182E+00,3.142E+00,-2.959E-03,2.782E+00,2.730E+00,2.678E-01,1.431E+00,1.600E+00,-4.758E-01,6.826E+00,2.091E+00,3.142E+00,-2.648E-03,2.756E+00,2.710E+00,9.643E-02,3.596E+00,1.631E+00,-6.593E-01,9.388E+00,2.143E+00,3.142E+00,-1.150E-03,2.407E+00,2.391E+00,5.033E-02,5.406E+00
63,0.000E+00,0.000E+00,1.178E-02,0.000E+00,5.555E-03,0.000E+00,3.906E-06,4.883E-06,6.283E-03,2.387E-02,1.193E-02,2.301E-02,1.675E+00,1.595E+00,-6.624E-01,1.117E+01,2.146E+00,3.142E+00,2.130E-03,2.595E+00,2.630E+00,6.294E-02,4.609E+00,1.569E+00,-4.186E-01,6.333E+00,2.143E+00,3.142E+00,-2.502E-03,2.762E+00,2.718E+00,2.679E-01,1.430E+00,1.599E+00,-4.949E-01,7.374E+00,2.061E+00,3.142E+00,-2.691E-03,2.770E+00,2.723E+00,9.691E-02,3.581E+00,1.612E+00,-6.653E-01,1.004E+01,2.183E+00,3.142E+00,-1.270E-03,2.399E+00,2.381E+00,5.033E-02,5.406E+00
64,0.000E+00,0.000E+00,1.280E-02,0.000E+00,5.472E-03,0.000E+00,6.348E-06,6.836E-06,7.306E-03,2.728E-02,1.286E-02,2.354E-02,1.813E+00,1.570E+00,-6.403E-01,1.060E+01,2.271E+00,3.142E+00,-1.017E-03,2.578E+00,2.563E+00,6.422E-02,4.540E+00,1.548E+00,-4.724E-01,8.811E+00,2.022E+00,3.142E+00,-2.478E-03,2.674E+00,2.633E+00,2.657E-01,1.441E+00,1.576E+00,-5.043E-01,8.023E+00,2.110E+00,3.142E+00,-1.072E-03,2.707E+00,2.689E+00,9.792E-02,3.551E+00,1.610E+00,-6.879E-01,1.082E+01,2.180E+00,3.142E+00,1.047E-03,2.405E+00,2.421E+00,4.899E-02,5.518E+00
65,0.000E+00,0.000E+00,1.332E-02,0.000E+00,5.430E-03,0.000E+00,7.568E-06,7.813E-06,7.817E-03,2.898E-02,1.332E-02,2.380E-02,1.882E+00,1.558E+00,-6.293E-01,1.031E+01,2.333E+00,3.142E+00,-2.591E-03,2.569E+00,2.530E+00,6.486E-02,4.505E+00,1.549E+00,-4.993E-01,1.005E+01,1.962E+00,3.142E+00,-2.466E-03,2.630E+00,2.590E+00,2.645E-01,1.446E+00,1.565E+00,-5.090E-01,8.348E+00,2.135E+00,3.142E+00,-2.620E-04,2.676E+00,2.671E+00,9.843E-02,3.535E+00,1.609E+00,-6.992E-01,1.122E+01,2.179E+00,3.142E+00,2.206E-03,2.408E+00,2.441E+00,4.832E-02,5.574E+00
66,0.000E+00,0.000E+00,1.383E-02,0.000E+00,5.389E-03,0.000E+00,8.789E-06,8.789E-06,8.328E-03,3.069E-02,1.378E-02,2.407E-02,1.951E+00,1.546E+00,-6.182E-01,1.002E+01,2.396E+00,3.142E+00,-4.164E-03,2.561E+00,2.496E+00,6.550E-02,4.470E+00,1.554E+00,-5.262E-01,1.129E+01,1.902E+00,3.142E+00,-2.453E-03,2.586E+00,2.547E+00,2.634E-01,1.452E+00,1.555E+00,-5.136E-01,8.673E+00,2.159E+00,3.142E+00,5.476E-04,2.645E+00,2.654E+00,9.893E-02,3.520E+00,1.609E+00,-7.105E-01,1.161E+01,2.178E+00,3.142E+00,3.365E-03,2.410E+00,2.461E+00,4.765E-02,5.630E+00
67,0.000E+00,0.000E+00,1.515E-02,0.000E+00,5.670E-03,0.000E+00,9.766E-06,9.766E-06,9.400E-03,3.402E-02,1.504E-02,2.574E-02,2.134E+00,1.490E+00,-7.235E-01,2.108E+01,2.234E+00,3.142E+00,-1.455E-04,2.505E+00,2.502E+00,6.432E-02,4.534E+00,1.541E+00,-5.463E-01,1.329E+01,1.861E+00,3.142E+00,-1.765E-03,2.638E+00,2.610E+00,2.664E-01,1.438E+00,1.532E+00,-5.692E-01,1.237E+01,2.055E+00,3.142E+00,4.587E-03,2.536E+00,2.607E+00,9.795E-02,3.550E+00,1.571E+00,-7.138E-01,1.257E+01,2.300E+00,3.142E+00,1.199E-04,2.485E+00,2.486E+00,4.837E-02,5.569E+00
68,0.000E+00,0.000E+00,1.581E-02,0.000E+00,5.811E-03,0.000E+00,1.025E-05,1.025E-05,9.937E-03,3.569E-02,1.567E-02,2.657E-02,2.226E+00,1.498E+00,-7.761E-01,2.662E+01,2.153E+00,3.142E+00,1.864E-03,2.477E+00,2.506E+00,6.373E-02,4.566E+00,1.538E+00,-5.564E-01,1.429E+01,1.841E+00,3.142E+00,-1.421E-03,2.664E+00,2.641E+00,2.679E-01,1.431E+00,1.532E+00,-5.969E-01,1.422E+01,2.003E+00,3.142E+00,6.607E-03,2.482E+00,2.584E+00,9.746E-02,3.564E+00,1.554E+00,-7.155E-01,1.304E+01,2.362E+00,3.142E+00,-1.503E-03,2.523E+00,2.498E+00,4.873E-02,5.538E+00
