alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,2.257E-03,0.000E+00,1.484E-03,0.000E+00,0.000E+00,0.000E+00,7.578E-04,3.265E-03,2.233E-03,5.368E-03,3.131E-01,1.819E+00,-1.923E-02,1.484E+00,1.293E+00,3.142E+00,5.679E-04,2.440E+00,2.448E+00,7.236E-02,4.139E+00,1.749E+00,-2.582E-02,1.758E+00,1.398E+00,3.142E+00,-2.130E-03,2.689E+00,2.654E+00,3.072E-01,1.268E+00,1.730E+00,-9.109E-02,2.259E+00,1.438E+00,3.142E+00,-1.003E-03,2.616E+00,2.600E+00,1.163E-01,3.072E+00,1.784E+00,-1.396E-03,1.418E+00,1.421E+00,3.142E+00,-6.955E-03,2.437E+00,2.336E+00,6.387E-02,4.518E+00
1,0.000E+00,0.000E+00,2.262E-03,0.000E+00,1.479E-03,0.000E+00,0.000E+00,0.000E+00,7.706E-04,3.334E-03,2.250E-03,5.387E-03,3.152E-01,1.806E+00,-2.203E-02,1.477E+00,1.371E+00,3.142E+00,-9.151E-05,2.458E+00,2.456E+00,7.291E-02,4.115E+00,1.733E+00,-2.233E-02,1.711E+00,1.491E+00,3.142E+00,-1.818E-03,2.678E+00,2.648E+00,3.050E-01,1.276E+00,1.727E+00,-9.147E-02,2.223E+00,1.473E+00,3.142E+00,-1.177E-03,2.627E+00,2.608E+00,1.157E-01,3.086E+00,1.788E+00,-8.098E-03,1.417E+00,1.438E+00,3.142E+00,-5.721E-03,2.414E+00,2.331E+00,6.344E-02,4.542E+00
2,0.000E+00,0.000E+00,2.267E-03,0.000E+00,1.474E-03,0.000E+00,0.000E+00,0.000E+00,7.834E-04,3.404E-03,2.266E-03,5.406E-03,3.174E-01,1.793E+00,-2.482E-02,1.470E+00,1.448E+00,3.142E+00,-7.509E-04,2.477E+00,2.465E+00,7.347E-02,4.092E+00,1.719E+00,-1.884E-02,1.665E+00,1.583E+00,3.142E+00,-1.507E-03,2.667E+00,2.642E+00,3.029E-01,1.285E+00,1.725E+00,-9.184E-02,2.186E+00,1.509E+00,3.142E+00,-1.352E-03,2.638E+00,2.615E+00,1.151E-01,3.101E+00,1.792E+00,-1.480E-02,1.416E+00,1.454E+00,3.142E+00,-4.487E-03,2.391E+00,2.325E+00,6.301E-02,4.567E+00
3,0.000E+00,0.000E+00,2.272E-03,0.000E+00,1.469E-03,0.000E+00,0.000E+00,0.000E+00,7.963E-04,3.474E-03,2.282E-03,5.425E-03,3.195E-01,1.781E+00,-2.761E-02,1.463E+00,1.526E+00,3.142E+00,-1.410E-03,2.495E+00,2.473E+00,7.402E-02,4.068E+00,1.707E+00,-1.535E-02,1.618E+00,1.675E+00,3.142E+00,-1.195E-03,2.656E+00,2.636E+00,3.007E-01,1.293E+00,1.723E+00,-9.222E-02,2.150E+00,1.544E+00,3.142E+00,-1.526E-03,2.648E+00,2.623E+00,1.145E-01,3.115E+00,1.796E+00,-2.150E-02,1.415E+00,1.471E+00,3.142E+00,-3.252E-03,2.368E+00,2.320E+00,6.257E-02,4.591E+00
4,0.000E+00,0.000E+00,2.275E-03,0.000E+00,1.466E-03,0.000E+00,0.000E+00,0.000E+00,8.027E-04,3.509E-03,2.290E-03,5.434E-03,3.206E-01,1.775E+00,-2.901E-02,1.459E+00,1.564E+00,3.142E+00,-1.740E-03,2.504E+00,2.477E+00,7.430E-02,4.057E+00,1.701E+00,-1.361E-02,1.595E+00,1.721E+00,3.142E+00,-1.039E-03,2.651E+00,2.633E+00,2.996E-01,1.297E+00,1.722E+00,-9.240E-02,2.132E+00,1.562E+00,3.142E+00,-1.613E-03,2.654E+00,2.627E+00,1.142E-01,3.122E+00,1.798E+00,-2.485E-02,1.415E+00,1.479E+00,3.142E+00,-2.635E-03,2.357E+00,2.317E+00,6.236E-02,4.603E+00
5,0.000E+00,0.000E+00,2.277E-03,0.000E+00,1.463E-03,0.000E+00,0.000E+00,0.000E+00,8.091E-04,3.544E-03,2.298E-03,5.444E-03,3.217E-01,1.770E+00,-3.041E-02,1.455E+00,1.603E+00,3.142E+00,-2.070E-03,2.513E+00,2.481E+00,7.457E-02,4.045E+00,1.695E+00,-1.187E-02,1.572E+00,1.767E+00,3.142E+00,-8.836E-04,2.645E+00,2.631E+00,2.986E-01,1.301E+00,1.721E+00,-9.259E-02,2.114E+00,1.580E+00,3.142E+00,-1.700E-03,2.659E+00,2.631E+00,1.138E-01,3.129E+00,1.800E+00,-2.820E-02,1.414E+00,1.487E+00,3.142E+00,-2.018E-03,2.345E+00,2.315E+00,6.214E-02,4.616E+00
6,0.000E+00,0.000E+00,2.282E-03,0.000E+00,1.458E-03,0.000E+00,0.000E+00,0.000E+00,8.219E-04,3.614E-03,2.315E-03,5.463E-03,3.238E-01,1.760E+00,-3.320E-02,1.448E+00,1.681E+00,3.142E+00,-2.729E-03,2.532E+00,2.489E+00,7.512E-02,4.022E+00,1.685E+00,-8.379E-03,1.525E+00,1.859E+00,3.142E+00,-5.721E-04,2.634E+00,2.625E+00,2.964E-01,1.309E+00,1.719E+00,-9.297E-02,2.078E+00,1.615E+00,3.142E+00,-1.875E-03,2.670E+00,2.639E+00,1.132E-01,3.143E+00,1.804E+00,-3.491E-02,1.413E+00,1.504E+00,3.142E+00,-7.832E-04,2.322E+00,2.309E+00,6.171E-02,4.640E+00
7,0.000E+00,0.000E+00,2.288E-03,0.000E+00,1.453E-03,0.000E+00,0.000E+00,0.000E+00,8.347E-04,3.684E-03,2.331E-03,5.482E-03,3.260E-01,1.750E+00,-3.599E-02,1.441E+00,1.758E+00,3.142E+00,-3.389E-03,2.550E+00,2.497E+00,7.568E-02,3.998E+00,1.677E+00,-4.892E-03,1.478E+00,1.951E+00,3.142E+00,-2.605E-04,2.623E+00,2.619E+00,2.942E-01,1.318E+00,1.718E+00,-9.334E-02,2.042E+00,1.651E+00,3.142E+00,-2.049E-03,2.681E+00,2.646E+00,1.126E-01,3.157E+00,1.808E+00,-4.161E-02,1.412E+00,1.520E+00,3.142E+00,4.512E-04,2.299E+00,2.304E+00,6.128E-02,4.665E+00
8,0.000E+00,0.000E+00,2.293E-03,0.000E+00,1.448E-03,0.000E+00,0.000E+00,0.000E+00,8.475E-04,3.753E-03,2.347E-03,5.501E-03,3.281E-01,1.741E+00,-3.879E-02,1.433E+00,1.836E+00,3.142E+00,-4.048E-03,2.569E+00,2.505E+00,7.623E-02,3.975E+00,1.669E+00,-1.404E-03,1.432E+00,2.043E+00,3.142E+00,5.098E-05,2.612E+00,2.613E+00,2.921E-01,1.326E+00,1.717E+00,-9.371E-02,2.006E+00,1.686E+00,3.142E+00,-2.223E-03,2.692E+00,2.654E+00,1.120E-01,3.171E+00,1.812E+00,-4.831E-02,1.411E+00,1.537E+00,3.142E+00,1.686E-03,2.276E+00,2.299E+00,6.084E-02,4.689E+00
9,0.000E+00,0.000E+00,2.295E-03,0.000E+00,1.445E-03,0.000E+00,0.000E+00,0.000E+00,8.539E-04,3.788E-03,2.355E-03,5.510E-03,3.292E-01,1.737E+00,-4.019E-02,1.430E+00,1.874E+00,3.142E+00,-4.378E-03,2.578E+00,2.509E+00,7.651E-02,3.963E+00,1.666E+00,3.394E-04,1.408E+00,2.089E+00,3.142E+00,2.067E-04,2.607E+00,2.610E+00,2.910E-01,1.330E+00,1.717E+00,-9.390E-02,1.988E+00,1.704E+00,3.142E+00,-2.310E-03,2.697E+00,2.658E+00,1.117E-01,3.178E+00,1.814E+00,-5.166E-02,1.410E+00,1.545E+00,3.142E+00,2.303E-03,2.265E+00,2.296E+00,6.063E-02,4.701E+00
10,0.000E+00,0.000E+00,2.298E-03,0.000E+00,1.442E-03,0.000E+00,0.000E+00,0.000E+00,8.604E-04,3.823E-03,2.363E-03,5.520E-03,3.303E-01,1.732E+00,-4.158E-02,1.426E+00,1.913E+00,3.142E+00,-4.708E-03,2.587E+00,2.513E+00,7.678E-02,3.951E+00,1.665E+00,2.083E-03,1.385E+00,2.135E+00,3.142E+00,3.625E-04,2.601E+00,2.607E+00,2.899E-01,1.334E+00,1.716E+00,-9.409E-02,1.970E+00,1.722E+00,3.142E+00,-2.397E-03,2.702E+00,2.662E+00,1.114E-01,3.185E+00,1.816E+00,-5.501E-02,1.410E+00,1.553E+00,3.142E+00,2.920E-03,2.253E+00,2.293E+00,6.041E-02,4.714E+00
11,0.000E+00,0.000E+00,2.353E-03,0.000E+00,1.481E-03,0.000E+00,0.000E+00,1.221E-07,8.710E-04,3.844E-03,2.426E-03,5.661E-03,3.375E-01,1.724E+00,-7.336E-02,1.683E+00,1.840E+00,3.142E+00,-4.982E-03,2.590E+00,2.511E+00,7.638E-02,3.968E+00,1.651E+00,-2.873E-02,1.624E+00,2.089E+00,3.142E+00,-1.792E-04,2.626E+00,2.622E+00,2.899E-01,1.335E+00,1.711E+00,-1.099E-01,2.090E+00,1.732E+00,3.142E+00,-2.098E-03,2.686E+00,2.651E+00,1.114E-01,3.186E+00,1.812E+00,-7.236E-02,1.510E+00,1.554E+00,3.142E+00,1.831E-03,2.286E+00,2.310E+00,6.099E-02,4.681E+00
12,0.000E+00,0.000E+00,2.408E-03,0.000E+00,1.520E-03,0.000E+00,0.000E+00,2.441E-07,8.816E-04,3.864E-03,2.490E-03,5.802E-03,3.447E-01,1.723E+00,-1.051E-01,1.941E+00,1.766E+00,3.142E+00,-5.256E-03,2.592E+00,2.509E+00,7.597E-02,3.985E+00,1.646E+00,-5.955E-02,1.863E+00,2.042E+00,3.142E+00,-7.209E-04,2.650E+00,2.637E+00,2.898E-01,1.335E+00,1.707E+00,-1.258E-01,2.211E+00,1.742E+00,3.142E+00,-1.799E-03,2.670E+00,2.639E+00,1.114E-01,3.186E+00,1.809E+00,-8.970E-02,1.610E+00,1.554E+00,3.142E+00,7.428E-04,2.319E+00,2.328E+00,6.158E-02,4.648E+00
13,0.000E+00,0.000E+00,2.463E-03,0.000E+00,1.558E-03,0.000E+00,0.000E+00,3.662E-07,8.922E-04,3.885E-03,2.553E-03,5.944E-03,3.518E-01,1.728E+00,-1.369E-01,2.198E+00,1.693E+00,3.142E+00,-5.530E-03,2.595E+00,2.508E+00,7.556E-02,4.002E+00,1.645E+00,-9.037E-02,2.103E+00,1.995E+00,3.142E+00,-1.263E-03,2.675E+00,2.653E+00,2.898E-01,1.335E+00,1.703E+00,-1.416E-01,2.332E+00,1.752E+00,3.142E+00,-1.500E-03,2.653E+00,2.628E+00,1.114E-01,3.186E+00,1.807E+00,-1.070E-01,1.710E+00,1.554E+00,3.142E+00,-3.459E-04,2.352E+00,2.345E+00,6.216E-02,4.616E+00
14,0.000E+00,0.000E+00,2.491E-03,0.000E+00,1.578E-03,0.000E+00,0.000E+00,4.272E-07,8.975E-04,3.895E-03,2.584E-03,6.014E-03,3.554E-01,1.733E+00,-1.528E-01,2.326E+00,1.656E+00,3.142E+00,-5.667E-03,2.596E+00,2.507E+00,7.536E-02,4.011E+00,1.646E+00,-1.058E-01,2.222E+00,1.971E+00,3.142E+00,-1.534E-03,2.687E+00,2.660E+00,2.897E-01,1.335E+00,1.701E+00,-1.496E-01,2.392E+00,1.757E+00,3.142E+00,-1.350E-03,2.645E+00,2.623E+00,1.114E-01,3.186E+00,1.806E+00,-1.157E-01,1.760E+00,1.555E+00,3.142E+00,-8.902E-04,2.369E+00,2.353E+00,6.245E-02,4.600E+00
15,0.000E+00,0.000E+00,2.518E-03,0.000E+00,1.597E-03,0.000E+00,0.000E+00,4.883E-07,9.028E-04,3.905E-03,2.616E-03,6.085E-03,3.590E-01,1.738E+00,-1.687E-01,2.455E+00,1.620E+00,3.142E+00,-5.804E-03,2.598E+00,2.506E+00,7.516E-02,4.019E+00,1.648E+00,-1.212E-01,2.342E+00,1.948E+00,3.142E+00,-1.804E-03,2.699E+00,2.668E+00,2.897E-01,1.335E+00,1.700E+00,-1.575E-01,2.452E+00,1.762E+00,3.142E+00,-1.201E-03,2.637E+00,2.617E+00,1.114E-01,3.186E+00,1.805E+00,-1.244E-01,1.811E+00,1.555E+00,3.142E+00,-1.435E-03,2.386E+00,2.362E+00,6.275E-02,4.583E+00
16,0.000E+00,0.000E+00,2.573E-03,0.000E+00,1.636E-03,0.000E+00,0.000E+00,6.104E-07,9.135E-04,3.926E-03,2.679E-03,6.226E-03,3.662E-01,1.753E+00,-2.005E-01,2.712E+00,1.546E+00,3.142E+00,-6.078E-03,2.600E+00,2.504E+00,7.475E-02,4.036E+00,1.654E+00,-1.520E-01,2.581E+00,1.901E+00,3.142E+00,-2.346E-03,2.724E+00,2.683E+00,2.897E-01,1.335E+00,1.697E+00,-1.734E-01,2.573E+00,1.772E+00,3.142E+00,-9.018E-04,2.621E+00,2.606E+00,1.114E-01,3.187E+00,1.805E+00,-1.417E-01,1.911E+00,1.555E+00,3.142E+00,-2.523E-03,2.419E+00,2.379E+00,6.333E-02,4.551E+00
17,0.000E+00,0.000E+00,2.628E-03,0.000E+00,1.675E-03,0.000E+00,0.000E+00,7.324E-07,9.241E-04,3.946E-03,2.742E-03,6.368E-03,3.734E-01,1.771E+00,-2.322E-01,2.970E+00,1.473E+00,3.142E+00,-6.353E-03,2.603E+00,2.503E+00,7.434E-02,4.053E+00,1.662E+00,-1.828E-01,2.820E+00,1.854E+00,3.142E+00,-2.888E-03,2.748E+00,2.698E+00,2.896E-01,1.336E+00,1.695E+00,-1.892E-01,2.694E+00,1.782E+00,3.142E+00,-6.027E-04,2.605E+00,2.594E+00,1.114E-01,3.187E+00,1.805E+00,-1.591E-01,2.011E+00,1.555E+00,3.142E+00,-3.612E-03,2.452E+00,2.396E+00,6.392E-02,4.518E+00
18,0.000E+00,0.000E+00,2.683E-03,0.000E+00,1.713E-03,0.000E+00,0.000E+00,8.545E-07,9.347E-04,3.967E-03,2.805E-03,6.509E-03,3.806E-01,1.792E+00,-2.640E-01,3.227E+00,1.400E+00,3.142E+00,-6.627E-03,2.605E+00,2.501E+00,7.393E-02,4.070E+00,1.674E+00,-2.136E-01,3.060E+00,1.807E+00,3.142E+00,-3.430E-03,2.773E+00,2.713E+00,2.895E-01,1.336E+00,1.694E+00,-2.051E-01,2.814E+00,1.792E+00,3.142E+00,-3.035E-04,2.588E+00,2.583E+00,1.113E-01,3.187E+00,1.805E+00,-1.764E-01,2.111E+00,1.556E+00,3.142E+00,-4.701E-03,2.485E+00,2.413E+00,6.450E-02,4.486E+00
19,0.000E+00,0.000E+00,2.711E-03,0.000E+00,1.733E-03,0.000E+00,0.000E+00,9.155E-07,9.400E-04,3.977E-03,2.837E-03,6.580E-03,3.842E-01,1.804E+00,-2.799E-01,3.355E+00,1.363E+00,3.142E+00,-6.764E-03,2.607E+00,2.500E+00,7.373E-02,4.079E+00,1.680E+00,-2.290E-01,3.179E+00,1.783E+00,3.142E+00,-3.700E-03,2.785E+00,2.721E+00,2.895E-01,1.336E+00,1.693E+00,-2.130E-01,2.875E+00,1.798E+00,3.142E+00,-1.540E-04,2.580E+00,2.577E+00,1.113E-01,3.187E+00,1.806E+00,-1.851E-01,2.161E+00,1.556E+00,3.142E+00,-5.245E-03,2.501E+00,2.422E+00,6.479E-02,4.469E+00
20,0.000E+00,0.000E+00,2.738E-03,0.000E+00,1.752E-03,0.000E+00,0.000E+00,9.766E-07,9.453E-04,3.987E-03,2.868E-03,6.650E-03,3.878E-01,1.817E+00,-2.958E-01,3.484E+00,1.326E+00,3.142E+00,-6.901E-03,2.608E+00,2.499E+00,7.353E-02,4.087E+00,1.687E+00,-2.444E-01,3.299E+00,1.760E+00,3.142E+00,-3.971E-03,2.797E+00,2.728E+00,2.895E-01,1.336E+00,1.693E+00,-2.209E-01,2.935E+00,1.803E+00,3.142E+00,-4.408E-06,2.572E+00,2.572E+00,1.113E-01,3.187E+00,1.806E+00,-1.938E-01,2.211E+00,1.556E+00,3.142E+00,-5.789E-03,2.518E+00,2.430E+00,6.508E-02,4.453E+00
21,0.000E+00,0.000E+00,2.820E-03,0.000E+00,1.793E-03,0.000E+00,0.000E+00,8.545E-07,9.875E-04,4.183E-03,2.939E-03,6.825E-03,3.996E-01,1.819E+00,-3.161E-01,3.712E+00,1.317E+00,3.142E+00,-5.629E-03,2.582E+00,2.493E+00,7.339E-02,4.093E+00,1.677E+00,-2.568E-01,3.484E+00,1.781E+00,3.142E+00,-3.890E-03,2.784E+00,2.716E+00,2.889E-01,1.339E+00,1.693E+00,-2.324E-01,3.027E+00,1.803E+00,3.142E+00,-2.185E-04,2.579E+00,2.576E+00,1.107E-01,3.204E+00,1.801E+00,-2.039E-01,2.234E+00,1.607E+00,3.142E+00,-5.292E-03,2.492E+00,2.412E+00,6.444E-02,4.490E+00
22,0.000E+00,0.000E+00,2.902E-03,0.000E+00,1.834E-03,0.000E+00,0.000E+00,7.324E-07,1.030E-03,4.378E-03,3.010E-03,6.999E-03,4.115E-01,1.822E+00,-3.365E-01,3.940E+00,1.308E+00,3.142E+00,-4.356E-03,2.557E+00,2.487E+00,7.325E-02,4.099E+00,1.668E+00,-2.692E-01,3.668E+00,1.802E+00,3.142E+00,-3.809E-03,2.770E+00,2.704E+00,2.882E-01,1.341E+00,1.694E+00,-2.439E-01,3.120E+00,1.804E+00,3.142E+00,-4.327E-04,2.586E+00,2.579E+00,1.100E-01,3.222E+00,1.795E+00,-2.141E-01,2.256E+00,1.658E+00,3.142E+00,-4.795E-03,2.466E+00,2.394E+00,6.379E-02,4.526E+00
23,0.000E+00,0.000E+00,2.984E-03,0.000E+00,1.876E-03,0.000E+00,0.000E+00,6.104E-07,1.072E-03,4.573E-03,3.080E-03,7.174E-03,4.233E-01,1.825E+00,-3.568E-01,4.167E+00,1.299E+00,3.142E+00,-3.084E-03,2.531E+00,2.481E+00,7.311E-02,4.106E+00,1.660E+00,-2.816E-01,3.853E+00,1.823E+00,3.142E+00,-3.728E-03,2.756E+00,2.692E+00,2.876E-01,1.344E+00,1.695E+00,-2.553E-01,3.212E+00,1.804E+00,3.142E+00,-6.468E-04,2.594E+00,2.583E+00,1.093E-01,3.239E+00,1.790E+00,-2.242E-01,2.279E+00,1.709E+00,3.142E+00,-4.297E-03,2.440E+00,2.376E+00,6.314E-02,4.562E+00
24,0.000E+00,0.000E+00,3.025E-03,0.000E+00,1.896E-03,0.000E+00,0.000E+00,5.493E-07,1.093E-03,4.671E-03,3.116E-03,7.261E-03,4.293E-01,1.828E+00,-3.670E-01,4.281E+00,1.294E+00,3.142E+00,-2.448E-03,2.518E+00,2.478E+00,7.304E-02,4.109E+00,1.656E+00,-2.878E-01,3.945E+00,1.834E+00,3.142E+00,-3.687E-03,2.749E+00,2.686E+00,2.873E-01,1.345E+00,1.695E+00,-2.611E-01,3.258E+00,1.805E+00,3.142E+00,-7.538E-04,2.597E+00,2.585E+00,1.090E-01,3.247E+00,1.787E+00,-2.293E-01,2.290E+00,1.734E+00,3.142E+00,-4.049E-03,2.427E+00,2.367E+00,6.281E-02,4.580E+00
25,0.000E+00,0.000E+00,3.066E-03,0.000E+00,1.917E-03,0.000E+00,0.000E+00,4.883E-07,1.114E-03,4.769E-03,3.151E-03,7.348E-03,4.352E-01,1.830E+00,-3.771E-01,4.395E+00,1.289E+00,3.142E+00,-1.812E-03,2.506E+00,2.476E+00,7.297E-02,4.112E+00,1.652E+00,-2.940E-01,4.038E+00,1.845E+00,3.142E+00,-3.647E-03,2.742E+00,2.680E+00,2.870E-01,1.346E+00,1.696E+00,-2.668E-01,3.304E+00,1.805E+00,3.142E+00,-8.609E-04,2.601E+00,2.587E+00,1.086E-01,3.256E+00,1.784E+00,-2.343E-01,2.301E+00,1.760E+00,3.142E+00,-3.800E-03,2.415E+00,2.358E+00,6.249E-02,4.599E+00
26,0.000E+00,0.000E+00,3.148E-03,0.000E+00,1.958E-03,0.000E+00,0.000E+00,3.662E-07,1.156E-03,4.964E-03,3.222E-03,7.523E-03,4.470E-01,1.836E+00,-3.975E-01,4.623E+00,1.280E+00,3.142E+00,-5.395E-04,2.480E+00,2.470E+00,7.283E-02,4.118E+00,1.645E+00,-3.063E-01,4.222E+00,1.866E+00,3.142E+00,-3.566E-03,2.728E+00,2.668E+00,2.864E-01,1.349E+00,1.697E+00,-2.783E-01,3.397E+00,1.805E+00,3.142E+00,-1.075E-03,2.608E+00,2.590E+00,1.079E-01,3.273E+00,1.779E+00,-2.445E-01,2.324E+00,1.810E+00,3.142E+00,-3.303E-03,2.389E+00,2.340E+00,6.184E-02,4.635E+00
27,0.000E+00,0.000E+00,3.230E-03,0.000E+00,2.000E-03,0.000E+00,0.000E+00,2.441E-07,1.199E-03,5.159E-03,3.292E-03,7.697E-03,4.589E-01,1.842E+00,-4.178E-01,4.851E+00,1.271E+00,3.142E+00,7.328E-04,2.454E+00,2.464E+00,7.270E-02,4.124E+00,1.639E+00,-3.187E-01,4.407E+00,1.887E+00,3.142E+00,-3.484E-03,2.715E+00,2.656E+00,2.857E-01,1.352E+00,1.698E+00,-2.898E-01,3.489E+00,1.806E+00,3.142E+00,-1.289E-03,2.615E+00,2.594E+00,1.073E-01,3.290E+00,1.774E+00,-2.546E-01,2.347E+00,1.861E+00,3.142E+00,-2.805E-03,2.363E+00,2.322E+00,6.119E-02,4.671E+00
28,0.000E+00,0.000E+00,3.312E-03,0.000E+00,2.041E-03,0.000E+00,0.000E+00,1.221E-07,1.241E-03,5.354E-03,3.363E-03,7.871E-03,4.707E-01,1.848E+00,-4.381E-01,5.078E+00,1.262E+00,3.142E+00,2.005E-03,2.429E+00,2.458E+00,7.256E-02,4.130E+00,1.633E+00,-3.311E-01,4.592E+00,1.908E+00,3.142E+00,-3.403E-03,2.701E+00,2.644E+00,2.851E-01,1.354E+00,1.699E+00,-3.012E-01,3.581E+00,1.806E+00,3.142E+00,-1.503E-03,2.622E+00,2.598E+00,1.066E-01,3.307E+00,1.769E+00,-2.648E-01,2.369E+00,1.912E+00,3.142E+00,-2.308E-03,2.337E+00,2.304E+00,6.055E-02,4.708E+00
29,0.000E+00,0.000E+00,3.353E-03,0.000E+00,2.061E-03,0.000E+00,0.000E+00,6.104E-08,1.262E-03,5.452E-03,3.398E-03,7.959E-03,4.767E-01,1.852E+00,-4.483E-01,5.192E+00,1.257E+00,3.142E+00,2.641E-03,2.416E+00,2.455E+00,7.249E-02,4.133E+00,1.630E+00,-3.373E-01,4.684E+00,1.919E+00,3.142E+00,-3.363E-03,2.694E+00,2.638E+00,2.848E-01,1.355E+00,1.700E+00,-3.070E-01,3.628E+00,1.807E+00,3.142E+00,-1.610E-03,2.626E+00,2.600E+00,1.063E-01,3.316E+00,1.767E+00,-2.698E-01,2.380E+00,1.938E+00,3.142E+00,-2.059E-03,2.324E+00,2.295E+00,6.022E-02,4.726E+00
30,0.000E+00,0.000E+00,3.394E-03,0.000E+00,2.082E-03,0.000E+00,0.000E+00,0.000E+00,1.283E-03,5.550E-03,3.434E-03,8.046E-03,4.826E-01,1.856E+00,-4.584E-01,5.306E+00,1.253E+00,3.142E+00,3.277E-03,2.403E+00,2.452E+00,7.242E-02,4.136E+00,1.628E+00,-3.435E-01,4.777E+00,1.929E+00,3.142E+00,-3.322E-03,2.687E+00,2.631E+00,2.845E-01,1.357E+00,1.701E+00,-3.127E-01,3.674E+00,1.807E+00,3.142E+00,-1.717E-03,2.629E+00,2.602E+00,1.059E-01,3.324E+00,1.765E+00,-2.749E-01,2.392E+00,1.963E+00,3.142E+00,-1.811E-03,2.311E+00,2.286E+00,5.990E-02,4.744E+00
31,0.000E+00,0.000E+00,3.648E-03,0.000E+00,2.232E-03,0.000E+00,0.000E+00,0.000E+00,1.417E-03,6.044E-03,3.690E-03,8.594E-03,5.199E-01,1.838E+00,-4.786E-01,5.801E+00,1.287E+00,3.142E+00,2.163E-03,2.438E+00,2.469E+00,7.178E-02,4.166E+00,1.626E+00,-3.429E-01,4.720E+00,1.950E+00,3.142E+00,-2.939E-03,2.697E+00,2.647E+00,2.839E-01,1.359E+00,1.694E+00,-3.183E-01,3.717E+00,1.845E+00,3.142E+00,-1.533E-03,2.636E+00,2.611E+00,1.053E-01,3.341E+00,1.750E+00,-3.045E-01,2.742E+00,1.945E+00,3.142E+00,-2.115E-03,2.334E+00,2.304E+00,5.926E-02,4.785E+00
32,0.000E+00,0.000E+00,3.775E-03,0.000E+00,2.307E-03,0.000E+00,0.000E+00,0.000E+00,1.484E-03,6.291E-03,3.818E-03,8.868E-03,5.386E-01,1.829E+00,-4.887E-01,6.048E+00,1.304E+00,3.142E+00,1.606E-03,2.455E+00,2.477E+00,7.146E-02,4.181E+00,1.626E+00,-3.427E-01,4.692E+00,1.960E+00,3.142E+00,-2.747E-03,2.701E+00,2.655E+00,2.837E-01,1.360E+00,1.691E+00,-3.211E-01,3.739E+00,1.863E+00,3.142E+00,-1.440E-03,2.640E+00,2.616E+00,1.050E-01,3.350E+00,1.745E+00,-3.192E-01,2.918E+00,1.936E+00,3.142E+00,-2.267E-03,2.346E+00,2.313E+00,5.894E-02,4.806E+00
33,0.000E+00,0.000E+00,3.902E-03,0.000E+00,2.382E-03,0.000E+00,0.000E+00,0.000E+00,1.551E-03,6.538E-03,3.946E-03,9.143E-03,5.573E-01,1.822E+00,-4.988E-01,6.295E+00,1.321E+00,3.142E+00,1.049E-03,2.472E+00,2.486E+00,7.113E-02,4.197E+00,1.625E+00,-3.424E-01,4.663E+00,1.971E+00,3.142E+00,-2.556E-03,2.706E+00,2.663E+00,2.834E-01,1.361E+00,1.688E+00,-3.238E-01,3.761E+00,1.882E+00,3.142E+00,-1.348E-03,2.643E+00,2.621E+00,1.047E-01,3.358E+00,1.741E+00,-3.340E-01,3.093E+00,1.927E+00,3.142E+00,-2.420E-03,2.357E+00,2.322E+00,5.862E-02,4.827E+00
34,0.000E+00,0.000E+00,4.029E-03,0.000E+00,2.457E-03,0.000E+00,0.000E+00,0.000E+00,1.618E-03,6.785E-03,4.074E-03,9.417E-03,5.759E-01,1.814E+00,-5.089E-01,6.542E+00,1.338E+00,3.142E+00,4.917E-04,2.489E+00,2.494E+00,7.081E-02,4.212E+00,1.625E+00,-3.421E-01,4.635E+00,1.981E+00,3.142E+00,-2.364E-03,2.711E+00,2.671E+00,2.831E-01,1.363E+00,1.685E+00,-3.266E-01,3.782E+00,1.901E+00,3.142E+00,-1.256E-03,2.647E+00,2.626E+00,1.044E-01,3.367E+00,1.738E+00,-3.488E-01,3.268E+00,1.919E+00,3.142E+00,-2.572E-03,2.369E+00,2.331E+00,5.830E-02,4.847E+00
