alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
10,0.000E+00,0.000E+00,2.884E-03,9.477E-04,0.000E+00,0.000E+00,1.562E-06,2.383E-03,1.015E-02,3.264E-01,1.679E+00,-3.942E-02,1.563E+00,2.057E+00,3.142E+00,3.757E-04,2.473E+00,2.479E+00,2.431E-01,1.547E+00,1.684E+00,-2.675E-02,1.482E+00,2.045E+00,3.142E+00,-3.264E-03,2.647E+00,2.594E+00,1.134E-01,3.139E+00,1.732E+00,-1.396E-01,2.232E+00,1.665E+00,3.142E+00,-3.102E-03,2.380E+00,2.335E+00,5.564E-02,5.015E+00
11,0.000E+00,0.000E+00,2.971E-03,9.894E-04,0.000E+00,9.766E-08,1.758E-06,2.425E-03,1.032E-02,3.336E-01,1.674E+00,-6.115E-02,1.722E+00,2.027E+00,3.142E+00,5.883E-04,2.468E+00,2.477E+00,2.407E-01,1.561E+00,1.684E+00,-5.136E-02,1.646E+00,1.997E+00,3.142E+00,-3.136E-03,2.649E+00,2.598E+00,1.124E-01,3.163E+00,1.733E+00,-1.373E-01,2.145E+00,1.711E+00,3.142E+00,-3.315E-03,2.392E+00,2.344E+00,5.580E-02,5.005E+00
12,0.000E+00,0.000E+00,3.058E-03,1.031E-03,0.000E+00,1.953E-07,1.953E-06,2.467E-03,1.049E-02,3.408E-01,1.672E+00,-8.289E-02,1.880E+00,1.996E+00,3.142E+00,8.009E-04,2.463E+00,2.475E+00,2.384E-01,1.575E+00,1.685E+00,-7.597E-02,1.810E+00,1.949E+00,3.142E+00,-3.007E-03,2.652E+00,2.602E+00,1.114E-01,3.188E+00,1.735E+00,-1.350E-01,2.057E+00,1.756E+00,3.142E+00,-3.528E-03,2.404E+00,2.353E+00,5.596E-02,4.994E+00
13,0.000E+00,0.000E+00,3.146E-03,1.073E-03,0.000E+00,2.930E-07,2.148E-06,2.509E-03,1.065E-02,3.480E-01,1.672E+00,-1.046E-01,2.038E+00,1.965E+00,3.142E+00,1.013E-03,2.458E+00,2.474E+00,2.360E-01,1.589E+00,1.690E+00,-1.006E-01,1.973E+00,1.901E+00,3.142E+00,-2.879E-03,2.654E+00,2.606E+00,1.104E-01,3.212E+00,1.737E+00,-1.327E-01,1.970E+00,1.802E+00,3.142E+00,-3.741E-03,2.417E+00,2.362E+00,5.612E-02,4.984E+00
14,0.000E+00,0.000E+00,3.190E-03,1.094E-03,0.000E+00,3.418E-07,2.246E-06,2.530E-03,1.074E-02,3.516E-01,1.673E+00,-1.155E-01,2.117E+00,1.950E+00,3.142E+00,1.120E-03,2.456E+00,2.473E+00,2.348E-01,1.596E+00,1.693E+00,-1.129E-01,2.055E+00,1.877E+00,3.142E+00,-2.815E-03,2.655E+00,2.609E+00,1.099E-01,3.224E+00,1.739E+00,-1.316E-01,1.927E+00,1.825E+00,3.142E+00,-3.848E-03,2.423E+00,2.366E+00,5.620E-02,4.978E+00
15,0.000E+00,0.000E+00,3.233E-03,1.114E-03,0.000E+00,3.906E-07,2.344E-06,2.551E-03,1.082E-02,3.552E-01,1.674E+00,-1.264E-01,2.197E+00,1.935E+00,3.142E+00,1.226E-03,2.454E+00,2.472E+00,2.336E-01,1.603E+00,1.696E+00,-1.252E-01,2.137E+00,1.853E+00,3.142E+00,-2.750E-03,2.656E+00,2.611E+00,1.095E-01,3.237E+00,1.741E+00,-1.304E-01,1.883E+00,1.847E+00,3.142E+00,-3.954E-03,2.429E+00,2.371E+00,5.628E-02,4.973E+00
16,0.000E+00,0.000E+00,3.321E-03,1.156E-03,0.000E+00,4.883E-07,2.539E-06,2.593E-03,1.099E-02,3.624E-01,1.678E+00,-1.481E-01,2.355E+00,1.904E+00,3.142E+00,1.439E-03,2.449E+00,2.470E+00,2.312E-01,1.617E+00,1.704E+00,-1.498E-01,2.301E+00,1.805E+00,3.142E+00,-2.622E-03,2.658E+00,2.615E+00,1.085E-01,3.261E+00,1.746E+00,-1.281E-01,1.796E+00,1.893E+00,3.142E+00,-4.167E-03,2.441E+00,2.380E+00,5.644E-02,4.963E+00
17,0.000E+00,0.000E+00,3.408E-03,1.198E-03,0.000E+00,5.859E-07,2.734E-06,2.635E-03,1.116E-02,3.696E-01,1.682E+00,-1.698E-01,2.513E+00,1.873E+00,3.142E+00,1.651E-03,2.444E+00,2.469E+00,2.289E-01,1.631E+00,1.714E+00,-1.744E-01,2.465E+00,1.757E+00,3.142E+00,-2.494E-03,2.660E+00,2.619E+00,1.075E-01,3.285E+00,1.751E+00,-1.258E-01,1.708E+00,1.938E+00,3.142E+00,-4.380E-03,2.454E+00,2.389E+00,5.660E-02,4.952E+00
18,0.000E+00,0.000E+00,3.495E-03,1.240E-03,0.000E+00,6.836E-07,2.930E-06,2.677E-03,1.133E-02,3.769E-01,1.688E+00,-1.916E-01,2.672E+00,1.843E+00,3.142E+00,1.864E-03,2.439E+00,2.467E+00,2.265E-01,1.645E+00,1.726E+00,-1.990E-01,2.629E+00,1.709E+00,3.142E+00,-2.365E-03,2.662E+00,2.623E+00,1.065E-01,3.310E+00,1.758E+00,-1.235E-01,1.621E+00,1.984E+00,3.142E+00,-4.593E-03,2.466E+00,2.397E+00,5.676E-02,4.942E+00
19,0.000E+00,0.000E+00,3.539E-03,1.260E-03,0.000E+00,7.324E-07,3.027E-06,2.698E-03,1.141E-02,3.805E-01,1.692E+00,-2.024E-01,2.751E+00,1.827E+00,3.142E+00,1.970E-03,2.436E+00,2.466E+00,2.253E-01,1.653E+00,1.732E+00,-2.113E-01,2.711E+00,1.685E+00,3.142E+00,-2.301E-03,2.663E+00,2.625E+00,1.060E-01,3.322E+00,1.762E+00,-1.223E-01,1.577E+00,2.007E+00,3.142E+00,-4.700E-03,2.472E+00,2.402E+00,5.683E-02,4.936E+00
