alpha,H,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
10,0.000E+00,0.000E+00,1.652E-03,0.000E+00,2.266E-03,3.298E-03,7.141E-04,3.226E-03,2.616E-01,1.805E+00,-1.304E-01,2.197E+00,1.327E+00,3.142E+00,-3.340E-03,2.511E+00,2.460E+00,8.814E-02,3.264E+00,1.669E+00,-6.604E-02,1.821E+00,1.981E+00,3.142E+00,-3.701E-03,2.735E+00,2.672E+00,1.124E-01,3.163E+00,1.718E+00,-3.620E-02,1.517E+00,1.852E+00,3.142E+00,-5.820E-03,2.653E+00,2.558E+00,6.320E-02,4.555E+00
11,0.000E+00,0.000E+00,1.673E-03,0.000E+00,2.305E-03,3.358E-03,7.200E-04,3.281E-03,2.658E-01,1.790E+00,-1.283E-01,2.136E+00,1.412E+00,3.142E+00,-2.758E-03,2.501E+00,2.459E+00,8.852E-02,3.254E+00,1.675E+00,-7.309E-02,1.836E+00,1.969E+00,3.142E+00,-3.270E-03,2.721E+00,2.666E+00,1.116E-01,3.183E+00,1.727E+00,-3.987E-02,1.498E+00,1.842E+00,3.142E+00,-5.396E-03,2.629E+00,2.542E+00,6.358E-02,4.534E+00
12,0.000E+00,0.000E+00,1.695E-03,0.000E+00,2.344E-03,3.418E-03,7.260E-04,3.336E-03,2.700E-01,1.777E+00,-1.261E-01,2.074E+00,1.497E+00,3.142E+00,-2.176E-03,2.492E+00,2.459E+00,8.890E-02,3.243E+00,1.681E+00,-8.014E-02,1.851E+00,1.957E+00,3.142E+00,-2.838E-03,2.708E+00,2.659E+00,1.108E-01,3.202E+00,1.736E+00,-4.354E-02,1.480E+00,1.832E+00,3.142E+00,-4.972E-03,2.606E+00,2.526E+00,6.397E-02,4.514E+00
13,0.000E+00,0.000E+00,1.716E-03,0.000E+00,2.383E-03,3.478E-03,7.319E-04,3.391E-03,2.742E-01,1.766E+00,-1.240E-01,2.013E+00,1.582E+00,3.142E+00,-1.595E-03,2.483E+00,2.458E+00,8.929E-02,3.232E+00,1.687E+00,-8.719E-02,1.866E+00,1.944E+00,3.142E+00,-2.407E-03,2.694E+00,2.653E+00,1.100E-01,3.222E+00,1.746E+00,-4.721E-02,1.462E+00,1.823E+00,3.142E+00,-4.547E-03,2.582E+00,2.510E+00,6.436E-02,4.493E+00
14,0.000E+00,0.000E+00,1.727E-03,0.000E+00,2.403E-03,3.508E-03,7.349E-04,3.418E-03,2.763E-01,1.761E+00,-1.229E-01,1.982E+00,1.624E+00,3.142E+00,-1.304E-03,2.478E+00,2.458E+00,8.948E-02,3.227E+00,1.690E+00,-9.072E-02,1.874E+00,1.938E+00,3.142E+00,-2.191E-03,2.687E+00,2.650E+00,1.096E-01,3.232E+00,1.750E+00,-4.905E-02,1.452E+00,1.818E+00,3.142E+00,-4.335E-03,2.571E+00,2.502E+00,6.455E-02,4.483E+00
15,0.000E+00,0.000E+00,1.738E-03,0.000E+00,2.422E-03,3.538E-03,7.379E-04,3.446E-03,2.784E-01,1.756E+00,-1.218E-01,1.952E+00,1.667E+00,3.142E+00,-1.013E-03,2.473E+00,2.458E+00,8.967E-02,3.222E+00,1.693E+00,-9.424E-02,1.881E+00,1.932E+00,3.142E+00,-1.976E-03,2.680E+00,2.647E+00,1.092E-01,3.242E+00,1.755E+00,-5.089E-02,1.443E+00,1.813E+00,3.142E+00,-4.123E-03,2.559E+00,2.493E+00,6.474E-02,4.473E+00
16,0.000E+00,0.000E+00,1.759E-03,0.000E+00,2.461E-03,3.598E-03,7.438E-04,3.501E-03,2.825E-01,1.748E+00,-1.196E-01,1.890E+00,1.752E+00,3.142E+00,-4.311E-04,2.464E+00,2.457E+00,9.006E-02,3.211E+00,1.700E+00,-1.013E-01,1.897E+00,1.920E+00,3.142E+00,-1.544E-03,2.666E+00,2.640E+00,1.084E-01,3.261E+00,1.765E+00,-5.456E-02,1.425E+00,1.803E+00,3.142E+00,-3.699E-03,2.535E+00,2.477E+00,6.513E-02,4.452E+00
17,0.000E+00,0.000E+00,1.781E-03,0.000E+00,2.500E-03,3.659E-03,7.498E-04,3.556E-03,2.867E-01,1.740E+00,-1.175E-01,1.829E+00,1.837E+00,3.142E+00,1.507E-04,2.454E+00,2.456E+00,9.044E-02,3.201E+00,1.706E+00,-1.083E-01,1.912E+00,1.907E+00,3.142E+00,-1.113E-03,2.653E+00,2.634E+00,1.076E-01,3.281E+00,1.774E+00,-5.823E-02,1.406E+00,1.793E+00,3.142E+00,-3.275E-03,2.512E+00,2.461E+00,6.551E-02,4.432E+00
18,0.000E+00,0.000E+00,1.803E-03,0.000E+00,2.539E-03,3.719E-03,7.558E-04,3.611E-03,2.909E-01,1.734E+00,-1.153E-01,1.768E+00,1.922E+00,3.142E+00,7.324E-04,2.445E+00,2.456E+00,9.083E-02,3.190E+00,1.712E+00,-1.154E-01,1.927E+00,1.895E+00,3.142E+00,-6.812E-04,2.639E+00,2.628E+00,1.068E-01,3.301E+00,1.784E+00,-6.190E-02,1.388E+00,1.783E+00,3.142E+00,-2.850E-03,2.488E+00,2.445E+00,6.590E-02,4.412E+00
19,0.000E+00,0.000E+00,1.813E-03,0.000E+00,2.559E-03,3.749E-03,7.587E-04,3.638E-03,2.930E-01,1.731E+00,-1.142E-01,1.737E+00,1.965E+00,3.142E+00,1.023E-03,2.440E+00,2.456E+00,9.102E-02,3.185E+00,1.715E+00,-1.189E-01,1.934E+00,1.889E+00,3.142E+00,-4.655E-04,2.632E+00,2.624E+00,1.065E-01,3.310E+00,1.789E+00,-6.374E-02,1.379E+00,1.778E+00,3.142E+00,-2.638E-03,2.477E+00,2.437E+00,6.609E-02,4.401E+00
