!  table1  
!         -H.H.Binder, Lexikon der chemischen Elemente, Hirzel Verlag Stuttgart/Leipzig, 1999 
!         -Taschenbuch fuer Chemiker und Physiker, Band3, Springer-Verlag 1998
!         -CRC Handbook of Chemistry and Physics, 78th ed., 11-42ff
!         -Landolt-Boernstein, New Series IV/5b)
!         Molare Masse                                                 standard- standard-  standard-
!           [g/mol]    (solid/liquid)    surface displace- heat of     enthalpie enthalpie  bildungs-
!         rel.A.M.     mass     atomic   binding   ment   dissociation schmelzen verdampfen enthalpie
!symbol Z   mass      density   density  energy   energy  delta_H_Diss deltaH_f  deltaH_v   deltaH_at
!           [amu]     [g/cm^3] [at./A^3]  [eV]    [ev]      [eV]       [kJ/mol]  [kJ/mol]   [kJ/mol]
 Z	mass	mass_density	atomic_density	binding_energy	displacement_energy	h_diss	h_schmelz	h_damp	h_bildung     name
 Ho    67 164.93032    8.795    0.03211  3.11757   0.         0         12.18    242.5      300.8  holmium
 Er    68 167.26       9.066    0.03264  3.28755   0.         0         19.9     261.4      317.2  erbium
 Tm    69 168.93421    9.321    0.03323  2.40658   0.         0         16.84    190.7      232.2  thulium
 Yb    70 173.04       6.965    0.02424  1.57641   0.         0          7.66    128.83     152.1  ytterbium
 Lu    71 174.967      9.840    0.03387  4.43176  17.         0         18.65    355.9      427.6  litetium
 Hf    72 178.49      13.310    0.04491  6.41756   0.         0         24.06    575.5      619.2  hafnium
 Ta    73 180.9479    16.654    0.05543  8.10071  32.         0         31.63    743.1      781.6  tantal
 W     74 183.84      19.250    0.06306  8.82000  38.         0         35.40    806.8      851.0  wolfram/tungsten
 Re    75 186.207     21.040    0.06805  8.03127  40.         0         33.23    714.8      774.9  rhenium
 Os    76 190.23      22.590    0.07151  8.17016   0.         0         31.76    745        788.3  osmium
 Ir    77 192.217     22.650    0.07096  6.93784   0.         0         26.14    604.1      669.4  iridium
 Pt    78 195.08      21.450    0.06622  5.85374  33.         0         19.67    509.8      564.8  platin/platinum
 Au    79 196.96655   19.320    0.05907  3.81612  36.         0         12.55    334.4      368.2  gold
 Hg    80 200.59      13.546    0.04067  0.63637   0.         0          2.3      59.2       61.40 Quecksilber/mercury
 Tl    81 204.3833    11.850    0.03492  1.87552   0.         0          4.14    164.1      180.96 thallium
 Pb    82 207.2       11.350    0.03299  2.02311  11.         0          4.77    177.58     195.2   blei/lead
 Bi    83 208.98038    9.790    0.02821  2.17235   0.         0         11.30    174.1      209.6  bismuth
 Po    84 209.9828     9.196    0.02637  1.51318   0.         0         10.      100.8      146 0  polonium
 At    85 209.987126   8.750    0.02509  0.94315   0.         0         23.8       0         91 0  astatium/astatine
 Rn    86 222.017570   4.400    0.01193  0.00000   0.         0.0        2.7      18.1        0    radon
 Fr    87 223.019731   2.500    0.00675  0.77732   0.         0          0         0 75       0    francium
 Ra    88 226.025402   5.500    0.01465  1.64792   0.         0          7.15    136.7      159.   radium
 Ac    89 227.027747  10.060    0.02669  4.20789   0.         0          14.2    293.       406.   actinium
 Th    90 232.03805   11.720    0.03042  5.96257  35.         0         16.12    514.1      575.3  thorium
 Pa    91 231.035878  15.370    0.04006  6.28800   0.         0         12.34    481        606.7  protactinium
 U     92 238.0289    19.100    0.04832  5.42051   0.         0          4.52    464.1      523.0  uran/uranium U238
 Np    93 237.048166  20.450    0.05195  4.81731   0.         0          5.19    423.4      464.8  neptunium
 Pu    94 244.064197  19.840    0.04895  3.64719   0.         0          2.85    260.0      351.9  plutonium
 Am    95 243.061372  13.670    0.03387  2.94449   0.         0          9.93    238.5      284.1  americum
 Cm    96 247.07030   13.510    0.03293  3.95915   0.         0         14.6     395.7      382.   curium/curium
 Bk    97 247.07030   14.790    0.03605  3.01600   0.         0          0         0        291.   berkelium
 Cf    98 251.079579  15.110    0.       1.81375   0.         0          0         0        175.   californium
 Es    99 252.082944  13.540    0.       1.55464   0.         0          0         0        150.   einsteinium
 Fm   100 257.075099  13.600    0.       1.46136   0.         0          0         0        141.   fermium
 Md   101 258.098427   0.       0.       1.20226   0.         0          0         0        116.   mendelevium
 No   102 259.100931   0.       0.       1.11934   0.         0          0         0        108.   nobelium
 Lr   103 262.110      0.       0.       3.19220   0.         0          0         0        308.   lawrencium
