alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,3dK_Na,3dTilt_Na,3dM_Na,3dN_Na,energyK_Na,energyE_Na,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
2.000E+01,0.000E+00,0.000E+00,1.399E-03,0.000E+00,2.315E-03,0.000E+00,0.000E+00,0.000E+00,1.688E-03,7.564E-03,1.385E-03,3.249E-03,3.547E-01,1.666E+00,-1.698E-01,2.194E+00,2.224E+00,4.935E+00,1.520E-01,1.000E+00,1.000E+00,7.176E-02,4.165E+00,1.661E+00,-1.403E-01,2.145E+00,2.137E+00,4.935E+00,1.317E-01,1.000E+00,1.000E+00,3.048E-01,1.277E+00,1.711E+00,-1.715E-01,2.340E+00,1.844E+00,4.935E+00,1.292E-01,1.000E+00,1.000E+00,1.111E-01,3.193E+00,1.752E+00,-1.362E-01,1.783E+00,1.908E+00,4.935E+00,1.317E-01,1.000E+00,1.000E+00,6.108E-02,4.674E+00
2.100E+01,0.000E+00,0.000E+00,1.433E-03,0.000E+00,2.391E-03,0.000E+00,0.000E+00,0.000E+00,1.742E-03,7.784E-03,1.427E-03,3.364E-03,3.657E-01,1.675E+00,-1.865E-01,2.292E+00,2.169E+00,4.935E+00,1.587E-01,1.000E+00,1.000E+00,7.148E-02,4.178E+00,1.652E+00,-1.622E-01,2.393E+00,2.102E+00,4.935E+00,1.395E-01,1.000E+00,1.000E+00,3.036E-01,1.281E+00,1.709E+00,-1.888E-01,2.485E+00,1.839E+00,4.935E+00,1.377E-01,1.000E+00,1.000E+00,1.104E-01,3.210E+00,1.760E+00,-1.614E-01,1.922E+00,1.858E+00,4.935E+00,1.417E-01,1.000E+00,1.000E+00,6.058E-02,4.705E+00
2.200E+01,0.000E+00,0.000E+00,1.466E-03,0.000E+00,2.467E-03,0.000E+00,0.000E+00,0.000E+00,1.796E-03,8.003E-03,1.469E-03,3.479E-03,3.767E-01,1.685E+00,-2.031E-01,2.391E+00,2.113E+00,4.935E+00,1.654E-01,1.000E+00,1.000E+00,7.121E-02,4.191E+00,1.646E+00,-1.841E-01,2.640E+00,2.068E+00,4.935E+00,1.473E-01,1.000E+00,1.000E+00,3.024E-01,1.286E+00,1.707E+00,-2.061E-01,2.630E+00,1.834E+00,4.935E+00,1.462E-01,1.000E+00,1.000E+00,1.098E-01,3.226E+00,1.769E+00,-1.866E-01,2.061E+00,1.807E+00,4.935E+00,1.517E-01,1.000E+00,1.000E+00,6.007E-02,4.736E+00
2.300E+01,0.000E+00,0.000E+00,1.500E-03,0.000E+00,2.542E-03,0.000E+00,0.000E+00,0.000E+00,1.850E-03,8.222E-03,1.511E-03,3.593E-03,3.876E-01,1.695E+00,-2.198E-01,2.490E+00,2.058E+00,4.935E+00,1.720E-01,1.000E+00,1.000E+00,7.093E-02,4.204E+00,1.644E+00,-2.059E-01,2.887E+00,2.033E+00,4.935E+00,1.551E-01,1.000E+00,1.000E+00,3.013E-01,1.290E+00,1.707E+00,-2.234E-01,2.775E+00,1.829E+00,4.935E+00,1.546E-01,1.000E+00,1.000E+00,1.091E-01,3.243E+00,1.780E+00,-2.117E-01,2.200E+00,1.756E+00,4.935E+00,1.617E-01,1.000E+00,1.000E+00,5.957E-02,4.767E+00
2.400E+01,0.000E+00,0.000E+00,1.516E-03,0.000E+00,2.580E-03,0.000E+00,0.000E+00,0.000E+00,1.877E-03,8.331E-03,1.533E-03,3.651E-03,3.931E-01,1.701E+00,-2.282E-01,2.539E+00,2.030E+00,4.935E+00,1.754E-01,1.000E+00,1.000E+00,7.079E-02,4.210E+00,1.643E+00,-2.169E-01,3.011E+00,2.015E+00,4.935E+00,1.589E-01,1.000E+00,1.000E+00,3.007E-01,1.292E+00,1.706E+00,-2.320E-01,2.847E+00,1.827E+00,4.935E+00,1.589E-01,1.000E+00,1.000E+00,1.088E-01,3.251E+00,1.786E+00,-2.243E-01,2.270E+00,1.731E+00,4.935E+00,1.667E-01,1.000E+00,1.000E+00,5.932E-02,4.783E+00
2.500E+01,0.000E+00,0.000E+00,1.533E-03,0.000E+00,2.618E-03,0.000E+00,0.000E+00,0.000E+00,1.904E-03,8.441E-03,1.554E-03,3.708E-03,3.986E-01,1.706E+00,-2.365E-01,2.588E+00,2.002E+00,4.935E+00,1.787E-01,1.000E+00,1.000E+00,7.065E-02,4.217E+00,1.643E+00,-2.278E-01,3.135E+00,1.998E+00,4.935E+00,1.628E-01,1.000E+00,1.000E+00,3.001E-01,1.295E+00,1.707E+00,-2.407E-01,2.920E+00,1.825E+00,4.935E+00,1.631E-01,1.000E+00,1.000E+00,1.085E-01,3.260E+00,1.793E+00,-2.369E-01,2.340E+00,1.706E+00,4.935E+00,1.717E-01,1.000E+00,1.000E+00,5.906E-02,4.798E+00
2.600E+01,0.000E+00,0.000E+00,1.567E-03,0.000E+00,2.693E-03,0.000E+00,0.000E+00,0.000E+00,1.958E-03,8.660E-03,1.596E-03,3.823E-03,4.096E-01,1.718E+00,-2.532E-01,2.687E+00,1.946E+00,4.935E+00,1.854E-01,1.000E+00,1.000E+00,7.037E-02,4.230E+00,1.645E+00,-2.497E-01,3.382E+00,1.963E+00,4.935E+00,1.706E-01,1.000E+00,1.000E+00,2.990E-01,1.299E+00,1.707E+00,-2.580E-01,3.065E+00,1.820E+00,4.935E+00,1.716E-01,1.000E+00,1.000E+00,1.078E-01,3.276E+00,1.806E+00,-2.621E-01,2.479E+00,1.655E+00,4.935E+00,1.817E-01,1.000E+00,1.000E+00,5.856E-02,4.829E+00
2.700E+01,0.000E+00,0.000E+00,1.600E-03,0.000E+00,2.769E-03,0.000E+00,0.000E+00,0.000E+00,2.012E-03,8.879E-03,1.638E-03,3.938E-03,4.205E-01,1.731E+00,-2.698E-01,2.785E+00,1.891E+00,4.935E+00,1.920E-01,1.000E+00,1.000E+00,7.009E-02,4.243E+00,1.648E+00,-2.716E-01,3.630E+00,1.928E+00,4.935E+00,1.784E-01,1.000E+00,1.000E+00,2.978E-01,1.303E+00,1.709E+00,-2.753E-01,3.210E+00,1.815E+00,4.935E+00,1.801E-01,1.000E+00,1.000E+00,1.072E-01,3.293E+00,1.821E+00,-2.872E-01,2.618E+00,1.604E+00,4.935E+00,1.917E-01,1.000E+00,1.000E+00,5.805E-02,4.860E+00
2.800E+01,0.000E+00,0.000E+00,1.634E-03,0.000E+00,2.844E-03,0.000E+00,0.000E+00,0.000E+00,2.066E-03,9.098E-03,1.680E-03,4.052E-03,4.315E-01,1.744E+00,-2.865E-01,2.884E+00,1.835E+00,4.935E+00,1.987E-01,1.000E+00,1.000E+00,6.981E-02,4.256E+00,1.654E+00,-2.934E-01,3.877E+00,1.893E+00,4.935E+00,1.862E-01,1.000E+00,1.000E+00,2.967E-01,1.308E+00,1.711E+00,-2.926E-01,3.355E+00,1.810E+00,4.935E+00,1.885E-01,1.000E+00,1.000E+00,1.065E-01,3.310E+00,1.837E+00,-3.124E-01,2.757E+00,1.553E+00,4.935E+00,2.017E-01,1.000E+00,1.000E+00,5.755E-02,4.891E+00
2.900E+01,0.000E+00,0.000E+00,1.650E-03,0.000E+00,2.882E-03,0.000E+00,0.000E+00,0.000E+00,2.093E-03,9.208E-03,1.702E-03,4.110E-03,4.370E-01,1.751E+00,-2.948E-01,2.933E+00,1.807E+00,4.935E+00,2.020E-01,1.000E+00,1.000E+00,6.967E-02,4.262E+00,1.657E+00,-3.044E-01,4.001E+00,1.876E+00,4.935E+00,1.901E-01,1.000E+00,1.000E+00,2.961E-01,1.310E+00,1.712E+00,-3.013E-01,3.428E+00,1.808E+00,4.935E+00,1.928E-01,1.000E+00,1.000E+00,1.062E-01,3.318E+00,1.846E+00,-3.250E-01,2.826E+00,1.528E+00,4.935E+00,2.067E-01,1.000E+00,1.000E+00,5.730E-02,4.907E+00
3.000E+01,0.000E+00,0.000E+00,1.667E-03,0.000E+00,2.920E-03,0.000E+00,0.000E+00,0.000E+00,2.120E-03,9.317E-03,1.723E-03,4.167E-03,4.425E-01,1.758E+00,-3.032E-01,2.983E+00,1.780E+00,4.935E+00,2.054E-01,1.000E+00,1.000E+00,6.954E-02,4.268E+00,1.660E+00,-3.153E-01,4.124E+00,1.859E+00,4.935E+00,1.940E-01,1.000E+00,1.000E+00,2.955E-01,1.312E+00,1.713E+00,-3.099E-01,3.500E+00,1.805E+00,4.935E+00,1.970E-01,1.000E+00,1.000E+00,1.058E-01,3.326E+00,1.855E+00,-3.376E-01,2.896E+00,1.503E+00,4.935E+00,2.117E-01,1.000E+00,1.000E+00,5.705E-02,4.922E+00
3.100E+01,0.000E+00,0.000E+00,1.817E-03,0.000E+00,3.108E-03,0.000E+00,0.000E+00,1.221E-07,2.332E-03,1.014E-02,1.858E-03,4.409E-03,4.779E-01,1.736E+00,-3.321E-01,3.420E+00,1.807E+00,4.935E+00,2.214E-01,1.000E+00,1.000E+00,6.914E-02,4.288E+00,1.644E+00,-3.061E-01,3.998E+00,1.949E+00,4.935E+00,1.944E-01,1.000E+00,1.000E+00,2.948E-01,1.315E+00,1.706E+00,-3.153E-01,3.546E+00,1.843E+00,4.935E+00,2.036E-01,1.000E+00,1.000E+00,1.054E-01,3.337E+00,1.832E+00,-3.672E-01,3.360E+00,1.518E+00,4.935E+00,2.259E-01,1.000E+00,1.000E+00,5.669E-02,4.946E+00
3.200E+01,0.000E+00,0.000E+00,1.892E-03,0.000E+00,3.202E-03,0.000E+00,0.000E+00,1.831E-07,2.438E-03,1.056E-02,1.925E-03,4.530E-03,4.956E-01,1.726E+00,-3.466E-01,3.639E+00,1.821E+00,4.935E+00,2.294E-01,1.000E+00,1.000E+00,6.894E-02,4.298E+00,1.637E+00,-3.015E-01,3.935E+00,1.994E+00,4.935E+00,1.946E-01,1.000E+00,1.000E+00,2.945E-01,1.316E+00,1.702E+00,-3.180E-01,3.569E+00,1.862E+00,4.935E+00,2.069E-01,1.000E+00,1.000E+00,1.052E-01,3.342E+00,1.823E+00,-3.820E-01,3.592E+00,1.525E+00,4.935E+00,2.330E-01,1.000E+00,1.000E+00,5.652E-02,4.958E+00
