alpha,H,He,Fe,S,Fe_1,S_1,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
2.500E+01,0.000E+00,0.000E+00,6.925E-03,0.000E+00,6.680E-03,1.351E-02,1.192E+00,1.787E+00,-1.664E-01,2.166E+00,1.563E+00,4.935E+00,1.089E-01,1.000E+00,1.000E+00,6.445E-02,3.775E+00,1.694E+00,-1.171E-01,2.007E+00,1.937E+00,4.935E+00,1.028E-01,1.000E+00,1.000E+00,1.276E-01,2.552E+00
2.600E+01,0.000E+00,0.000E+00,7.088E-03,0.000E+00,6.816E-03,1.381E-02,1.219E+00,1.793E+00,-1.749E-01,2.200E+00,1.550E+00,4.935E+00,1.148E-01,1.000E+00,1.000E+00,6.440E-02,3.777E+00,1.700E+00,-1.334E-01,2.109E+00,1.894E+00,4.935E+00,1.085E-01,1.000E+00,1.000E+00,1.272E-01,2.558E+00
2.700E+01,0.000E+00,0.000E+00,7.251E-03,0.000E+00,6.953E-03,1.411E-02,1.245E+00,1.799E+00,-1.834E-01,2.233E+00,1.536E+00,4.935E+00,1.207E-01,1.000E+00,1.000E+00,6.435E-02,3.779E+00,1.708E+00,-1.498E-01,2.211E+00,1.851E+00,4.935E+00,1.141E-01,1.000E+00,1.000E+00,1.269E-01,2.564E+00
2.800E+01,0.000E+00,0.000E+00,7.414E-03,0.000E+00,7.089E-03,1.441E-02,1.272E+00,1.805E+00,-1.919E-01,2.266E+00,1.522E+00,4.935E+00,1.265E-01,1.000E+00,1.000E+00,6.430E-02,3.781E+00,1.717E+00,-1.661E-01,2.313E+00,1.808E+00,4.935E+00,1.198E-01,1.000E+00,1.000E+00,1.265E-01,2.570E+00
2.900E+01,0.000E+00,0.000E+00,7.496E-03,0.000E+00,7.157E-03,1.456E-02,1.285E+00,1.808E+00,-1.962E-01,2.283E+00,1.516E+00,4.935E+00,1.295E-01,1.000E+00,1.000E+00,6.427E-02,3.782E+00,1.721E+00,-1.743E-01,2.364E+00,1.787E+00,4.935E+00,1.226E-01,1.000E+00,1.000E+00,1.263E-01,2.573E+00
3.000E+01,0.000E+00,0.000E+00,7.577E-03,0.000E+00,7.226E-03,1.471E-02,1.298E+00,1.811E+00,-2.004E-01,2.299E+00,1.509E+00,4.935E+00,1.324E-01,1.000E+00,1.000E+00,6.425E-02,3.783E+00,1.726E+00,-1.825E-01,2.415E+00,1.765E+00,4.935E+00,1.254E-01,1.000E+00,1.000E+00,1.261E-01,2.576E+00
3.100E+01,0.000E+00,0.000E+00,7.951E-03,0.000E+00,7.639E-03,1.552E-02,1.368E+00,1.810E+00,-2.220E-01,2.441E+00,1.516E+00,4.935E+00,1.446E-01,1.000E+00,1.000E+00,6.390E-02,3.798E+00,1.723E+00,-1.970E-01,2.516E+00,1.780E+00,4.935E+00,1.349E-01,1.000E+00,1.000E+00,1.254E-01,2.588E+00
3.200E+01,0.000E+00,0.000E+00,8.137E-03,0.000E+00,7.846E-03,1.592E-02,1.403E+00,1.810E+00,-2.328E-01,2.512E+00,1.520E+00,4.935E+00,1.507E-01,1.000E+00,1.000E+00,6.372E-02,3.806E+00,1.722E+00,-2.042E-01,2.566E+00,1.788E+00,4.935E+00,1.396E-01,1.000E+00,1.000E+00,1.251E-01,2.594E+00
3.300E+01,0.000E+00,0.000E+00,8.324E-03,0.000E+00,8.053E-03,1.633E-02,1.438E+00,1.809E+00,-2.436E-01,2.583E+00,1.524E+00,4.935E+00,1.568E-01,1.000E+00,1.000E+00,6.355E-02,3.813E+00,1.721E+00,-2.115E-01,2.616E+00,1.795E+00,4.935E+00,1.443E-01,1.000E+00,1.000E+00,1.247E-01,2.600E+00
3.400E+01,0.000E+00,0.000E+00,8.511E-03,0.000E+00,8.260E-03,1.673E-02,1.473E+00,1.809E+00,-2.544E-01,2.654E+00,1.527E+00,4.935E+00,1.629E-01,1.000E+00,1.000E+00,6.337E-02,3.821E+00,1.720E+00,-2.188E-01,2.667E+00,1.803E+00,4.935E+00,1.491E-01,1.000E+00,1.000E+00,1.244E-01,2.606E+00
3.500E+01,0.000E+00,0.000E+00,8.698E-03,0.000E+00,8.467E-03,1.713E-02,1.508E+00,1.810E+00,-2.652E-01,2.725E+00,1.531E+00,4.935E+00,1.690E-01,1.000E+00,1.000E+00,6.320E-02,3.828E+00,1.719E+00,-2.260E-01,2.717E+00,1.810E+00,4.935E+00,1.538E-01,1.000E+00,1.000E+00,1.240E-01,2.612E+00
3.600E+01,0.000E+00,0.000E+00,8.885E-03,0.000E+00,8.674E-03,1.754E-02,1.542E+00,1.810E+00,-2.760E-01,2.796E+00,1.535E+00,4.935E+00,1.751E-01,1.000E+00,1.000E+00,6.302E-02,3.836E+00,1.718E+00,-2.333E-01,2.767E+00,1.818E+00,4.935E+00,1.585E-01,1.000E+00,1.000E+00,1.237E-01,2.618E+00
3.700E+01,0.000E+00,0.000E+00,9.071E-03,0.000E+00,8.881E-03,1.794E-02,1.577E+00,1.811E+00,-2.868E-01,2.867E+00,1.538E+00,4.935E+00,1.812E-01,1.000E+00,1.000E+00,6.285E-02,3.843E+00,1.717E+00,-2.405E-01,2.818E+00,1.825E+00,4.935E+00,1.632E-01,1.000E+00,1.000E+00,1.233E-01,2.624E+00
3.800E+01,0.000E+00,0.000E+00,9.258E-03,0.000E+00,9.088E-03,1.835E-02,1.612E+00,1.811E+00,-2.976E-01,2.938E+00,1.542E+00,4.935E+00,1.873E-01,1.000E+00,1.000E+00,6.267E-02,3.851E+00,1.716E+00,-2.478E-01,2.868E+00,1.833E+00,4.935E+00,1.680E-01,1.000E+00,1.000E+00,1.230E-01,2.630E+00
3.900E+01,0.000E+00,0.000E+00,9.445E-03,0.000E+00,9.295E-03,1.875E-02,1.647E+00,1.812E+00,-3.083E-01,3.008E+00,1.546E+00,4.935E+00,1.934E-01,1.000E+00,1.000E+00,6.250E-02,3.858E+00,1.715E+00,-2.551E-01,2.918E+00,1.840E+00,4.935E+00,1.727E-01,1.000E+00,1.000E+00,1.226E-01,2.636E+00
4.000E+01,0.000E+00,0.000E+00,9.632E-03,0.000E+00,9.502E-03,1.915E-02,1.682E+00,1.813E+00,-3.191E-01,3.079E+00,1.549E+00,4.935E+00,1.995E-01,1.000E+00,1.000E+00,6.232E-02,3.866E+00,1.715E+00,-2.623E-01,2.968E+00,1.848E+00,4.935E+00,1.774E-01,1.000E+00,1.000E+00,1.223E-01,2.642E+00
4.100E+01,0.000E+00,0.000E+00,9.818E-03,0.000E+00,9.708E-03,1.956E-02,1.717E+00,1.814E+00,-3.299E-01,3.150E+00,1.553E+00,4.935E+00,2.056E-01,1.000E+00,1.000E+00,6.215E-02,3.873E+00,1.714E+00,-2.696E-01,3.019E+00,1.855E+00,4.935E+00,1.821E-01,1.000E+00,1.000E+00,1.219E-01,2.648E+00
4.200E+01,0.000E+00,0.000E+00,1.001E-02,0.000E+00,9.915E-03,1.996E-02,1.752E+00,1.815E+00,-3.407E-01,3.221E+00,1.557E+00,4.935E+00,2.117E-01,1.000E+00,1.000E+00,6.197E-02,3.881E+00,1.713E+00,-2.769E-01,3.069E+00,1.863E+00,4.935E+00,1.869E-01,1.000E+00,1.000E+00,1.216E-01,2.654E+00
4.300E+01,0.000E+00,0.000E+00,1.019E-02,0.000E+00,1.012E-02,2.037E-02,1.787E+00,1.816E+00,-3.515E-01,3.292E+00,1.560E+00,4.935E+00,2.177E-01,1.000E+00,1.000E+00,6.180E-02,3.888E+00,1.713E+00,-2.841E-01,3.119E+00,1.870E+00,4.935E+00,1.916E-01,1.000E+00,1.000E+00,1.212E-01,2.660E+00
4.400E+01,0.000E+00,0.000E+00,1.038E-02,0.000E+00,1.033E-02,2.077E-02,1.822E+00,1.817E+00,-3.623E-01,3.363E+00,1.564E+00,4.935E+00,2.238E-01,1.000E+00,1.000E+00,6.162E-02,3.896E+00,1.713E+00,-2.914E-01,3.170E+00,1.878E+00,4.935E+00,1.963E-01,1.000E+00,1.000E+00,1.209E-01,2.666E+00
4.500E+01,0.000E+00,0.000E+00,1.057E-02,0.000E+00,1.054E-02,2.118E-02,1.857E+00,1.818E+00,-3.731E-01,3.434E+00,1.568E+00,4.935E+00,2.299E-01,1.000E+00,1.000E+00,6.145E-02,3.903E+00,1.712E+00,-2.986E-01,3.220E+00,1.885E+00,4.935E+00,2.010E-01,1.000E+00,1.000E+00,1.205E-01,2.672E+00
4.600E+01,0.000E+00,0.000E+00,1.096E-02,0.000E+00,1.121E-02,2.226E-02,1.952E+00,1.809E+00,-4.101E-01,4.001E+00,1.547E+00,4.935E+00,2.470E-01,1.000E+00,1.000E+00,6.136E-02,3.907E+00,1.729E+00,-3.382E-01,3.743E+00,1.744E+00,4.935E+00,2.089E-01,1.000E+00,1.000E+00,1.194E-01,2.693E+00
4.700E+01,0.000E+00,0.000E+00,1.116E-02,0.000E+00,1.155E-02,2.280E-02,1.999E+00,1.807E+00,-4.286E-01,4.284E+00,1.537E+00,4.935E+00,2.556E-01,1.000E+00,1.000E+00,6.132E-02,3.909E+00,1.740E+00,-3.580E-01,4.004E+00,1.673E+00,4.935E+00,2.128E-01,1.000E+00,1.000E+00,1.188E-01,2.703E+00
4.800E+01,0.000E+00,0.000E+00,1.136E-02,0.000E+00,1.189E-02,2.334E-02,2.047E+00,1.806E+00,-4.471E-01,4.568E+00,1.527E+00,4.935E+00,2.641E-01,1.000E+00,1.000E+00,6.128E-02,3.911E+00,1.755E+00,-3.778E-01,4.266E+00,1.603E+00,4.935E+00,2.167E-01,1.000E+00,1.000E+00,1.182E-01,2.714E+00
4.900E+01,0.000E+00,0.000E+00,1.201E-02,0.000E+00,1.259E-02,2.480E-02,2.169E+00,1.792E+00,-4.980E-01,5.645E+00,1.514E+00,4.935E+00,2.807E-01,1.000E+00,1.000E+00,6.120E-02,3.914E+00,1.739E+00,-3.822E-01,4.316E+00,1.668E+00,4.935E+00,2.248E-01,1.000E+00,1.000E+00,1.183E-01,2.712E+00
5.000E+01,0.000E+00,0.000E+00,1.233E-02,0.000E+00,1.294E-02,2.553E-02,2.230E+00,1.789E+00,-5.234E-01,6.184E+00,1.508E+00,4.935E+00,2.889E-01,1.000E+00,1.000E+00,6.117E-02,3.916E+00,1.732E+00,-3.844E-01,4.342E+00,1.701E+00,4.935E+00,2.288E-01,1.000E+00,1.000E+00,1.184E-01,2.710E+00
5.100E+01,0.000E+00,0.000E+00,1.266E-02,0.000E+00,1.328E-02,2.625E-02,2.290E+00,1.788E+00,-5.489E-01,6.723E+00,1.502E+00,4.935E+00,2.972E-01,1.000E+00,1.000E+00,6.113E-02,3.917E+00,1.725E+00,-3.866E-01,4.367E+00,1.733E+00,4.935E+00,2.329E-01,1.000E+00,1.000E+00,1.185E-01,2.709E+00
5.200E+01,0.000E+00,0.000E+00,1.333E-02,0.000E+00,1.396E-02,2.755E-02,2.408E+00,1.775E+00,-5.472E-01,6.517E+00,1.571E+00,4.935E+00,3.046E-01,1.000E+00,1.000E+00,6.030E-02,3.956E+00,1.719E+00,-3.965E-01,4.469E+00,1.764E+00,4.935E+00,2.419E-01,1.000E+00,1.000E+00,1.192E-01,2.696E+00
5.300E+01,0.000E+00,0.000E+00,1.367E-02,0.000E+00,1.429E-02,2.820E-02,2.466E+00,1.769E+00,-5.464E-01,6.414E+00,1.606E+00,4.935E+00,3.083E-01,1.000E+00,1.000E+00,5.988E-02,3.975E+00,1.716E+00,-4.015E-01,4.520E+00,1.779E+00,4.935E+00,2.464E-01,1.000E+00,1.000E+00,1.195E-01,2.690E+00
5.400E+01,0.000E+00,0.000E+00,1.401E-02,0.000E+00,1.463E-02,2.885E-02,2.525E+00,1.763E+00,-5.456E-01,6.311E+00,1.641E+00,4.935E+00,3.120E-01,1.000E+00,1.000E+00,5.946E-02,3.994E+00,1.714E+00,-4.064E-01,4.570E+00,1.794E+00,4.935E+00,2.510E-01,1.000E+00,1.000E+00,1.199E-01,2.683E+00
5.500E+01,0.000E+00,0.000E+00,1.461E-02,0.000E+00,1.566E-02,3.046E-02,2.667E+00,1.767E+00,-5.599E-01,6.616E+00,1.621E+00,4.935E+00,3.199E-01,1.000E+00,1.000E+00,5.938E-02,3.998E+00,1.689E+00,-4.068E-01,4.518E+00,1.931E+00,4.935E+00,2.617E-01,1.000E+00,1.000E+00,1.176E-01,2.726E+00
5.600E+01,0.000E+00,0.000E+00,1.491E-02,0.000E+00,1.618E-02,3.127E-02,2.739E+00,1.769E+00,-5.670E-01,6.768E+00,1.611E+00,4.935E+00,3.239E-01,1.000E+00,1.000E+00,5.933E-02,4.000E+00,1.677E+00,-4.069E-01,4.491E+00,1.999E+00,4.935E+00,2.671E-01,1.000E+00,1.000E+00,1.165E-01,2.747E+00
5.700E+01,0.000E+00,0.000E+00,1.521E-02,0.000E+00,1.670E-02,3.208E-02,2.810E+00,1.771E+00,-5.742E-01,6.920E+00,1.601E+00,4.935E+00,3.278E-01,1.000E+00,1.000E+00,5.929E-02,4.002E+00,1.666E+00,-4.071E-01,4.465E+00,2.067E+00,4.935E+00,2.724E-01,1.000E+00,1.000E+00,1.153E-01,2.769E+00
5.800E+01,0.000E+00,0.000E+00,1.628E-02,0.000E+00,1.768E-02,3.407E-02,2.989E+00,1.734E+00,-5.919E-01,7.457E+00,1.720E+00,4.935E+00,3.453E-01,1.000E+00,1.000E+00,5.904E-02,4.014E+00,1.672E+00,-4.244E-01,4.771E+00,2.003E+00,4.935E+00,2.767E-01,1.000E+00,1.000E+00,1.151E-01,2.773E+00
5.900E+01,0.000E+00,0.000E+00,1.682E-02,0.000E+00,1.817E-02,3.506E-02,3.078E+00,1.718E+00,-6.007E-01,7.725E+00,1.780E+00,4.935E+00,3.540E-01,1.000E+00,1.000E+00,5.892E-02,4.019E+00,1.676E+00,-4.330E-01,4.924E+00,1.971E+00,4.935E+00,2.788E-01,1.000E+00,1.000E+00,1.150E-01,2.775E+00
6.000E+01,0.000E+00,0.000E+00,1.736E-02,0.000E+00,1.866E-02,3.606E-02,3.168E+00,1.701E+00,-6.095E-01,7.993E+00,1.840E+00,4.935E+00,3.628E-01,1.000E+00,1.000E+00,5.880E-02,4.025E+00,1.681E+00,-4.417E-01,5.077E+00,1.939E+00,4.935E+00,2.809E-01,1.000E+00,1.000E+00,1.149E-01,2.777E+00
6.100E+01,0.000E+00,0.000E+00,1.847E-02,0.000E+00,1.979E-02,3.828E-02,3.363E+00,1.684E+00,-6.075E-01,7.851E+00,1.928E+00,4.935E+00,3.752E-01,1.000E+00,1.000E+00,5.738E-02,4.095E+00,1.661E+00,-4.413E-01,5.117E+00,2.030E+00,4.935E+00,2.902E-01,1.000E+00,1.000E+00,1.140E-01,2.794E+00
6.200E+01,0.000E+00,0.000E+00,1.902E-02,0.000E+00,2.035E-02,3.938E-02,3.461E+00,1.676E+00,-6.065E-01,7.780E+00,1.973E+00,4.935E+00,3.814E-01,1.000E+00,1.000E+00,5.668E-02,4.130E+00,1.651E+00,-4.412E-01,5.136E+00,2.075E+00,4.935E+00,2.949E-01,1.000E+00,1.000E+00,1.136E-01,2.803E+00
6.300E+01,0.000E+00,0.000E+00,1.958E-02,0.000E+00,2.091E-02,4.049E-02,3.559E+00,1.668E+00,-6.055E-01,7.709E+00,2.017E+00,4.935E+00,3.876E-01,1.000E+00,1.000E+00,5.597E-02,4.165E+00,1.641E+00,-4.410E-01,5.156E+00,2.121E+00,4.935E+00,2.996E-01,1.000E+00,1.000E+00,1.131E-01,2.812E+00
6.400E+01,0.000E+00,0.000E+00,2.072E-02,0.000E+00,2.273E-02,4.342E-02,3.819E+00,1.652E+00,-5.992E-01,7.233E+00,2.151E+00,4.935E+00,4.035E-01,1.000E+00,1.000E+00,5.549E-02,4.190E+00,1.635E+00,-4.799E-01,6.167E+00,2.050E+00,4.935E+00,3.052E-01,1.000E+00,1.000E+00,1.110E-01,2.856E+00
6.500E+01,0.000E+00,0.000E+00,2.129E-02,0.000E+00,2.365E-02,4.489E-02,3.949E+00,1.645E+00,-5.961E-01,6.996E+00,2.217E+00,4.935E+00,4.115E-01,1.000E+00,1.000E+00,5.525E-02,4.203E+00,1.636E+00,-4.993E-01,6.673E+00,2.015E+00,4.935E+00,3.080E-01,1.000E+00,1.000E+00,1.099E-01,2.878E+00
6.600E+01,0.000E+00,0.000E+00,2.187E-02,0.000E+00,2.456E-02,4.636E-02,4.079E+00,1.639E+00,-5.930E-01,6.758E+00,2.284E+00,4.935E+00,4.194E-01,1.000E+00,1.000E+00,5.500E-02,4.215E+00,1.638E+00,-5.187E-01,7.178E+00,1.979E+00,4.935E+00,3.108E-01,1.000E+00,1.000E+00,1.088E-01,2.900E+00
