alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,3dK_Na,3dTilt_Na,3dM_Na,3dN_Na,energyK_Na,energyE_Na,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
16.0,0.0,0.0,0.0025731201171874623,0.0,0.0016358642578125,0.0,0.0,6.103515625e-07,0.0009134521484375001,0.0039257812500000005,0.0026788330078124996,0.006226318359375,0.36622544525689826,1.6832500462889324,-0.16719055762139948,2.4353469810338106,1.9098827290728428,8.283185307179584,0.12225200795191883,1.0,1.0,0.07601069613400313,3.9832503017793637,1.629576366468885,-0.09553312308361024,1.999691950458264,2.2299607067353486,8.283185307179584,0.0962647786993612,1.0,1.0,0.2913599049438399,1.3289516117683902,1.6975779951035148,-0.18527475847303043,2.667731937939135,1.768336928964203,8.283185307179584,0.11563448306120735,1.0,1.0,0.11090558255581148,3.1980225831860514,1.7474262481267577,-0.13540993989906433,1.8694536706755907,1.8499452267732333,8.283185307179584,0.10634212315058975,1.0,1.0,0.06255509506626664,4.590881260957581
17.0,0.0,0.0,0.002628173828124975,0.0,0.001674560546875,0.0,0.0,7.32421875e-07,0.000924072265625,0.0039462890625,0.0027419433593749995,0.00636767578125,0.3734152640719498,1.7138878021770845,-0.2089878084642794,2.7219893245733164,1.7588448040226106,8.283185307179584,0.1325359627483037,1.0,1.0,0.07573711014530618,3.994391263281056,1.6317665598709072,-0.11497376068358647,2.12427539794969,2.2060352405238333,8.283185307179584,0.1042677710646587,1.0,1.0,0.2900058494289538,1.3343465315961613,1.7029517524194833,-0.20457705763448245,2.8107892409670585,1.7463413129658207,8.283185307179584,0.12470348672805365,1.0,1.0,0.11058469429150855,3.205792220552787,1.7498974433184098,-0.1504610387250074,1.9455280791576341,1.841531440302084,8.283185307179584,0.11417431259217203,1.0,1.0,0.06282598599484888,4.575619539858465
18.0,0.0,0.0,0.002683227539062487,0.0,0.0017132568359375,0.0,0.0,8.544921875e-07,0.0009346923828125,0.003966796875,0.0028050537109375,0.006509033203125,0.38060508288700134,1.751274052207263,-0.25078505930715933,3.0086316681128222,1.6078068789723783,8.283185307179584,0.1428199175446886,1.0,1.0,0.07546352415660922,4.005532224782748,1.634864635993986,-0.13441439828356272,2.2488588454411165,2.182109774312318,8.283185307179584,0.1122707634299562,1.0,1.0,0.2886517939140677,1.3397414514239325,1.70909893131071,-0.22387935679593446,2.953846543994982,1.7243456969674384,8.283185307179584,0.1337724903948999,1.0,1.0,0.11026380602720562,3.2135618579195224,1.7526912742103593,-0.16551213755095048,2.0216024876396776,1.8331176538309344,8.283185307179584,0.12200650203375434,1.0,1.0,0.06309687692343113,4.56035781875935
19.0,0.0,0.0,0.0027107543945312437,0.0,0.00173260498046875,0.0,0.0,9.1552734375e-07,0.00094000244140625,0.00397705078125,0.0028366088867187497,0.0065797119140624995,0.3841999922945271,1.7725139989504888,-0.2716836847285993,3.1519528398825756,1.5322879164472623,8.283185307179584,0.14796189494288103,1.0,1.0,0.07532673116226074,4.0111027055335935,1.6367261955070236,-0.14413471708355083,2.3111505691868297,2.17014704120656,8.283185307179584,0.11627225961260496,1.0,1.0,0.28797476615662465,1.3424389113378181,1.712440019169855,-0.23353050637666045,3.0253751955089436,1.7133478889682474,8.283185307179584,0.13830699222832304,1.0,1.0,0.11010336189505415,3.21744667660289,1.75420093434712,-0.17303768696392202,2.059639691880699,1.8289107605953596,8.283185307179584,0.12592259675454548,1.0,1.0,0.06323232238772225,4.552726958209792
20.0,0.0,0.0,0.00273828125,0.0,0.001751953125,0.0,0.0,9.765625e-07,0.0009453125,0.0039873046875,0.0028681640625,0.006650390625,0.3877949017020529,1.7954981296074175,-0.2925823101500392,3.2952740116523285,1.456768953922146,8.283185307179584,0.15310387234107345,1.0,1.0,0.07518993816791225,4.01667318628444,1.6387825070676958,-0.15385503588353894,2.3734422929325425,2.158184308100802,8.283185307179584,0.12027375579525372,1.0,1.0,0.28729773839918155,1.3451363712517037,1.7159485646369164,-0.24318165595738644,3.0969038470229053,1.7023500809690564,8.283185307179584,0.1428414940617462,1.0,1.0,0.10994291776290267,3.2213314952862575,1.755781562127324,-0.18056323637689356,2.0976768961217207,1.824703867359785,8.283185307179584,0.12983869147533664,1.0,1.0,0.06336776785201338,4.545096097660234
21.0,0.0,0.0,0.002820190429687487,0.0,0.0017932128906249876,0.0,0.0,8.544921875e-07,0.000987548828125,0.0041826171875,0.0029388427734374995,0.006824829101562499,0.39964354126382046,1.800292251310153,-0.30823394513882674,3.4445809999386325,1.4387532976014712,8.283185307179584,0.161580760238704,1.0,1.0,0.07489332615754987,4.029382469266503,1.6340633453307412,-0.17353026179029438,2.5991504561150753,2.1182147950366135,8.283185307179584,0.12791769911865206,1.0,1.0,0.28663475442924446,1.347915260280565,1.712913539486331,-0.24944619693108558,3.1362116487304066,1.7241863217234257,8.283185307179584,0.14853160094479434,1.0,1.0,0.10946616128143227,3.2334860402462526,1.7589197632438975,-0.19619027186602644,2.1826757230764944,1.8134919697876888,8.283185307179584,0.14080626185326428,1.0,1.0,0.06297815587870702,4.567330169258776
22.0,0.0,0.0,0.002902099609374975,0.0,0.0018344726562499751,0.0,0.0,7.32421875e-07,0.00102978515625,0.0043779296875000005,0.0030095214843749996,0.006999267578124999,0.411492180825588,1.805719299056257,-0.3238855801276143,3.593887988224937,1.4207376412807966,8.283185307179584,0.1700576481363345,1.0,1.0,0.07459671414718748,4.042091752248567,1.6319223552372368,-0.19320548769704982,2.8248586192976086,2.078245281972425,8.283185307179584,0.1355616424420504,1.0,1.0,0.28597177045930744,1.3506941493094264,1.7099354156953654,-0.2557107379047847,3.1755194504379083,1.746022562477795,8.283185307179584,0.15422170782784245,1.0,1.0,0.10898940479996186,3.245640585206248,1.7624142572900463,-0.21181730735515936,2.267674550031268,1.8022800722155927,8.283185307179584,0.1517738322311919,1.0,1.0,0.06258854390540065,4.589564240857319
23.0,0.0,0.0,0.0029840087890624623,0.0,0.0018757324218749627,0.0,0.0,6.103515625e-07,0.001072021484375,0.0045732421875,0.0030802001953124996,0.0071737060546874995,0.4233408203873556,1.8117301388414535,-0.3395372151164019,3.743194976511241,1.402721984960122,8.283185307179584,0.17853453603396505,1.0,1.0,0.07430010213682509,4.054801035230629,1.631995653352365,-0.21288071360380528,3.0505667824801415,2.0382757689082363,8.283185307179584,0.14320558576544876,1.0,1.0,0.28530878648937036,1.3534730383382878,1.7070122296840355,-0.2619752788784839,3.21482725214541,1.7678588032321643,8.283185307179584,0.15991181471089055,1.0,1.0,0.10851264831849144,3.257795130166244,1.7662344847637828,-0.22744434284429224,2.3526733769860417,1.7910681746434967,8.283185307179584,0.1627414026091195,1.0,1.0,0.06219893193209429,4.611798312455862
24.0,0.0,0.0,0.003024963378906206,0.0,0.0018963623046874562,0.0,0.0,5.493164062500001e-07,0.0010931396484375,0.0046708984374999995,0.0031155395507812497,0.00726092529296875,0.42926514016823936,1.814940706434049,-0.34736303261079565,3.8178484706543934,1.3937141567997846,8.283185307179584,0.1827729799827803,1.0,1.0,0.0741517961316439,4.061155676721661,1.6327705466514715,-0.222718326557183,3.1634208640714077,2.0182910123761415,8.283185307179584,0.14702755742714793,1.0,1.0,0.2849772945044018,1.3548624828527185,1.7055706392393593,-0.26510754936533343,3.2344811529991606,1.778776923609349,8.283185307179584,0.1627568681524146,1.0,1.0,0.10827427007775624,3.2638724026462413,1.7682578587860107,-0.23525786058885867,2.3951727904634286,1.7854622258574486,8.283185307179584,0.16822518779808332,1.0,1.0,0.06200412594544111,4.622915348255134
25.0,0.0,0.0,0.0030659179687499497,0.0,0.00191699218749995,0.0,0.0,4.8828125e-07,0.0011142578125,0.0047685546875,0.0031508789062499997,0.00734814453125,0.43518945994912317,1.8182813265435525,-0.3551888501051894,3.892501964797545,1.3847063286394472,8.283185307179584,0.1870114239315956,1.0,1.0,0.0740034901264627,4.067510318212692,1.6339962804741455,-0.23255593951056072,3.2762749456626743,1.9983062558440472,8.283185307179584,0.1508495290888471,1.0,1.0,0.2846458025194333,1.3562519273671494,1.7041420707158101,-0.26823981985218304,3.2541350538529112,1.7896950439865336,8.283185307179584,0.16560192159393866,1.0,1.0,0.10803589183702103,3.269949675126239,1.7703522749553366,-0.24307137833342513,2.437672203940815,1.7798562770714004,8.283185307179584,0.17370897298704713,1.0,1.0,0.061809319958787926,4.634032384054405
