alpha,H,He,Cr,S,Cr_1,S_1,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
10.0,0.0,0.0,0.0033525390625,0.0,0.0047529296874999,0.0108798828125,0.7707025870184097,1.7783337735400422,-0.0403331294058681,1.4793295028600142,1.5884256245366775,8.283185307179584,0.04268257388302045,1.0,1.0,0.052466741765397826,4.448896927170724,1.6670564650013913,-0.028914636040163023,1.6611700397520464,1.9392568106393635,8.283185307179584,0.03463802567584215,1.0,1.0,0.1261238409221328,2.5759261906285467
11.0,0.0,0.0,0.00340869140625,0.0,0.004803466796874913,0.011013671874999988,0.7804504592026319,1.7715120584624842,-0.04444396524037625,1.4877854229429794,1.6357204782478332,8.283185307179584,0.048578994092098676,1.0,1.0,0.05233700265238188,4.4566146094368815,1.6606871715584148,-0.029567823274135513,1.6376243462993605,2.0128163674918795,8.283185307179584,0.04126373974300993,1.0,1.0,0.12597432044640972,2.5784164584130966
12.0,0.0,0.0,0.00346484375,0.0,0.004854003906249925,0.011147460937499975,0.7901983313868541,1.764910507152915,-0.0485548010748844,1.496241343025945,1.683015331958989,8.283185307179584,0.05447541430117691,1.0,1.0,0.05220726353936594,4.46433229170304,1.6548488711361937,-0.030221010508108007,1.6140786528466748,2.086375924344395,8.283185307179584,0.047889453810177715,1.0,1.0,0.12582479997068663,2.580906726197647
13.0,0.0,0.0,0.00352099609375,0.0,0.004904541015624937,0.011281249999999961,0.7999462035710764,1.7585172874295676,-0.05266563690939255,1.5046972631089102,1.7303101856701448,8.283185307179584,0.06037183451025514,1.0,1.0,0.05207752442635,4.472049973969199,1.6495130188868676,-0.0308741977420805,1.5905329593939892,2.1599354811969107,8.283185307179584,0.054515167877345505,1.0,1.0,0.12567527949496354,2.5833969939821975
14.0,0.0,0.0,0.0035490722656249998,0.0,0.004929809570312443,0.011348144531249955,0.8048201396631876,1.7553953282543273,-0.05472105482664663,1.508925223150393,1.7539576125257228,8.283185307179584,0.06332004461479426,1.0,1.0,0.05201265486984202,4.475908815102278,1.6470253309656138,-0.031200791359066747,1.5787601126676463,2.1967152596231685,8.283185307179584,0.05782802491092939,1.0,1.0,0.125600519257102,2.5846421278744725
15.0,0.0,0.0,0.0035771484375,0.0,0.0049550781249999495,0.01141503906249995,0.8096940757552986,1.7523213786245717,-0.056776472743900706,1.5131531831918754,1.7776050393813005,8.283185307179584,0.06626825471933337,1.0,1.0,0.05194778531333405,4.4797676562353566,1.6446537479620718,-0.031527384976052994,1.5669872659413033,2.2334950380494263,8.283185307179584,0.06114088194451329,1.0,1.0,0.12552575901924046,2.5858872617667474
16.0,0.0,0.0,0.0036333007812499995,0.0,0.005005615234374962,0.011548828124999938,0.8194419479395209,1.7463125004688487,-0.060887308578408864,1.521609103274841,1.8248998930924563,8.283185307179584,0.0721646749284116,1.0,1.0,0.05181804620031811,4.487485338501514,1.6402475817318296,-0.03218057221002549,1.5434415724886175,2.307054594901942,8.283185307179584,0.06776659601168107,1.0,1.0,0.12537623854351737,2.5883775295512974
17.0,0.0,0.0,0.0036894531249999996,0.0,0.005056152343749974,0.011682617187499925,0.8291898201237431,1.7404810497743535,-0.06499814441291701,1.5300650233578061,1.8721947468036122,8.283185307179584,0.07806109513748982,1.0,1.0,0.05168830708730217,4.495203020767673,1.6362731832333002,-0.03283375944399798,1.5198958790359316,2.380614151754458,8.283185307179584,0.07439231007884886,1.0,1.0,0.12522671806779428,2.590867797335848
18.0,0.0,0.0,0.0037456054687499997,0.0,0.0051066894531249865,0.011816406249999911,0.8389376923079653,1.734818043765766,-0.06910898024742516,1.5385209434407714,1.919489600514768,8.283185307179584,0.08395751534656805,1.0,1.0,0.05155856797428622,4.502920703033832,1.6327111363372837,-0.033486946677970475,1.4963501855832457,2.454173708606974,8.283185307179584,0.08101802414601664,1.0,1.0,0.1250771975920712,2.5933580651203982
19.0,0.0,0.0,0.0037736816406249997,0.0,0.005131958007812493,0.011883300781249904,0.8438116284000765,1.7320470574602944,-0.07116439816467923,1.5427489034822541,1.9431370273703457,8.283185307179584,0.08690572545110717,1.0,1.0,0.05149369841777825,4.5067795441669105,1.6310791547558519,-0.03381354029495672,1.4845773388569028,2.4909534870332317,8.283185307179584,0.08433088117960053,1.0,1.0,0.12500243735420968,2.5946031990126732
