alpha,H,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
61,0.000E+00,1.011E-02,1.172E-06,0.000E+00,0.000E+00,1.953E-06,1.003E-02,3.017E-02,1.329E+00,1.733E+00,-7.185E-01,8.124E+00,1.939E+00,3.142E+00,-6.463E-03,2.691E+00,2.584E+00,5.015E-02,4.491E+00,1.623E+00,-4.518E-01,6.190E+00,2.012E+00,3.142E+00,-4.485E-04,2.791E+00,2.783E+00,9.955E-02,3.502E+00,1.662E+00,-6.803E-01,9.044E+00,2.081E+00,3.142E+00,-3.516E-03,2.672E+00,2.614E+00,4.749E-02,5.644E+00
62,0.000E+00,1.076E-02,7.812E-07,0.000E+00,0.000E+00,2.344E-06,1.066E-02,3.203E-02,1.413E+00,1.720E+00,-7.435E-01,8.660E+00,1.991E+00,3.142E+00,-7.479E-03,2.718E+00,2.593E+00,4.948E-02,4.533E+00,1.602E+00,-4.974E-01,7.857E+00,1.978E+00,3.142E+00,-8.532E-04,2.795E+00,2.780E+00,9.876E-02,3.526E+00,1.635E+00,-6.951E-01,9.735E+00,2.179E+00,3.142E+00,-3.230E-03,2.664E+00,2.611E+00,4.714E-02,5.675E+00
63,0.000E+00,1.140E-02,3.906E-07,0.000E+00,0.000E+00,2.734E-06,1.128E-02,3.390E-02,1.496E+00,1.708E+00,-7.685E-01,9.196E+00,2.043E+00,3.142E+00,-8.495E-03,2.745E+00,2.602E+00,4.880E-02,4.575E+00,1.595E+00,-5.429E-01,9.524E+00,1.944E+00,3.142E+00,-1.258E-03,2.799E+00,2.776E+00,9.798E-02,3.549E+00,1.610E+00,-7.100E-01,1.043E+01,2.277E+00,3.142E+00,-2.943E-03,2.657E+00,2.608E+00,4.679E-02,5.706E+00
64,0.000E+00,1.172E-02,1.953E-07,0.000E+00,0.000E+00,2.930E-06,1.160E-02,3.483E-02,1.538E+00,1.703E+00,-7.810E-01,9.464E+00,2.069E+00,3.142E+00,-9.004E-03,2.759E+00,2.607E+00,4.847E-02,4.596E+00,1.595E+00,-5.657E-01,1.036E+01,1.927E+00,3.142E+00,-1.460E-03,2.800E+00,2.775E+00,9.759E-02,3.561E+00,1.599E+00,-7.174E-01,1.077E+01,2.326E+00,3.142E+00,-2.800E-03,2.653E+00,2.607E+00,4.662E-02,5.722E+00
65,0.000E+00,1.204E-02,0.000E+00,0.000E+00,0.000E+00,3.125E-06,1.191E-02,3.576E-02,1.579E+00,1.697E+00,-7.935E-01,9.732E+00,2.095E+00,3.142E+00,-9.512E-03,2.772E+00,2.611E+00,4.813E-02,4.617E+00,1.597E+00,-5.885E-01,1.119E+01,1.910E+00,3.142E+00,-1.662E-03,2.802E+00,2.773E+00,9.720E-02,3.572E+00,1.587E+00,-7.248E-01,1.112E+01,2.375E+00,3.142E+00,-2.657E-03,2.649E+00,2.606E+00,4.644E-02,5.737E+00
66,0.000E+00,1.297E-02,0.000E+00,0.000E+00,0.000E+00,4.102E-06,1.288E-02,3.861E-02,1.703E+00,1.590E+00,-8.538E-01,1.938E+01,2.186E+00,3.142E+00,-8.399E-03,2.775E+00,2.632E+00,4.721E-02,4.680E+00,1.568E+00,-6.059E-01,1.323E+01,1.934E+00,3.142E+00,-1.060E-03,2.766E+00,2.748E+00,9.718E-02,3.573E+00,1.541E+00,-7.681E-01,1.680E+01,2.326E+00,3.142E+00,-3.364E-03,2.666E+00,2.610E+00,4.582E-02,5.796E+00
67,0.000E+00,1.389E-02,0.000E+00,0.000E+00,0.000E+00,5.078E-06,1.384E-02,4.145E-02,1.828E+00,1.538E+00,-9.140E-01,2.904E+01,2.277E+00,3.142E+00,-7.286E-03,2.777E+00,2.652E+00,4.629E-02,4.743E+00,1.545E+00,-6.234E-01,1.527E+01,1.958E+00,3.142E+00,-4.568E-04,2.730E+00,2.722E+00,9.717E-02,3.573E+00,1.523E+00,-8.114E-01,2.247E+01,2.276E+00,3.142E+00,-4.072E-03,2.682E+00,2.615E+00,4.520E-02,5.855E+00
68,0.000E+00,1.482E-02,0.000E+00,0.000E+00,0.000E+00,6.055E-06,1.480E-02,4.430E-02,1.952E+00,1.509E+00,-9.743E-01,3.869E+01,2.368E+00,3.142E+00,-6.173E-03,2.779E+00,2.673E+00,4.538E-02,4.806E+00,1.526E+00,-6.409E-01,1.730E+01,1.982E+00,3.142E+00,1.461E-04,2.694E+00,2.696E+00,9.715E-02,3.574E+00,1.520E+00,-8.547E-01,2.815E+01,2.227E+00,3.142E+00,-4.779E-03,2.699E+00,2.619E+00,4.457E-02,5.915E+00
69,0.000E+00,1.528E-02,0.000E+00,0.000E+00,0.000E+00,6.543E-06,1.529E-02,4.572E-02,2.014E+00,1.499E+00,-1.004E+00,4.352E+01,2.413E+00,3.142E+00,-5.617E-03,2.780E+00,2.683E+00,4.492E-02,4.838E+00,1.518E+00,-6.496E-01,1.832E+01,1.994E+00,3.142E+00,4.475E-04,2.676E+00,2.684E+00,9.714E-02,3.574E+00,1.523E+00,-8.763E-01,3.099E+01,2.202E+00,3.142E+00,-5.133E-03,2.707E+00,2.621E+00,4.426E-02,5.944E+00
70,0.000E+00,1.574E-02,0.000E+00,0.000E+00,0.000E+00,7.031E-06,1.577E-02,4.714E-02,2.076E+00,1.491E+00,-1.035E+00,4.834E+01,2.458E+00,3.142E+00,-5.061E-03,2.781E+00,2.694E+00,4.446E-02,4.869E+00,1.511E+00,-6.584E-01,1.934E+01,2.006E+00,3.142E+00,7.489E-04,2.658E+00,2.671E+00,9.714E-02,3.574E+00,1.527E+00,-8.979E-01,3.383E+01,2.177E+00,3.142E+00,-5.486E-03,2.715E+00,2.623E+00,4.395E-02,5.974E+00
