alpha,H,He,Ca,Al,Si,O,Ca_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,1.855E-05,1.298E-03,1.550E-03,0.000E+00,1.414E-03,1.921E-03,1.543E-03,5.660E-03,3.174E-04,4.248E-04,3.161E-01,1.824E+00,-6.988E-03,1.495E+00,1.212E+00,3.142E+00,-4.758E-03,2.513E+00,2.441E+00,1.109E-01,2.949E+00,1.773E+00,3.364E-03,1.496E+00,1.388E+00,3.142E+00,-7.275E-03,2.636E+00,2.520E+00,9.451E-02,3.094E+00,1.690E+00,-3.574E-02,1.888E+00,1.622E+00,3.142E+00,-2.628E-03,2.678E+00,2.634E+00,1.098E-01,3.225E+00,1.790E+00,1.307E-02,1.264E+00,1.555E+00,3.142E+00,-8.451E-03,2.512E+00,2.386E+00,5.697E-02,4.927E+00
1,0.000E+00,0.000E+00,1.624E-05,1.136E-03,1.608E-03,0.000E+00,1.385E-03,1.883E-03,1.402E-03,5.193E-03,5.862E-04,1.108E-03,3.182E-01,1.827E+00,-2.415E-02,1.586E+00,1.202E+00,3.142E+00,-4.513E-03,2.526E+00,2.458E+00,1.065E-01,3.080E+00,1.769E+00,-2.494E-03,1.510E+00,1.407E+00,3.142E+00,-7.481E-03,2.640E+00,2.520E+00,9.407E-02,3.105E+00,1.690E+00,-4.337E-02,1.906E+00,1.647E+00,3.142E+00,-2.560E-03,2.673E+00,2.631E+00,1.107E-01,3.204E+00,1.772E+00,-4.799E-03,1.371E+00,1.545E+00,3.142E+00,-7.654E-03,2.500E+00,2.385E+00,5.802E-02,4.866E+00
2,0.000E+00,0.000E+00,1.392E-05,9.734E-04,1.666E-03,0.000E+00,1.355E-03,1.844E-03,1.260E-03,4.726E-03,8.550E-04,1.792E-03,3.203E-01,1.831E+00,-4.132E-02,1.678E+00,1.193E+00,3.142E+00,-4.267E-03,2.540E+00,2.474E+00,1.020E-01,3.211E+00,1.768E+00,-8.352E-03,1.525E+00,1.425E+00,3.142E+00,-7.688E-03,2.643E+00,2.520E+00,9.364E-02,3.117E+00,1.690E+00,-5.100E-02,1.925E+00,1.672E+00,3.142E+00,-2.492E-03,2.669E+00,2.627E+00,1.116E-01,3.182E+00,1.770E+00,-2.267E-02,1.478E+00,1.534E+00,3.142E+00,-6.858E-03,2.488E+00,2.385E+00,5.908E-02,4.805E+00
3,0.000E+00,0.000E+00,1.160E-05,8.112E-04,1.724E-03,0.000E+00,1.326E-03,1.806E-03,1.119E-03,4.259E-03,1.124E-03,2.475E-03,3.225E-01,1.836E+00,-5.849E-02,1.769E+00,1.183E+00,3.142E+00,-4.022E-03,2.553E+00,2.491E+00,9.764E-02,3.343E+00,1.768E+00,-1.421E-02,1.540E+00,1.443E+00,3.142E+00,-7.895E-03,2.647E+00,2.520E+00,9.320E-02,3.128E+00,1.690E+00,-5.863E-02,1.943E+00,1.697E+00,3.142E+00,-2.423E-03,2.664E+00,2.624E+00,1.125E-01,3.161E+00,1.770E+00,-4.054E-02,1.586E+00,1.524E+00,3.142E+00,-6.061E-03,2.476E+00,2.385E+00,6.013E-02,4.743E+00
4,0.000E+00,0.000E+00,1.044E-05,7.300E-04,1.753E-03,0.000E+00,1.311E-03,1.787E-03,1.048E-03,4.026E-03,1.258E-03,2.817E-03,3.235E-01,1.839E+00,-6.707E-02,1.814E+00,1.178E+00,3.142E+00,-3.899E-03,2.559E+00,2.499E+00,9.544E-02,3.408E+00,1.768E+00,-1.714E-02,1.547E+00,1.452E+00,3.142E+00,-7.998E-03,2.648E+00,2.520E+00,9.298E-02,3.134E+00,1.690E+00,-6.245E-02,1.952E+00,1.710E+00,3.142E+00,-2.389E-03,2.662E+00,2.622E+00,1.130E-01,3.151E+00,1.770E+00,-4.948E-02,1.639E+00,1.519E+00,3.142E+00,-5.663E-03,2.470E+00,2.385E+00,6.066E-02,4.713E+00
5,0.000E+00,0.000E+00,9.277E-06,6.489E-04,1.782E-03,0.000E+00,1.296E-03,1.768E-03,9.775E-04,3.792E-03,1.393E-03,3.158E-03,3.246E-01,1.841E+00,-7.565E-02,1.860E+00,1.173E+00,3.142E+00,-3.776E-03,2.566E+00,2.507E+00,9.323E-02,3.474E+00,1.767E+00,-2.007E-02,1.554E+00,1.461E+00,3.142E+00,-8.101E-03,2.650E+00,2.519E+00,9.277E-02,3.139E+00,1.690E+00,-6.627E-02,1.961E+00,1.723E+00,3.142E+00,-2.355E-03,2.660E+00,2.621E+00,1.134E-01,3.140E+00,1.770E+00,-5.841E-02,1.693E+00,1.514E+00,3.142E+00,-5.264E-03,2.464E+00,2.385E+00,6.119E-02,4.682E+00
6,0.000E+00,0.000E+00,6.958E-06,4.867E-04,1.840E-03,0.000E+00,1.267E-03,1.729E-03,8.362E-04,3.325E-03,1.661E-03,3.842E-03,3.267E-01,1.847E+00,-9.282E-02,1.951E+00,1.164E+00,3.142E+00,-3.531E-03,2.579E+00,2.524E+00,8.883E-02,3.605E+00,1.767E+00,-2.593E-02,1.569E+00,1.480E+00,3.142E+00,-8.308E-03,2.653E+00,2.519E+00,9.233E-02,3.151E+00,1.690E+00,-7.390E-02,1.980E+00,1.748E+00,3.142E+00,-2.287E-03,2.655E+00,2.617E+00,1.143E-01,3.119E+00,1.771E+00,-7.628E-02,1.800E+00,1.503E+00,3.142E+00,-4.468E-03,2.452E+00,2.385E+00,6.224E-02,4.621E+00
7,0.000E+00,0.000E+00,4.639E-06,3.245E-04,1.898E-03,0.000E+00,1.238E-03,1.691E-03,6.948E-04,2.858E-03,1.930E-03,4.525E-03,3.288E-01,1.853E+00,-1.100E-01,2.042E+00,1.154E+00,3.142E+00,-3.285E-03,2.592E+00,2.540E+00,8.442E-02,3.737E+00,1.766E+00,-3.178E-02,1.584E+00,1.498E+00,3.142E+00,-8.514E-03,2.657E+00,2.519E+00,9.190E-02,3.162E+00,1.690E+00,-8.153E-02,1.998E+00,1.773E+00,3.142E+00,-2.219E-03,2.650E+00,2.614E+00,1.153E-01,3.097E+00,1.773E+00,-9.415E-02,1.907E+00,1.493E+00,3.142E+00,-3.671E-03,2.440E+00,2.385E+00,6.329E-02,4.559E+00
8,0.000E+00,0.000E+00,2.319E-06,1.622E-04,1.957E-03,0.000E+00,1.208E-03,1.653E-03,5.535E-04,2.391E-03,2.199E-03,5.208E-03,3.310E-01,1.860E+00,-1.272E-01,2.134E+00,1.144E+00,3.142E+00,-3.039E-03,2.605E+00,2.557E+00,8.002E-02,3.868E+00,1.766E+00,-3.764E-02,1.599E+00,1.516E+00,3.142E+00,-8.721E-03,2.660E+00,2.519E+00,9.146E-02,3.173E+00,1.690E+00,-8.916E-02,2.016E+00,1.798E+00,3.142E+00,-2.151E-03,2.646E+00,2.611E+00,1.162E-01,3.076E+00,1.776E+00,-1.120E-01,2.014E+00,1.482E+00,3.142E+00,-2.874E-03,2.428E+00,2.385E+00,6.435E-02,4.498E+00
9,0.000E+00,0.000E+00,1.160E-06,8.112E-05,1.986E-03,0.000E+00,1.193E-03,1.633E-03,4.828E-04,2.157E-03,2.333E-03,5.550E-03,3.320E-01,1.864E+00,-1.357E-01,2.179E+00,1.140E+00,3.142E+00,-2.917E-03,2.612E+00,2.565E+00,7.781E-02,3.934E+00,1.766E+00,-4.057E-02,1.606E+00,1.525E+00,3.142E+00,-8.824E-03,2.662E+00,2.519E+00,9.124E-02,3.179E+00,1.690E+00,-9.298E-02,2.025E+00,1.811E+00,3.142E+00,-2.116E-03,2.643E+00,2.609E+00,1.166E-01,3.065E+00,1.778E+00,-1.210E-01,2.068E+00,1.477E+00,3.142E+00,-2.476E-03,2.422E+00,2.385E+00,6.487E-02,4.467E+00
10,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.015E-03,0.000E+00,1.179E-03,1.614E-03,4.121E-04,1.924E-03,2.468E-03,5.892E-03,3.331E-01,1.867E+00,-1.443E-01,2.225E+00,1.135E+00,3.142E+00,-2.794E-03,2.618E+00,2.573E+00,7.561E-02,3.999E+00,1.765E+00,-4.350E-02,1.613E+00,1.534E+00,3.142E+00,-8.927E-03,2.663E+00,2.519E+00,9.103E-02,3.185E+00,1.690E+00,-9.680E-02,2.034E+00,1.823E+00,3.142E+00,-2.082E-03,2.641E+00,2.607E+00,1.171E-01,3.055E+00,1.780E+00,-1.299E-01,2.121E+00,1.472E+00,3.142E+00,-2.078E-03,2.416E+00,2.385E+00,6.540E-02,4.437E+00
11,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.042E-03,0.000E+00,1.208E-03,1.639E-03,4.377E-04,2.029E-03,2.501E-03,5.994E-03,3.403E-01,1.850E+00,-1.565E-01,2.298E+00,1.200E+00,3.142E+00,-2.657E-03,2.598E+00,2.556E+00,7.541E-02,4.007E+00,1.757E+00,-7.065E-02,1.816E+00,1.528E+00,3.142E+00,-8.550E-03,2.646E+00,2.509E+00,9.066E-02,3.195E+00,1.689E+00,-1.069E-01,2.088E+00,1.838E+00,3.142E+00,-1.996E-03,2.649E+00,2.616E+00,1.158E-01,3.084E+00,1.780E+00,-1.308E-01,2.072E+00,1.505E+00,3.142E+00,-2.009E-03,2.416E+00,2.386E+00,6.547E-02,4.433E+00
12,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.070E-03,0.000E+00,1.237E-03,1.664E-03,4.634E-04,2.133E-03,2.534E-03,6.097E-03,3.474E-01,1.834E+00,-1.687E-01,2.370E+00,1.265E+00,3.142E+00,-2.520E-03,2.579E+00,2.539E+00,7.522E-02,4.016E+00,1.753E+00,-9.780E-02,2.019E+00,1.523E+00,3.142E+00,-8.172E-03,2.630E+00,2.498E+00,9.029E-02,3.205E+00,1.688E+00,-1.171E-01,2.142E+00,1.853E+00,3.142E+00,-1.909E-03,2.656E+00,2.625E+00,1.146E-01,3.114E+00,1.781E+00,-1.316E-01,2.023E+00,1.538E+00,3.142E+00,-1.939E-03,2.416E+00,2.388E+00,6.555E-02,4.429E+00
13,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.097E-03,0.000E+00,1.266E-03,1.689E-03,4.890E-04,2.238E-03,2.567E-03,6.199E-03,3.546E-01,1.819E+00,-1.808E-01,2.443E+00,1.331E+00,3.142E+00,-2.383E-03,2.559E+00,2.521E+00,7.502E-02,4.024E+00,1.751E+00,-1.250E-01,2.221E+00,1.517E+00,3.142E+00,-7.795E-03,2.613E+00,2.488E+00,8.992E-02,3.215E+00,1.687E+00,-1.272E-01,2.196E+00,1.867E+00,3.142E+00,-1.823E-03,2.663E+00,2.633E+00,1.133E-01,3.144E+00,1.783E+00,-1.325E-01,1.975E+00,1.570E+00,3.142E+00,-1.870E-03,2.417E+00,2.389E+00,6.562E-02,4.425E+00
14,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.111E-03,0.000E+00,1.280E-03,1.701E-03,5.018E-04,2.290E-03,2.584E-03,6.250E-03,3.582E-01,1.812E+00,-1.869E-01,2.480E+00,1.363E+00,3.142E+00,-2.314E-03,2.549E+00,2.513E+00,7.492E-02,4.028E+00,1.750E+00,-1.385E-01,2.323E+00,1.514E+00,3.142E+00,-7.606E-03,2.604E+00,2.483E+00,8.973E-02,3.220E+00,1.686E+00,-1.323E-01,2.222E+00,1.875E+00,3.142E+00,-1.779E-03,2.667E+00,2.638E+00,1.127E-01,3.159E+00,1.783E+00,-1.329E-01,1.950E+00,1.587E+00,3.142E+00,-1.836E-03,2.417E+00,2.390E+00,6.565E-02,4.424E+00
15,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.125E-03,0.000E+00,1.295E-03,1.714E-03,5.146E-04,2.343E-03,2.601E-03,6.302E-03,3.618E-01,1.804E+00,-1.930E-01,2.516E+00,1.396E+00,3.142E+00,-2.246E-03,2.539E+00,2.504E+00,7.482E-02,4.032E+00,1.751E+00,-1.521E-01,2.424E+00,1.511E+00,3.142E+00,-7.417E-03,2.596E+00,2.478E+00,8.955E-02,3.225E+00,1.686E+00,-1.373E-01,2.249E+00,1.882E+00,3.142E+00,-1.736E-03,2.671E+00,2.642E+00,1.121E-01,3.174E+00,1.784E+00,-1.334E-01,1.926E+00,1.603E+00,3.142E+00,-1.801E-03,2.417E+00,2.390E+00,6.569E-02,4.422E+00
16,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.153E-03,0.000E+00,1.324E-03,1.739E-03,5.403E-04,2.448E-03,2.634E-03,6.404E-03,3.689E-01,1.791E+00,-2.052E-01,2.589E+00,1.461E+00,3.142E+00,-2.109E-03,2.519E+00,2.487E+00,7.463E-02,4.041E+00,1.753E+00,-1.793E-01,2.626E+00,1.505E+00,3.142E+00,-7.040E-03,2.579E+00,2.468E+00,8.918E-02,3.235E+00,1.685E+00,-1.475E-01,2.303E+00,1.897E+00,3.142E+00,-1.649E-03,2.678E+00,2.651E+00,1.108E-01,3.204E+00,1.786E+00,-1.343E-01,1.877E+00,1.636E+00,3.142E+00,-1.732E-03,2.417E+00,2.392E+00,6.576E-02,4.418E+00
17,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.180E-03,0.000E+00,1.353E-03,1.764E-03,5.659E-04,2.552E-03,2.667E-03,6.507E-03,3.761E-01,1.778E+00,-2.174E-01,2.661E+00,1.527E+00,3.142E+00,-1.972E-03,2.500E+00,2.469E+00,7.443E-02,4.049E+00,1.756E+00,-2.064E-01,2.829E+00,1.499E+00,3.142E+00,-6.662E-03,2.562E+00,2.458E+00,8.881E-02,3.246E+00,1.685E+00,-1.576E-01,2.357E+00,1.912E+00,3.142E+00,-1.563E-03,2.686E+00,2.660E+00,1.096E-01,3.234E+00,1.789E+00,-1.351E-01,1.828E+00,1.669E+00,3.142E+00,-1.663E-03,2.418E+00,2.393E+00,6.584E-02,4.414E+00
18,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.208E-03,0.000E+00,1.382E-03,1.789E-03,5.916E-04,2.657E-03,2.700E-03,6.609E-03,3.833E-01,1.765E+00,-2.295E-01,2.734E+00,1.592E+00,3.142E+00,-1.835E-03,2.480E+00,2.452E+00,7.424E-02,4.057E+00,1.761E+00,-2.336E-01,3.032E+00,1.494E+00,3.142E+00,-6.285E-03,2.545E+00,2.448E+00,8.844E-02,3.256E+00,1.684E+00,-1.677E-01,2.411E+00,1.927E+00,3.142E+00,-1.476E-03,2.693E+00,2.668E+00,1.083E-01,3.263E+00,1.791E+00,-1.360E-01,1.779E+00,1.702E+00,3.142E+00,-1.594E-03,2.418E+00,2.394E+00,6.591E-02,4.410E+00
19,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.222E-03,0.000E+00,1.397E-03,1.801E-03,6.044E-04,2.709E-03,2.717E-03,6.661E-03,3.868E-01,1.759E+00,-2.356E-01,2.771E+00,1.625E+00,3.142E+00,-1.766E-03,2.470E+00,2.443E+00,7.414E-02,4.061E+00,1.764E+00,-2.471E-01,3.133E+00,1.491E+00,3.142E+00,-6.096E-03,2.537E+00,2.443E+00,8.826E-02,3.261E+00,1.684E+00,-1.728E-01,2.437E+00,1.934E+00,3.142E+00,-1.433E-03,2.697E+00,2.673E+00,1.077E-01,3.278E+00,1.793E+00,-1.364E-01,1.755E+00,1.719E+00,3.142E+00,-1.559E-03,2.418E+00,2.395E+00,6.595E-02,4.409E+00
20,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.235E-03,0.000E+00,1.411E-03,1.813E-03,6.172E-04,2.762E-03,2.733E-03,6.712E-03,3.904E-01,1.753E+00,-2.417E-01,2.807E+00,1.657E+00,3.142E+00,-1.698E-03,2.460E+00,2.435E+00,7.404E-02,4.065E+00,1.767E+00,-2.607E-01,3.234E+00,1.488E+00,3.142E+00,-5.907E-03,2.528E+00,2.438E+00,8.807E-02,3.266E+00,1.683E+00,-1.779E-01,2.464E+00,1.941E+00,3.142E+00,-1.390E-03,2.701E+00,2.677E+00,1.071E-01,3.293E+00,1.794E+00,-1.369E-01,1.730E+00,1.735E+00,3.142E+00,-1.525E-03,2.418E+00,2.396E+00,6.598E-02,4.407E+00
21,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.309E-03,0.000E+00,1.462E-03,1.885E-03,6.477E-04,2.886E-03,2.836E-03,6.890E-03,4.042E-01,1.748E+00,-2.558E-01,2.943E+00,1.670E+00,3.142E+00,-2.074E-03,2.486E+00,2.454E+00,7.381E-02,4.075E+00,1.764E+00,-2.791E-01,3.402E+00,1.502E+00,3.142E+00,-5.152E-03,2.517E+00,2.439E+00,8.872E-02,3.248E+00,1.685E+00,-1.908E-01,2.571E+00,1.920E+00,3.142E+00,-1.390E-03,2.700E+00,2.676E+00,1.071E-01,3.294E+00,1.793E+00,-1.638E-01,1.930E+00,1.689E+00,3.142E+00,-1.994E-03,2.436E+00,2.406E+00,6.585E-02,4.414E+00
22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.383E-03,0.000E+00,1.512E-03,1.957E-03,6.782E-04,3.010E-03,2.938E-03,7.067E-03,4.180E-01,1.744E+00,-2.700E-01,3.078E+00,1.683E+00,3.142E+00,-2.451E-03,2.512E+00,2.474E+00,7.358E-02,4.085E+00,1.762E+00,-2.975E-01,3.569E+00,1.516E+00,3.142E+00,-4.396E-03,2.506E+00,2.439E+00,8.937E-02,3.231E+00,1.688E+00,-2.037E-01,2.677E+00,1.899E+00,3.142E+00,-1.390E-03,2.699E+00,2.676E+00,1.071E-01,3.294E+00,1.796E+00,-1.908E-01,2.130E+00,1.643E+00,3.142E+00,-2.464E-03,2.453E+00,2.416E+00,6.571E-02,4.421E+00
23,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.457E-03,0.000E+00,1.563E-03,2.029E-03,7.087E-04,3.133E-03,3.041E-03,7.245E-03,4.318E-01,1.740E+00,-2.841E-01,3.214E+00,1.696E+00,3.142E+00,-2.828E-03,2.538E+00,2.493E+00,7.335E-02,4.095E+00,1.761E+00,-3.160E-01,3.737E+00,1.530E+00,3.142E+00,-3.641E-03,2.495E+00,2.439E+00,9.001E-02,3.213E+00,1.691E+00,-2.167E-01,2.784E+00,1.878E+00,3.142E+00,-1.390E-03,2.698E+00,2.675E+00,1.070E-01,3.295E+00,1.801E+00,-2.177E-01,2.331E+00,1.597E+00,3.142E+00,-2.934E-03,2.471E+00,2.426E+00,6.558E-02,4.428E+00
24,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.494E-03,0.000E+00,1.588E-03,2.065E-03,7.240E-04,3.195E-03,3.092E-03,7.334E-03,4.387E-01,1.738E+00,-2.912E-01,3.281E+00,1.703E+00,3.142E+00,-3.016E-03,2.551E+00,2.503E+00,7.324E-02,4.100E+00,1.760E+00,-3.252E-01,3.820E+00,1.537E+00,3.142E+00,-3.263E-03,2.489E+00,2.439E+00,9.034E-02,3.205E+00,1.693E+00,-2.231E-01,2.837E+00,1.867E+00,3.142E+00,-1.390E-03,2.698E+00,2.675E+00,1.070E-01,3.295E+00,1.805E+00,-2.312E-01,2.431E+00,1.574E+00,3.142E+00,-3.169E-03,2.480E+00,2.431E+00,6.551E-02,4.431E+00
25,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.531E-03,0.000E+00,1.613E-03,2.101E-03,7.393E-04,3.257E-03,3.143E-03,7.423E-03,4.456E-01,1.736E+00,-2.982E-01,3.349E+00,1.710E+00,3.142E+00,-3.204E-03,2.564E+00,2.513E+00,7.312E-02,4.105E+00,1.760E+00,-3.344E-01,3.904E+00,1.544E+00,3.142E+00,-2.885E-03,2.483E+00,2.439E+00,9.066E-02,3.196E+00,1.694E+00,-2.296E-01,2.891E+00,1.856E+00,3.142E+00,-1.390E-03,2.698E+00,2.674E+00,1.070E-01,3.295E+00,1.810E+00,-2.447E-01,2.531E+00,1.551E+00,3.142E+00,-3.404E-03,2.488E+00,2.436E+00,6.544E-02,4.435E+00
