alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
26.0,0.0,0.0,0.0040351562499999615,0.0020605468749999626,0.0,0.0,0.0,0.0019738769531249998,0.011690795898437438,0.6055677635142849,1.7695545212249,-0.18282573892573994,2.2528238564306244,1.655380448178509,8.283185307179584,0.12700022176012157,1.0,1.0,0.05789117783397105,4.068877645177045,1.6437090926882099,-0.11129816988502114,2.1558413079562206,2.0740115225813724,8.283185307179584,0.09587333629744317,1.0,1.0,0.10340345694902388,3.392107083296212,1.7938362609113698,-0.2523687723120858,2.881414220116641,1.485350341847486,8.283185307179584,0.1405468809876288,1.0,1.0,0.03841942082473037,5.637984832065461
27.0,0.0,0.0,0.0041416015624999745,0.002084960937499975,0.0,0.0,0.0,0.00204736328125,0.011983642578124926,0.6207885147991731,1.7844742974161538,-0.1957355645235972,2.33025631574691,1.5901980793317938,8.283185307179584,0.1302867303243584,1.0,1.0,0.05790165233020686,4.068366749042099,1.6481376136161585,-0.1173005350071292,2.1634750724681764,2.0736437357742687,8.283185307179584,0.10112104820711856,1.0,1.0,0.103167826241783,3.3985698154723583,1.8080420632326475,-0.27838067364525787,3.082589606391081,1.4367577071587587,8.283185307179584,0.14908487405426007,1.0,1.0,0.038405589199383056,5.63933784241399
28.0,0.0,0.0,0.0042480468749999875,0.0021093749999999876,0.0,0.0,0.0,0.002120849609375,0.012276489257812412,0.6360092660840613,1.8004652614942267,-0.20864539012145444,2.4076887750631952,1.5250157104850786,8.283185307179584,0.13357323888859518,1.0,1.0,0.057912126826442666,4.067855852907153,1.6525310155998527,-0.12330290012923725,2.171108836980132,2.073275948967165,8.283185307179584,0.10636876011679396,1.0,1.0,0.10293219553454211,3.4050325476485046,1.8240417464455563,-0.30439257497843,3.283764992665521,1.3881650724700312,8.283185307179584,0.15762286712089135,1.0,1.0,0.03839175757403574,5.6406908527625195
29.0,0.0,0.0,0.004301269531249994,0.002121582031249994,0.0,0.0,0.0,0.0021575927734374997,0.012422912597656155,0.6436196417265054,1.8088748954784954,-0.21510030292038307,2.446405004721338,1.4924245260617208,8.283185307179584,0.1352164931707136,1.0,1.0,0.057917364074560565,4.067600404839679,1.6547142854294403,-0.12630408269029128,2.1749257192361098,2.073092055563613,8.283185307179584,0.10899261607163166,1.0,1.0,0.10281438018092168,3.4082639137365778,1.8326740205860972,-0.317398525645016,3.384352685802741,1.3638687551256674,8.283185307179584,0.161891863654207,1.0,1.0,0.03838484176136209,5.641367357936785
30.0,0.0,0.0,0.0043544921875,0.0021337890625,0.0,0.0,0.0,0.0021943359375,0.0125693359374999,0.6512300173689495,1.8175682230156964,-0.22155521571931172,2.4851212343794806,1.459833341638363,8.283185307179584,0.136859747452832,1.0,1.0,0.05792260132267847,4.067344956772206,1.6568884669079273,-0.1293052652513453,2.178742601492088,2.072908162160061,8.283185307179584,0.11161647202646935,1.0,1.0,0.10269656482730123,3.4114952798246505,1.8417101661243627,-0.330404476311602,3.484940378939961,1.3395724377813039,8.283185307179584,0.16616086018752266,1.0,1.0,0.03837792594868843,5.642043863111049
31.0,0.0,0.0,0.0045963134765625,0.0021868896484375,0.0,0.0,4.8828125e-07,0.0023808593749999876,0.013349731445312412,0.6887680870240027,1.8155691162085161,-0.24072299471617087,2.5859669556225713,1.486406857164728,8.283185307179584,0.15105249816478183,1.0,1.0,0.05772224474198833,4.077320571581216,1.656340346725597,-0.13661364183350672,2.2085834676018368,2.090915007571094,8.283185307179584,0.11851659167838938,1.0,1.0,0.10242396737195936,3.419237475230765,1.8274772812358058,-0.33932419764435917,3.5187305730381504,1.407094894694438,8.283185307179584,0.17982884783664,1.0,1.0,0.038090264817902265,5.671586113538453
32.0,0.0,0.0,0.00471722412109375,0.00221343994140625,0.0,0.0,7.32421875e-07,0.002474121093749981,0.013739929199218669,0.7075371218515293,1.8146480960372464,-0.25030688421460046,2.636389816244116,1.4996936149279105,8.283185307179584,0.15814887352075677,1.0,1.0,0.057622066451643264,4.082308378985721,1.6560708544895562,-0.14026783012458743,2.223503900656711,2.09991843027661,8.283185307179584,0.12196665150434939,1.0,1.0,0.10228766864428843,3.4231085729338218,1.8206190250878218,-0.3437840583107378,3.535625670087245,1.4408561231510049,8.283185307179584,0.18666284166119868,1.0,1.0,0.03794643425250918,5.686357238752154
33.0,0.0,0.0,0.004838134765625,0.002239990234375,0.0,0.0,9.765625e-07,0.002567382812499975,0.014130126953124926,0.7263061566790558,1.8137736228024721,-0.25989077371303,2.6868126768656615,1.5129803726910929,8.283185307179584,0.1652452488767317,1.0,1.0,0.05752188816129819,4.087296186390226,1.6558042400322042,-0.14392201841566815,2.2384243337115857,2.1089218529821263,8.283185307179584,0.1254167113303094,1.0,1.0,0.1021513699166175,3.4269796706368787,1.813923115980448,-0.3482439189771164,3.5525207671363397,1.4746173516075718,8.283185307179584,0.19349683548575736,1.0,1.0,0.037802603687116104,5.701128363965855
34.0,0.0,0.0,0.00495904541015625,0.0022665405273437503,0.0,0.0,1.220703125e-06,0.0026606445312499687,0.014520324707031181,0.7450751915065824,1.812941528938778,-0.2694746632114595,2.737235537487207,1.5262671304542752,8.283185307179584,0.17234162423270663,1.0,1.0,0.057421709870953117,4.092283993794732,1.6555403779436362,-0.14757620670674887,2.25334476676646,2.1179252756876426,8.283185307179584,0.12886677115626943,1.0,1.0,0.10201507118894657,3.4308507683399356,1.8073826951766834,-0.352703779643495,3.5694158641854346,1.5083785800641387,8.283185307179584,0.20033082931031604,1.0,1.0,0.03765877312172303,5.715899489179558
35.0,0.0,0.0,0.0050799560546875,0.0022930908203125,0.0,0.0,1.46484375e-06,0.002753906249999962,0.014910522460937438,0.763844226334109,1.8121477875703342,-0.2790585527098891,2.7876583981087517,1.5395538882174575,8.283185307179584,0.17943799958868156,1.0,1.0,0.05732153158060805,4.097271801199237,1.6552791429668636,-0.15123039499782956,2.268265199821334,2.126928698393159,8.283185307179584,0.13231683098222946,1.0,1.0,0.10187877246127564,3.4347218660429926,1.8009912533072259,-0.3571636403098735,3.586310961234529,1.5421398085207056,8.283185307179584,0.20716482313487472,1.0,1.0,0.03751494255632994,5.730670614393259
