alpha,He,Mn,S,Mn_1,S_1,amu/ion,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,energyK_Mn,energyE_Mn,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
34,0.000E+00,1.707E-02,0.000E+00,9.902E-02,1.162E-01,1.010E+01,1.759E+00,-2.326E-01,2.694E+00,1.650E+00,3.142E+00,-5.304E-05,2.405E+00,2.404E+00,1.448E-01,2.975E+00,1.713E+00,-1.641E-01,2.317E+00,1.816E+00,3.142E+00,8.171E-04,2.490E+00,2.503E+00,1.510E-01,2.942E+00
35,0.000E+00,1.738E-02,0.000E+00,1.015E-01,1.190E-01,1.035E+01,1.757E+00,-2.337E-01,2.696E+00,1.666E+00,3.142E+00,8.032E-05,2.403E+00,2.404E+00,1.446E-01,2.978E+00,1.712E+00,-1.681E-01,2.346E+00,1.817E+00,3.142E+00,8.386E-04,2.490E+00,2.503E+00,1.511E-01,2.941E+00
36,0.000E+00,1.769E-02,0.000E+00,1.041E-01,1.219E-01,1.060E+01,1.754E+00,-2.347E-01,2.698E+00,1.681E+00,3.142E+00,2.137E-04,2.401E+00,2.404E+00,1.444E-01,2.981E+00,1.712E+00,-1.720E-01,2.375E+00,1.818E+00,3.142E+00,8.601E-04,2.489E+00,2.503E+00,1.511E-01,2.941E+00
37,0.000E+00,1.801E-02,0.000E+00,1.066E-01,1.247E-01,1.084E+01,1.752E+00,-2.358E-01,2.701E+00,1.696E+00,3.142E+00,3.470E-04,2.399E+00,2.404E+00,1.443E-01,2.985E+00,1.711E+00,-1.760E-01,2.404E+00,1.819E+00,3.142E+00,8.816E-04,2.489E+00,2.502E+00,1.511E-01,2.940E+00
38,0.000E+00,1.832E-02,0.000E+00,1.091E-01,1.275E-01,1.109E+01,1.749E+00,-2.369E-01,2.703E+00,1.711E+00,3.142E+00,4.804E-04,2.397E+00,2.404E+00,1.441E-01,2.988E+00,1.711E+00,-1.799E-01,2.433E+00,1.821E+00,3.142E+00,9.031E-04,2.488E+00,2.502E+00,1.512E-01,2.940E+00
39,0.000E+00,1.863E-02,0.000E+00,1.116E-01,1.304E-01,1.134E+01,1.747E+00,-2.380E-01,2.705E+00,1.726E+00,3.142E+00,6.138E-04,2.395E+00,2.404E+00,1.439E-01,2.991E+00,1.711E+00,-1.839E-01,2.461E+00,1.822E+00,3.142E+00,9.246E-04,2.488E+00,2.502E+00,1.512E-01,2.939E+00
40,0.000E+00,1.894E-02,0.000E+00,1.142E-01,1.332E-01,1.158E+01,1.744E+00,-2.391E-01,2.707E+00,1.741E+00,3.142E+00,7.471E-04,2.392E+00,2.403E+00,1.438E-01,2.994E+00,1.710E+00,-1.879E-01,2.490E+00,1.823E+00,3.142E+00,9.460E-04,2.487E+00,2.502E+00,1.512E-01,2.938E+00
41,0.000E+00,1.926E-02,0.000E+00,1.167E-01,1.360E-01,1.183E+01,1.742E+00,-2.401E-01,2.709E+00,1.756E+00,3.142E+00,8.805E-04,2.390E+00,2.403E+00,1.436E-01,2.998E+00,1.710E+00,-1.918E-01,2.519E+00,1.825E+00,3.142E+00,9.675E-04,2.487E+00,2.502E+00,1.513E-01,2.938E+00
42,0.000E+00,1.957E-02,0.000E+00,1.192E-01,1.389E-01,1.208E+01,1.739E+00,-2.412E-01,2.711E+00,1.771E+00,3.142E+00,1.014E-03,2.388E+00,2.403E+00,1.434E-01,3.001E+00,1.710E+00,-1.958E-01,2.548E+00,1.826E+00,3.142E+00,9.890E-04,2.486E+00,2.502E+00,1.513E-01,2.937E+00
43,0.000E+00,1.988E-02,0.000E+00,1.217E-01,1.417E-01,1.232E+01,1.737E+00,-2.423E-01,2.713E+00,1.786E+00,3.142E+00,1.147E-03,2.386E+00,2.403E+00,1.433E-01,3.004E+00,1.709E+00,-1.997E-01,2.577E+00,1.827E+00,3.142E+00,1.011E-03,2.486E+00,2.502E+00,1.513E-01,2.936E+00
44,0.000E+00,2.020E-02,0.000E+00,1.242E-01,1.445E-01,1.257E+01,1.735E+00,-2.434E-01,2.715E+00,1.801E+00,3.142E+00,1.281E-03,2.384E+00,2.403E+00,1.431E-01,3.008E+00,1.709E+00,-2.037E-01,2.606E+00,1.828E+00,3.142E+00,1.032E-03,2.485E+00,2.501E+00,1.514E-01,2.936E+00
45,0.000E+00,2.051E-02,0.000E+00,1.268E-01,1.474E-01,1.282E+01,1.732E+00,-2.444E-01,2.718E+00,1.816E+00,3.142E+00,1.414E-03,2.382E+00,2.403E+00,1.429E-01,3.011E+00,1.709E+00,-2.077E-01,2.635E+00,1.830E+00,3.142E+00,1.053E-03,2.485E+00,2.501E+00,1.514E-01,2.935E+00
46,0.000E+00,2.116E-02,0.000E+00,1.321E-01,1.533E-01,1.333E+01,1.730E+00,-2.706E-01,3.086E+00,1.749E+00,3.142E+00,1.584E-03,2.382E+00,2.405E+00,1.426E-01,3.017E+00,1.703E+00,-2.011E-01,2.585E+00,1.859E+00,3.142E+00,1.207E-03,2.484E+00,2.503E+00,1.507E-01,2.949E+00
47,0.000E+00,2.181E-02,0.000E+00,1.374E-01,1.593E-01,1.385E+01,1.732E+00,-2.968E-01,3.455E+00,1.683E+00,3.142E+00,1.755E-03,2.381E+00,2.407E+00,1.422E-01,3.024E+00,1.698E+00,-1.945E-01,2.535E+00,1.889E+00,3.142E+00,1.360E-03,2.483E+00,2.504E+00,1.500E-01,2.962E+00
48,0.000E+00,2.246E-02,0.000E+00,1.427E-01,1.653E-01,1.437E+01,1.739E+00,-3.230E-01,3.823E+00,1.617E+00,3.142E+00,1.925E-03,2.381E+00,2.409E+00,1.419E-01,3.031E+00,1.693E+00,-1.879E-01,2.484E+00,1.919E+00,3.142E+00,1.513E-03,2.483E+00,2.506E+00,1.492E-01,2.975E+00
49,0.000E+00,2.279E-02,0.000E+00,1.454E-01,1.682E-01,1.463E+01,1.744E+00,-3.361E-01,4.008E+00,1.583E+00,3.142E+00,2.010E-03,2.381E+00,2.410E+00,1.417E-01,3.034E+00,1.691E+00,-1.846E-01,2.459E+00,1.934E+00,3.142E+00,1.590E-03,2.482E+00,2.507E+00,1.489E-01,2.982E+00
50,0.000E+00,2.311E-02,0.000E+00,1.480E-01,1.712E-01,1.489E+01,1.750E+00,-3.492E-01,4.192E+00,1.550E+00,3.142E+00,2.095E-03,2.381E+00,2.411E+00,1.416E-01,3.037E+00,1.689E+00,-1.813E-01,2.434E+00,1.949E+00,3.142E+00,1.666E-03,2.482E+00,2.507E+00,1.485E-01,2.989E+00
51,0.000E+00,2.406E-02,0.000E+00,1.558E-01,1.799E-01,1.565E+01,1.743E+00,-3.553E-01,4.353E+00,1.558E+00,3.142E+00,2.205E-03,2.377E+00,2.409E+00,1.417E-01,3.035E+00,1.686E+00,-1.905E-01,2.550E+00,1.930E+00,3.142E+00,2.064E-03,2.471E+00,2.502E+00,1.484E-01,2.990E+00
52,0.000E+00,2.501E-02,0.000E+00,1.635E-01,1.886E-01,1.640E+01,1.736E+00,-3.613E-01,4.513E+00,1.565E+00,3.142E+00,2.314E-03,2.373E+00,2.407E+00,1.418E-01,3.032E+00,1.683E+00,-1.997E-01,2.665E+00,1.911E+00,3.142E+00,2.462E-03,2.460E+00,2.497E+00,1.484E-01,2.992E+00
53,0.000E+00,2.596E-02,0.000E+00,1.712E-01,1.972E-01,1.715E+01,1.729E+00,-3.673E-01,4.674E+00,1.573E+00,3.142E+00,2.424E-03,2.370E+00,2.405E+00,1.420E-01,3.029E+00,1.682E+00,-2.089E-01,2.781E+00,1.893E+00,3.142E+00,2.860E-03,2.449E+00,2.492E+00,1.483E-01,2.993E+00
54,0.000E+00,2.643E-02,0.000E+00,1.751E-01,2.016E-01,1.753E+01,1.726E+00,-3.703E-01,4.754E+00,1.577E+00,3.142E+00,2.479E-03,2.368E+00,2.404E+00,1.421E-01,3.028E+00,1.681E+00,-2.135E-01,2.839E+00,1.883E+00,3.142E+00,3.059E-03,2.444E+00,2.490E+00,1.483E-01,2.994E+00
55,0.000E+00,2.690E-02,0.000E+00,1.789E-01,2.059E-01,1.791E+01,1.723E+00,-3.734E-01,4.835E+00,1.581E+00,3.142E+00,2.534E-03,2.366E+00,2.403E+00,1.421E-01,3.026E+00,1.681E+00,-2.181E-01,2.897E+00,1.874E+00,3.142E+00,3.258E-03,2.438E+00,2.487E+00,1.482E-01,2.995E+00
56,0.000E+00,2.785E-02,0.000E+00,1.866E-01,2.146E-01,1.866E+01,1.717E+00,-3.794E-01,4.995E+00,1.588E+00,3.142E+00,2.643E-03,2.363E+00,2.401E+00,1.423E-01,3.023E+00,1.680E+00,-2.273E-01,3.012E+00,1.855E+00,3.142E+00,3.655E-03,2.427E+00,2.482E+00,1.481E-01,2.996E+00
57,0.000E+00,2.880E-02,0.000E+00,1.943E-01,2.233E-01,1.942E+01,1.711E+00,-3.854E-01,5.156E+00,1.596E+00,3.142E+00,2.753E-03,2.359E+00,2.399E+00,1.424E-01,3.021E+00,1.680E+00,-2.365E-01,3.128E+00,1.837E+00,3.142E+00,4.053E-03,2.416E+00,2.477E+00,1.481E-01,2.997E+00
58,0.000E+00,2.975E-02,0.000E+00,2.021E-01,2.319E-01,2.017E+01,1.706E+00,-3.915E-01,5.316E+00,1.604E+00,3.142E+00,2.863E-03,2.355E+00,2.397E+00,1.425E-01,3.018E+00,1.681E+00,-2.457E-01,3.243E+00,1.818E+00,3.142E+00,4.451E-03,2.406E+00,2.472E+00,1.480E-01,2.999E+00
59,0.000E+00,3.022E-02,0.000E+00,2.059E-01,2.363E-01,2.055E+01,1.703E+00,-3.945E-01,5.397E+00,1.608E+00,3.142E+00,2.918E-03,2.353E+00,2.396E+00,1.426E-01,3.017E+00,1.682E+00,-2.503E-01,3.301E+00,1.809E+00,3.142E+00,4.650E-03,2.400E+00,2.470E+00,1.479E-01,3.000E+00
60,0.000E+00,3.070E-02,0.000E+00,2.098E-01,2.406E-01,2.093E+01,1.701E+00,-3.975E-01,5.477E+00,1.611E+00,3.142E+00,2.972E-03,2.352E+00,2.395E+00,1.427E-01,3.015E+00,1.682E+00,-2.549E-01,3.359E+00,1.800E+00,3.142E+00,4.849E-03,2.395E+00,2.467E+00,1.479E-01,3.000E+00
61,0.000E+00,3.211E-02,1.953E-07,2.218E-01,2.540E-01,2.209E+01,1.694E+00,-4.209E-01,6.388E+00,1.550E+00,3.142E+00,2.325E-03,2.360E+00,2.393E+00,1.419E-01,3.030E+00,1.664E+00,-2.823E-01,3.999E+00,1.751E+00,3.142E+00,3.301E-03,2.430E+00,2.479E+00,1.477E-01,3.005E+00
62,0.000E+00,3.352E-02,3.906E-07,2.338E-01,2.675E-01,2.326E+01,1.695E+00,-4.442E-01,7.299E+00,1.489E+00,3.142E+00,1.677E-03,2.368E+00,2.392E+00,1.412E-01,3.045E+00,1.655E+00,-3.096E-01,4.639E+00,1.702E+00,3.142E+00,1.754E-03,2.464E+00,2.490E+00,1.474E-01,3.010E+00
