alpha,H,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O
2.000E+01,0.000E+00,0.000E+00,2.957E-03,3.506E-03,0.000E+00,0.000E+00,0.000E+00,2.598E-03,1.165E-02,6.694E-01,1.733E+00,-6.929E-02,1.575E+00,1.885E+00,4.935E+00,7.777E-02,1.000E+00,1.000E+00,4.616E-02,4.857E+00,1.687E+00,-7.824E-02,1.648E+00,2.140E+00,4.935E+00,9.878E-02,1.000E+00,1.000E+00,6.087E-02,3.929E+00,1.621E+00,-8.044E-02,2.110E+00,2.081E+00,4.935E+00,6.336E-02,1.000E+00,1.000E+00,1.266E-01,2.859E+00
2.100E+01,0.000E+00,0.000E+00,3.016E-03,3.543E-03,0.000E+00,0.000E+00,1.221E-07,2.706E-03,1.200E-02,6.857E-01,1.732E+00,-9.088E-02,1.707E+00,1.868E+00,4.935E+00,8.805E-02,1.000E+00,1.000E+00,4.605E-02,4.864E+00,1.695E+00,-9.949E-02,1.787E+00,2.052E+00,4.935E+00,1.029E-01,1.000E+00,1.000E+00,6.082E-02,3.931E+00,1.618E+00,-8.381E-02,2.120E+00,2.109E+00,4.935E+00,6.845E-02,1.000E+00,1.000E+00,1.261E-01,2.869E+00
2.200E+01,0.000E+00,0.000E+00,3.074E-03,3.581E-03,0.000E+00,0.000E+00,2.441E-07,2.814E-03,1.234E-02,7.020E-01,1.732E+00,-1.125E-01,1.839E+00,1.851E+00,4.935E+00,9.833E-02,1.000E+00,1.000E+00,4.594E-02,4.872E+00,1.705E+00,-1.207E-01,1.926E+00,1.964E+00,4.935E+00,1.071E-01,1.000E+00,1.000E+00,6.077E-02,3.934E+00,1.616E+00,-8.718E-02,2.130E+00,2.137E+00,4.935E+00,7.354E-02,1.000E+00,1.000E+00,1.256E-01,2.878E+00
2.300E+01,0.000E+00,0.000E+00,3.133E-03,3.618E-03,0.000E+00,0.000E+00,3.662E-07,2.922E-03,1.269E-02,7.183E-01,1.733E+00,-1.341E-01,1.971E+00,1.834E+00,4.935E+00,1.086E-01,1.000E+00,1.000E+00,4.584E-02,4.880E+00,1.718E+00,-1.420E-01,2.064E+00,1.876E+00,4.935E+00,1.112E-01,1.000E+00,1.000E+00,6.072E-02,3.936E+00,1.613E+00,-9.056E-02,2.141E+00,2.165E+00,4.935E+00,7.862E-02,1.000E+00,1.000E+00,1.251E-01,2.888E+00
2.400E+01,0.000E+00,0.000E+00,3.162E-03,3.637E-03,0.000E+00,0.000E+00,4.272E-07,2.976E-03,1.286E-02,7.264E-01,1.734E+00,-1.449E-01,2.037E+00,1.825E+00,4.935E+00,1.138E-01,1.000E+00,1.000E+00,4.578E-02,4.884E+00,1.725E+00,-1.526E-01,2.134E+00,1.832E+00,4.935E+00,1.133E-01,1.000E+00,1.000E+00,6.069E-02,3.937E+00,1.612E+00,-9.224E-02,2.146E+00,2.179E+00,4.935E+00,8.117E-02,1.000E+00,1.000E+00,1.248E-01,2.893E+00
2.500E+01,0.000E+00,0.000E+00,3.191E-03,3.655E-03,0.000E+00,0.000E+00,4.883E-07,3.030E-03,1.303E-02,7.346E-01,1.735E+00,-1.557E-01,2.103E+00,1.817E+00,4.935E+00,1.189E-01,1.000E+00,1.000E+00,4.573E-02,4.888E+00,1.733E+00,-1.632E-01,2.203E+00,1.788E+00,4.935E+00,1.153E-01,1.000E+00,1.000E+00,6.066E-02,3.939E+00,1.611E+00,-9.393E-02,2.151E+00,2.193E+00,4.935E+00,8.371E-02,1.000E+00,1.000E+00,1.246E-01,2.898E+00
2.600E+01,0.000E+00,0.000E+00,3.250E-03,3.693E-03,0.000E+00,0.000E+00,6.104E-07,3.138E-03,1.338E-02,7.509E-01,1.738E+00,-1.772E-01,2.235E+00,1.800E+00,4.935E+00,1.292E-01,1.000E+00,1.000E+00,4.562E-02,4.895E+00,1.750E+00,-1.845E-01,2.342E+00,1.700E+00,4.935E+00,1.195E-01,1.000E+00,1.000E+00,6.061E-02,3.941E+00,1.608E+00,-9.730E-02,2.162E+00,2.221E+00,4.935E+00,8.880E-02,1.000E+00,1.000E+00,1.241E-01,2.908E+00
2.700E+01,0.000E+00,0.000E+00,3.309E-03,3.730E-03,0.000E+00,0.000E+00,7.324E-07,3.246E-03,1.372E-02,7.672E-01,1.743E+00,-1.988E-01,2.367E+00,1.783E+00,4.935E+00,1.395E-01,1.000E+00,1.000E+00,4.551E-02,4.903E+00,1.770E+00,-2.057E-01,2.480E+00,1.611E+00,4.935E+00,1.236E-01,1.000E+00,1.000E+00,6.056E-02,3.943E+00,1.606E+00,-1.007E-01,2.172E+00,2.249E+00,4.935E+00,9.389E-02,1.000E+00,1.000E+00,1.236E-01,2.917E+00
2.800E+01,0.000E+00,0.000E+00,3.367E-03,3.767E-03,0.000E+00,0.000E+00,8.545E-07,3.354E-03,1.407E-02,7.834E-01,1.748E+00,-2.204E-01,2.500E+00,1.766E+00,4.935E+00,1.498E-01,1.000E+00,1.000E+00,4.541E-02,4.911E+00,1.791E+00,-2.270E-01,2.619E+00,1.523E+00,4.935E+00,1.277E-01,1.000E+00,1.000E+00,6.050E-02,3.946E+00,1.603E+00,-1.040E-01,2.183E+00,2.277E+00,4.935E+00,9.898E-02,1.000E+00,1.000E+00,1.231E-01,2.927E+00
2.900E+01,0.000E+00,0.000E+00,3.396E-03,3.786E-03,0.000E+00,0.000E+00,9.155E-07,3.408E-03,1.424E-02,7.916E-01,1.750E+00,-2.312E-01,2.566E+00,1.757E+00,4.935E+00,1.549E-01,1.000E+00,1.000E+00,4.535E-02,4.915E+00,1.803E+00,-2.376E-01,2.688E+00,1.479E+00,4.935E+00,1.298E-01,1.000E+00,1.000E+00,6.048E-02,3.947E+00,1.602E+00,-1.057E-01,2.188E+00,2.291E+00,4.935E+00,1.015E-01,1.000E+00,1.000E+00,1.229E-01,2.932E+00
3.000E+01,0.000E+00,0.000E+00,3.426E-03,3.805E-03,0.000E+00,0.000E+00,9.766E-07,3.462E-03,1.441E-02,7.997E-01,1.753E+00,-2.420E-01,2.632E+00,1.749E+00,4.935E+00,1.600E-01,1.000E+00,1.000E+00,4.530E-02,4.919E+00,1.816E+00,-2.482E-01,2.758E+00,1.435E+00,4.935E+00,1.319E-01,1.000E+00,1.000E+00,6.045E-02,3.948E+00,1.601E+00,-1.074E-01,2.193E+00,2.305E+00,4.935E+00,1.041E-01,1.000E+00,1.000E+00,1.226E-01,2.937E+00
3.100E+01,0.000E+00,0.000E+00,3.658E-03,3.946E-03,0.000E+00,0.000E+00,1.221E-06,3.770E-03,1.525E-02,8.495E-01,1.756E+00,-2.515E-01,2.659E+00,1.760E+00,4.935E+00,1.692E-01,1.000E+00,1.000E+00,4.500E-02,4.942E+00,1.814E+00,-2.680E-01,2.911E+00,1.445E+00,4.935E+00,1.458E-01,1.000E+00,1.000E+00,6.008E-02,3.966E+00,1.607E+00,-1.208E-01,2.273E+00,2.266E+00,4.935E+00,1.105E-01,1.000E+00,1.000E+00,1.224E-01,2.941E+00
3.200E+01,0.000E+00,0.000E+00,3.774E-03,4.017E-03,0.000E+00,0.000E+00,1.343E-06,3.925E-03,1.567E-02,8.744E-01,1.757E+00,-2.562E-01,2.673E+00,1.765E+00,4.935E+00,1.737E-01,1.000E+00,1.000E+00,4.485E-02,4.953E+00,1.813E+00,-2.779E-01,2.988E+00,1.450E+00,4.935E+00,1.527E-01,1.000E+00,1.000E+00,5.989E-02,3.975E+00,1.610E+00,-1.276E-01,2.314E+00,2.247E+00,4.935E+00,1.137E-01,1.000E+00,1.000E+00,1.223E-01,2.943E+00
3.300E+01,0.000E+00,0.000E+00,3.890E-03,4.088E-03,0.000E+00,0.000E+00,1.465E-06,4.079E-03,1.609E-02,8.993E-01,1.758E+00,-2.609E-01,2.687E+00,1.771E+00,4.935E+00,1.783E-01,1.000E+00,1.000E+00,4.470E-02,4.964E+00,1.813E+00,-2.878E-01,3.065E+00,1.455E+00,4.935E+00,1.597E-01,1.000E+00,1.000E+00,5.971E-02,3.984E+00,1.614E+00,-1.343E-01,2.354E+00,2.228E+00,4.935E+00,1.169E-01,1.000E+00,1.000E+00,1.222E-01,2.945E+00
3.400E+01,0.000E+00,0.000E+00,4.007E-03,4.159E-03,0.000E+00,0.000E+00,1.587E-06,4.233E-03,1.651E-02,9.241E-01,1.759E+00,-2.656E-01,2.701E+00,1.776E+00,4.935E+00,1.829E-01,1.000E+00,1.000E+00,4.455E-02,4.976E+00,1.812E+00,-2.977E-01,3.142E+00,1.460E+00,4.935E+00,1.667E-01,1.000E+00,1.000E+00,5.952E-02,3.992E+00,1.617E+00,-1.410E-01,2.394E+00,2.209E+00,4.935E+00,1.201E-01,1.000E+00,1.000E+00,1.221E-01,2.948E+00
3.500E+01,0.000E+00,0.000E+00,4.123E-03,4.229E-03,0.000E+00,0.000E+00,1.709E-06,4.387E-03,1.693E-02,9.490E-01,1.760E+00,-2.703E-01,2.715E+00,1.782E+00,4.935E+00,1.875E-01,1.000E+00,1.000E+00,4.440E-02,4.987E+00,1.812E+00,-3.076E-01,3.219E+00,1.464E+00,4.935E+00,1.736E-01,1.000E+00,1.000E+00,5.933E-02,4.001E+00,1.621E+00,-1.477E-01,2.434E+00,2.190E+00,4.935E+00,1.233E-01,1.000E+00,1.000E+00,1.220E-01,2.950E+00
