alpha,H,He,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
6.700E+01,0.000E+00,0.000E+00,0.000E+00,9.546E-03,4.712E-03,0.000E+00,9.480E-03,1.157E-02,6.348E-06,1.758E-05,1.425E-02,4.558E-02,2.059E+00,1.511E+00,-8.084E-01,2.594E+01,2.204E+00,4.873E+00,4.662E-01,1.066E+00,1.000E+00,7.059E-02,3.859E+00,1.573E+00,-6.251E-01,1.710E+01,1.744E+00,4.904E+00,2.843E-01,1.033E+00,1.000E+00,2.035E-01,1.804E+00,1.578E+00,-6.083E-01,1.400E+01,1.844E+00,4.922E+00,3.004E-01,1.014E+00,1.000E+00,9.539E-02,3.629E+00,1.562E+00,-7.443E-01,1.507E+01,2.255E+00,4.907E+00,4.751E-01,1.030E+00,1.000E+00,4.547E-02,5.827E+00
6.800E+01,0.000E+00,0.000E+00,0.000E+00,9.820E-03,4.844E-03,0.000E+00,9.858E-03,1.187E-02,7.080E-06,1.807E-05,1.489E-02,4.750E-02,2.138E+00,1.483E+00,-8.081E-01,2.675E+01,2.318E+00,4.844E+00,4.736E-01,1.100E+00,1.000E+00,6.973E-02,3.894E+00,1.550E+00,-6.243E-01,1.809E+01,1.790E+00,4.889E+00,2.877E-01,1.049E+00,1.000E+00,2.026E-01,1.811E+00,1.567E+00,-6.167E-01,1.497E+01,1.855E+00,4.915E+00,3.037E-01,1.021E+00,1.000E+00,9.512E-02,3.638E+00,1.551E+00,-7.598E-01,1.667E+01,2.256E+00,4.893E+00,4.804E-01,1.045E+00,1.000E+00,4.558E-02,5.817E+00
6.900E+01,0.000E+00,0.000E+00,0.000E+00,1.009E-02,4.976E-03,0.000E+00,1.024E-02,1.217E-02,7.813E-06,1.855E-05,1.553E-02,4.942E-02,2.217E+00,1.457E+00,-8.078E-01,2.755E+01,2.432E+00,4.815E+00,4.810E-01,1.133E+00,1.000E+00,6.888E-02,3.929E+00,1.529E+00,-6.235E-01,1.908E+01,1.835E+00,4.874E+00,2.911E-01,1.065E+00,1.000E+00,2.017E-01,1.817E+00,1.558E+00,-6.250E-01,1.594E+01,1.866E+00,4.908E+00,3.070E-01,1.028E+00,1.000E+00,9.484E-02,3.646E+00,1.543E+00,-7.753E-01,1.827E+01,2.256E+00,4.879E+00,4.857E-01,1.060E+00,1.000E+00,4.569E-02,5.806E+00
7.000E+01,0.000E+00,0.000E+00,0.000E+00,1.094E-02,4.961E-03,0.000E+00,1.108E-02,1.328E-02,6.836E-06,2.051E-05,1.723E-02,5.363E-02,2.404E+00,1.423E+00,-8.023E-01,2.834E+01,2.579E+00,4.782E+00,4.791E-01,1.172E+00,1.000E+00,6.903E-02,3.922E+00,1.489E+00,-6.068E-01,1.777E+01,2.024E+00,4.834E+00,3.023E-01,1.110E+00,1.000E+00,2.017E-01,1.817E+00,1.512E+00,-6.071E-01,1.521E+01,2.064E+00,4.848E+00,3.122E-01,1.095E+00,1.000E+00,9.378E-02,3.681E+00,1.493E+00,-7.977E-01,2.240E+01,2.395E+00,4.842E+00,4.927E-01,1.102E+00,1.000E+00,4.511E-02,5.862E+00
7.100E+01,0.000E+00,0.000E+00,0.000E+00,1.136E-02,4.954E-03,0.000E+00,1.150E-02,1.383E-02,6.348E-06,2.148E-05,1.809E-02,5.574E-02,2.497E+00,1.407E+00,-7.996E-01,2.874E+01,2.653E+00,4.766E+00,4.781E-01,1.192E+00,1.000E+00,6.911E-02,3.919E+00,1.472E+00,-5.984E-01,1.712E+01,2.119E+00,4.815E+00,3.079E-01,1.133E+00,1.000E+00,2.018E-01,1.817E+00,1.492E+00,-5.982E-01,1.485E+01,2.163E+00,4.818E+00,3.148E-01,1.129E+00,1.000E+00,9.325E-02,3.698E+00,1.472E+00,-8.088E-01,2.446E+01,2.464E+00,4.823E+00,4.962E-01,1.123E+00,1.000E+00,4.482E-02,5.889E+00
7.200E+01,0.000E+00,0.000E+00,0.000E+00,1.179E-02,4.947E-03,0.000E+00,1.192E-02,1.438E-02,5.859E-06,2.246E-05,1.894E-02,5.785E-02,2.591E+00,1.391E+00,-7.968E-01,2.914E+01,2.727E+00,4.750E+00,4.771E-01,1.211E+00,1.000E+00,6.918E-02,3.916E+00,1.456E+00,-5.901E-01,1.646E+01,2.213E+00,4.796E+00,3.135E-01,1.156E+00,1.000E+00,2.018E-01,1.816E+00,1.473E+00,-5.893E-01,1.449E+01,2.262E+00,4.790E+00,3.173E-01,1.162E+00,1.000E+00,9.272E-02,3.716E+00,1.452E+00,-8.200E-01,2.652E+01,2.534E+00,4.805E+00,4.997E-01,1.144E+00,1.000E+00,4.453E-02,5.917E+00
7.300E+01,0.000E+00,0.000E+00,0.000E+00,1.266E-02,5.154E-03,0.000E+00,1.272E-02,1.523E-02,9.277E-06,2.393E-05,2.027E-02,6.122E-02,2.755E+00,1.368E+00,-7.808E-01,2.736E+01,2.890E+00,4.666E+00,4.962E-01,1.319E+00,1.000E+00,6.871E-02,3.936E+00,1.424E+00,-5.799E-01,1.610E+01,2.382E+00,4.768E+00,3.198E-01,1.189E+00,1.000E+00,1.991E-01,1.838E+00,1.447E+00,-5.883E-01,1.498E+01,2.363E+00,4.765E+00,3.281E-01,1.192E+00,1.000E+00,9.243E-02,3.725E+00,1.434E+00,-8.000E-01,2.461E+01,2.650E+00,4.746E+00,5.019E-01,1.216E+00,1.000E+00,4.397E-02,5.973E+00
7.400E+01,0.000E+00,0.000E+00,0.000E+00,1.353E-02,5.360E-03,0.000E+00,1.353E-02,1.608E-02,1.270E-05,2.539E-05,2.161E-02,6.459E-02,2.920E+00,1.347E+00,-7.648E-01,2.558E+01,3.052E+00,4.589E+00,5.153E-01,1.426E+00,1.000E+00,6.823E-02,3.957E+00,1.395E+00,-5.698E-01,1.573E+01,2.550E+00,4.741E+00,3.261E-01,1.222E+00,1.000E+00,1.965E-01,1.859E+00,1.423E+00,-5.873E-01,1.548E+01,2.464E+00,4.741E+00,3.389E-01,1.222E+00,1.000E+00,9.214E-02,3.735E+00,1.418E+00,-7.799E-01,2.270E+01,2.766E+00,4.690E+00,5.041E-01,1.288E+00,1.000E+00,4.341E-02,6.028E+00
7.500E+01,0.000E+00,0.000E+00,0.000E+00,1.437E-02,5.491E-03,0.000E+00,1.438E-02,1.697E-02,1.025E-05,2.002E-05,2.315E-02,6.892E-02,3.105E+00,1.305E+00,-7.527E-01,2.392E+01,3.426E+00,4.492E+00,5.278E-01,1.572E+00,1.000E+00,6.886E-02,3.930E+00,1.355E+00,-5.559E-01,1.522E+01,2.809E+00,4.663E+00,3.348E-01,1.324E+00,1.000E+00,2.033E-01,1.806E+00,1.394E+00,-5.729E-01,1.478E+01,2.649E+00,4.696E+00,3.461E-01,1.280E+00,1.000E+00,9.222E-02,3.732E+00,1.362E+00,-7.710E-01,2.317E+01,3.098E+00,4.601E+00,5.204E-01,1.410E+00,1.000E+00,4.186E-02,6.194E+00
7.600E+01,0.000E+00,0.000E+00,0.000E+00,1.522E-02,5.621E-03,0.000E+00,1.524E-02,1.787E-02,7.813E-06,1.465E-05,2.470E-02,7.325E-02,3.291E+00,1.271E+00,-7.407E-01,2.226E+01,3.799E+00,4.404E+00,5.402E-01,1.719E+00,1.000E+00,6.949E-02,3.903E+00,1.320E+00,-5.420E-01,1.470E+01,3.068E+00,4.590E+00,3.435E-01,1.426E+00,1.000E+00,2.102E-01,1.754E+00,1.369E+00,-5.585E-01,1.407E+01,2.835E+00,4.652E+00,3.533E-01,1.338E+00,1.000E+00,9.230E-02,3.730E+00,1.312E+00,-7.621E-01,2.364E+01,3.430E+00,4.519E+00,5.368E-01,1.531E+00,1.000E+00,4.032E-02,6.360E+00
7.700E+01,0.000E+00,0.000E+00,0.000E+00,1.595E-02,5.258E-03,0.000E+00,1.599E-02,1.854E-02,8.301E-06,2.148E-05,2.659E-02,7.725E-02,3.457E+00,1.249E+00,-7.316E-01,2.233E+01,3.968E+00,4.366E+00,5.406E-01,1.785E+00,1.000E+00,6.923E-02,3.914E+00,1.283E+00,-5.158E-01,1.384E+01,3.360E+00,4.488E+00,3.466E-01,1.579E+00,1.000E+00,2.039E-01,1.801E+00,1.337E+00,-5.434E-01,1.346E+01,3.086E+00,4.607E+00,3.555E-01,1.401E+00,1.000E+00,9.084E-02,3.780E+00,1.284E+00,-7.559E-01,2.340E+01,3.666E+00,4.484E+00,5.401E-01,1.585E+00,1.000E+00,4.125E-02,6.258E+00
7.800E+01,0.000E+00,0.000E+00,0.000E+00,1.667E-02,4.895E-03,0.000E+00,1.675E-02,1.921E-02,8.789E-06,2.832E-05,2.849E-02,8.126E-02,3.623E+00,1.228E+00,-7.226E-01,2.240E+01,4.136E+00,4.329E+00,5.409E-01,1.852E+00,1.000E+00,6.898E-02,3.925E+00,1.251E+00,-4.896E-01,1.298E+01,3.651E+00,4.396E+00,3.498E-01,1.732E+00,1.000E+00,1.976E-01,1.849E+00,1.309E+00,-5.282E-01,1.284E+01,3.337E+00,4.563E+00,3.578E-01,1.464E+00,1.000E+00,8.938E-02,3.831E+00,1.258E+00,-7.498E-01,2.316E+01,3.902E+00,4.451E+00,5.434E-01,1.640E+00,1.000E+00,4.218E-02,6.155E+00
7.900E+01,0.000E+00,0.000E+00,0.000E+00,1.741E-02,4.863E-03,0.000E+00,1.752E-02,1.993E-02,9.766E-06,2.246E-05,3.008E-02,8.482E-02,3.783E+00,1.173E+00,-7.213E-01,2.382E+01,4.659E+00,4.250E+00,5.464E-01,2.006E+00,1.000E+00,6.484E-02,4.118E+00,1.212E+00,-4.642E-01,1.193E+01,4.139E+00,4.294E+00,3.558E-01,1.919E+00,1.000E+00,2.054E-01,1.791E+00,1.279E+00,-5.197E-01,1.259E+01,3.620E+00,4.478E+00,3.724E-01,1.596E+00,1.000E+00,8.824E-02,3.872E+00,1.219E+00,-7.393E-01,2.258E+01,4.321E+00,4.370E+00,5.541E-01,1.778E+00,1.000E+00,4.087E-02,6.301E+00
