alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
51,0.000E+00,0.000E+00,7.567E-02,1.179E-03,0.000E+00,0.000E+00,6.584E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.736E+00,-4.705E-01,5.565E+00,1.674E+00,1.213E-01,2.381E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.490E+00,-1.273E-01,2.502E+00,3.058E+00,1.415E-01,2.346E+00
52,0.000E+00,0.000E+00,7.944E-02,1.257E-03,0.000E+00,0.000E+00,6.910E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.735E+00,-4.740E-01,5.590E+00,1.683E+00,1.205E-01,2.393E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.491E+00,-2.010E-01,3.659E+00,2.568E+00,1.494E-01,2.249E+00
53,0.000E+00,0.000E+00,8.133E-02,1.297E-03,0.000E+00,0.000E+00,7.073E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.734E+00,-4.758E-01,5.602E+00,1.687E+00,1.201E-01,2.400E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.512E+00,-2.379E-01,4.237E+00,2.324E+00,1.533E-01,2.200E+00
54,0.000E+00,0.000E+00,8.322E-02,1.336E-03,0.000E+00,0.000E+00,7.237E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.734E+00,-4.776E-01,5.614E+00,1.692E+00,1.197E-01,2.406E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.544E+00,-2.748E-01,4.816E+00,2.079E+00,1.572E-01,2.151E+00
55,0.000E+00,0.000E+00,8.763E-02,1.529E-03,0.000E+00,0.000E+00,7.619E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.717E+00,-4.863E-01,5.860E+00,1.745E+00,1.185E-01,2.424E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.481E+00,-2.104E-01,3.828E+00,2.600E+00,1.457E-01,2.300E+00
56,0.000E+00,0.000E+00,8.983E-02,1.626E-03,0.000E+00,0.000E+00,7.810E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.708E+00,-4.907E-01,5.983E+00,1.772E+00,1.180E-01,2.433E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.465E+00,-1.782E-01,3.334E+00,2.861E+00,1.400E-01,2.374E+00
57,0.000E+00,0.000E+00,9.203E-02,1.723E-03,0.000E+00,0.000E+00,8.002E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.700E+00,-4.951E-01,6.106E+00,1.798E+00,1.174E-01,2.442E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.460E+00,-1.460E-01,2.840E+00,3.122E+00,1.343E-01,2.449E+00
58,0.000E+00,0.000E+00,9.696E-02,1.825E-03,0.000E+00,0.000E+00,8.435E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.692E+00,-4.955E-01,5.962E+00,1.862E+00,1.168E-01,2.452E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.471E+00,-1.760E-01,3.053E+00,3.031E+00,1.377E-01,2.399E+00
59,0.000E+00,0.000E+00,9.943E-02,1.876E-03,0.000E+00,0.000E+00,8.652E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.689E+00,-4.956E-01,5.891E+00,1.894E+00,1.164E-01,2.457E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.478E+00,-1.909E-01,3.160E+00,2.986E+00,1.395E-01,2.375E+00
60,0.000E+00,0.000E+00,1.019E-01,1.928E-03,0.000E+00,0.000E+00,8.869E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.685E+00,-4.958E-01,5.819E+00,1.926E+00,1.161E-01,2.462E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.484E+00,-2.059E-01,3.267E+00,2.940E+00,1.412E-01,2.350E+00
61,0.000E+00,0.000E+00,1.077E-01,2.128E-03,0.000E+00,0.000E+00,9.375E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.679E+00,-4.993E-01,5.837E+00,1.963E+00,1.140E-01,2.497E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.498E+00,-1.404E-01,2.535E+00,3.042E+00,1.446E-01,2.306E+00
62,0.000E+00,0.000E+00,1.106E-01,2.228E-03,0.000E+00,0.000E+00,9.628E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.676E+00,-5.010E-01,5.847E+00,1.981E+00,1.129E-01,2.515E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.514E+00,-1.077E-01,2.169E+00,3.093E+00,1.463E-01,2.283E+00
63,0.000E+00,0.000E+00,1.135E-01,2.328E-03,0.000E+00,0.000E+00,9.881E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.673E+00,-5.028E-01,5.856E+00,1.999E+00,1.119E-01,2.533E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.539E+00,-7.501E-02,1.803E+00,3.144E+00,1.480E-01,2.261E+00
