alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
20,0.000E+00,0.000E+00,5.989E-03,1.250E-02,3.447E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.774E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.791E+00,-1.538E-01,2.196E+00,1.475E+00,5.798E-02,4.150E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.802E+00,-1.192E-01,1.918E+00,1.465E+00,7.529E-02,3.379E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.572E+00,-5.391E-02,2.264E+00,2.094E+00,1.635E-01,2.083E+00
21,0.000E+00,0.000E+00,6.117E-03,1.277E-02,3.507E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.812E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.791E+00,-1.619E-01,2.239E+00,1.482E+00,5.808E-02,4.145E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.798E+00,-1.291E-01,1.972E+00,1.486E+00,7.524E-02,3.381E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.551E+00,-4.512E-02,2.178E+00,2.266E+00,1.642E-01,2.076E+00
22,0.000E+00,0.000E+00,6.244E-03,1.304E-02,3.567E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.850E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.791E+00,-1.699E-01,2.281E+00,1.488E+00,5.818E-02,4.140E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.795E+00,-1.390E-01,2.026E+00,1.506E+00,7.519E-02,3.383E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.533E+00,-3.634E-02,2.093E+00,2.438E+00,1.649E-01,2.069E+00
23,0.000E+00,0.000E+00,6.372E-03,1.331E-02,3.627E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.888E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.791E+00,-1.780E-01,2.324E+00,1.494E+00,5.828E-02,4.135E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.791E+00,-1.489E-01,2.080E+00,1.527E+00,7.514E-02,3.384E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.517E+00,-2.755E-02,2.007E+00,2.610E+00,1.656E-01,2.062E+00
24,0.000E+00,0.000E+00,6.435E-03,1.345E-02,3.657E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.907E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.791E+00,-1.820E-01,2.346E+00,1.497E+00,5.832E-02,4.133E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.790E+00,-1.539E-01,2.107E+00,1.537E+00,7.511E-02,3.385E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.510E+00,-2.316E-02,1.964E+00,2.696E+00,1.659E-01,2.058E+00
25,0.000E+00,0.000E+00,6.499E-03,1.358E-02,3.687E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.925E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.792E+00,-1.861E-01,2.367E+00,1.500E+00,5.837E-02,4.131E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.788E+00,-1.589E-01,2.134E+00,1.547E+00,7.508E-02,3.386E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.503E+00,-1.876E-02,1.921E+00,2.782E+00,1.663E-01,2.054E+00
26,0.000E+00,0.000E+00,6.626E-03,1.385E-02,3.746E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.963E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.792E+00,-1.941E-01,2.410E+00,1.506E+00,5.847E-02,4.126E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.785E+00,-1.688E-01,2.188E+00,1.568E+00,7.503E-02,3.388E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.492E+00,-9.976E-03,1.835E+00,2.954E+00,1.670E-01,2.047E+00
27,0.000E+00,0.000E+00,6.754E-03,1.412E-02,3.806E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.001E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.792E+00,-2.022E-01,2.452E+00,1.513E+00,5.857E-02,4.121E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.782E+00,-1.787E-01,2.242E+00,1.588E+00,7.498E-02,3.389E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.483E+00,-1.189E-03,1.749E+00,3.126E+00,1.677E-01,2.040E+00
28,0.000E+00,0.000E+00,6.881E-03,1.440E-02,3.866E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.039E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.793E+00,-2.103E-01,2.495E+00,1.519E+00,5.867E-02,4.116E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E+00,-1.886E-01,2.296E+00,1.609E+00,7.492E-02,3.391E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.483E+00,7.598E-03,1.663E+00,3.298E+00,1.684E-01,2.033E+00
29,0.000E+00,0.000E+00,6.945E-03,1.453E-02,3.896E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.058E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.793E+00,-2.143E-01,2.516E+00,1.522E+00,5.871E-02,4.114E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.777E+00,-1.936E-01,2.323E+00,1.619E+00,7.490E-02,3.392E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.485E+00,1.199E-02,1.620E+00,3.384E+00,1.688E-01,2.029E+00
