alpha,H,He,Fe,S,Fe_1,S_1,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
11.0,0.0,0.0,0.02231152343749991,0.0002840576171875,0.0,0.0,1.95642348106547,1.738214900514711,-0.035927225555292305,1.5770783529149914,1.6665904866619305,8.283185307179584,0.036238727373195875,1.0,1.0,0.07549708051385265,3.3725801882682163,1.4467847113041232,-0.038468709404550924,2.5321527604692737,2.6953810025664025,8.08989008789943,0.033768134476090214,1.2099231462512274,1.1307885182109714,0.16928530331529712,2.02429541656808
12.0,0.0,0.0,0.022598632812499925,0.00029174804687499996,0.0,0.0,1.982057490534948,1.7381243461887015,-0.04417199239467606,1.612148105201915,1.675898248439752,8.283185307179584,0.04111694595728487,1.0,1.0,0.07540145519496212,3.375673542386538,1.4323256739876364,-0.0400071172844762,2.5590663131396427,2.814469905731972,8.062615532981383,0.033793968944247285,1.235588588544395,1.1433965047399424,0.1704134142997562,2.0134772749730416
13.0,0.0,0.0,0.02288574218749994,0.0002994384765625,0.0,0.0,2.0076915000044258,1.7380738067050436,-0.05241675923405981,1.647217857488839,1.6852060102175734,8.283185307179584,0.04599516454137387,1.0,1.0,0.0753058298760716,3.3787668965048594,1.4185214284249303,-0.04154552516440148,2.5859798658100117,2.9335588088975415,8.036184222776848,0.033819803412404356,1.2612540308375626,1.1560044912689134,0.1715415252842153,2.0026591333780033
14.0,0.0,0.0,0.023029296874999945,0.00030328369140624996,0.0,0.0,2.0205085047391647,1.7380632332647703,-0.05653914265375169,1.6647527336323007,1.689859891106484,8.283185307179584,0.04843427383341836,1.0,1.0,0.07525801721662632,3.3803135735640204,1.4118486133052155,-0.04231472910436412,2.5994366421451964,2.9931032604803267,8.02327661635506,0.03383272064648289,1.2740867519841466,1.1623084845333989,0.17210558077644483,1.9972500625804843
15.0,0.0,0.0,0.02317285156249995,0.00030712890625,0.0,0.0,2.033325509473904,1.7380622823398295,-0.060661526073443564,1.6822876097757626,1.6945137719953947,8.283185307179584,0.05087338312546286,1.0,1.0,0.07521020455718105,3.3818602506231814,1.4053207315691403,-0.043083933044326755,2.6128934184803807,3.0526477120631115,8.010570164522369,0.03384563788056143,1.2869194731307303,1.1686124777978844,0.17266963626867438,1.9918409917829654
16.0,0.0,0.0,0.02345996093749996,0.00031481933593749997,0.0,0.0,2.0589595189433822,1.7380886798749642,-0.06890629291282732,1.7173573620626863,1.7038215337732159,8.283185307179584,0.055751601709551846,1.0,1.0,0.07511457923829051,3.3849536047415034,1.392677880256736,-0.04462234092425203,2.6398069711507497,3.1717366152286814,7.985748507224301,0.0338714723487185,1.3125849154238978,1.1812204643268553,0.17379774725313346,1.9810228501879272
17.0,0.0,0.0,0.023747070312499976,0.000322509765625,0.0,0.0,2.08459352841286,1.7381517860738143,-0.07715105975221107,1.7524271143496102,1.7131292955510373,8.283185307179584,0.06062982029364084,1.0,1.0,0.07501895391939999,3.3880469588598254,1.3805519644379463,-0.04616074880417731,2.6667205238211187,3.290825518394251,7.961695479563227,0.03389730681687557,1.3382503577170655,1.1938284508558263,0.17492585823759255,1.970204708592889
18.0,0.0,0.0,0.02403417968749999,0.0003302001953125,0.0,0.0,2.110227537882338,1.738250268586939,-0.08539582659159481,1.7874968666365338,1.7224370573288588,8.283185307179584,0.06550803887772984,1.0,1.0,0.07492332860050946,3.3911403129781474,1.3689062393740747,-0.04769915668410259,2.693634076491488,3.4099144215598205,7.938388331826041,0.03392314128503264,1.3639158000102332,1.2064364373847973,0.17605396922205163,1.9593865669978512
19.0,0.0,0.0,0.024177734374999996,0.00033404541015625,0.0,0.0,2.1230445426170768,1.7383123299391223,-0.08951821001128668,1.8050317427799958,1.7270909382177693,8.283185307179584,0.06794714816977433,1.0,1.0,0.07487551594106419,3.3926869900373084,1.3632529723328315,-0.048468360624065225,2.7070908528266724,3.4694588731426053,7.927007619543852,0.033936058519111176,1.376748521156817,1.2127404306492826,0.17661802471428117,1.953977496200332
20.0,0.0,0.0,0.0243212890625,0.000337890625,0.0,0.0,2.135861547351816,1.7383826881658435,-0.09364059343097857,1.8225666189234575,1.73174481910668,8.283185307179584,0.07038625746181883,1.0,1.0,0.07482770328161892,3.394233667096469,1.3577075951170987,-0.049237564564027864,2.720547629161857,3.52900332472539,7.915805281563609,0.033948975753189704,1.3895812423034006,1.219044423913768,0.17718208020651072,1.948568425402813
