alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
10.0,0.0,0.0,0.0053251953125,0.011240234375,0.00030078125,0.0,0.0,0.0,0.0,1.5940928112403092,1.7457291560992245,-0.027052069261054242,1.4681081045946776,1.6968993041350025,8.283185307179584,0.03820909570343006,1.0,1.0,0.05784496096471661,4.156886145821253,1.7183518834496523,-0.0045780656889417015,1.3570550457428736,1.8563337001567288,8.283185307179584,0.03880510111449636,1.0,1.0,0.07709666268926808,3.3219761739862568,1.4414493682380338,-0.04465401870782453,2.616001717960697,2.705958147218271,7.736782968200979,0.05218173843307247,1.3874651346117566,1.1371286388865598,0.1705671831928035,2.0112197288722746
11.0,0.0,0.0,0.005408203125,0.011397094726562501,0.00030627441406250004,0.0,0.0,0.0,0.0,1.6166041106942757,1.7487518883565034,-0.04281227736946471,1.5581988924932695,1.669125878084202,8.283185307179584,0.04398048915797841,1.0,1.0,0.057862233896117034,4.156018190018262,1.7253674292083856,-0.01892292220869117,1.4271105181951782,1.8126172782930476,8.283185307179584,0.04313369152639543,1.0,1.0,0.07687124867123046,3.329119536507825,1.4566185992655423,-0.04621113074848214,2.5753925327834066,2.6240289911042765,7.801806373991421,0.050835700332799695,1.3494128904790457,1.132770980415153,0.1696794546212371,2.020240997908185
12.0,0.0,0.0,0.0054912109375,0.011553955078125,0.00031176757812500003,0.0,0.0,0.0,0.0,1.6391154101482424,1.7526227251897388,-0.05857248547787518,1.6482896803918612,1.6413524520334013,8.283185307179584,0.04975188261252676,1.0,1.0,0.057879506827517455,4.15515023421527,1.7330498885515615,-0.03326777872844064,1.4971659906474828,1.7689008564293662,8.283185307179584,0.04746228193829449,1.0,1.0,0.07664583465319283,3.336262899029394,1.4722549082489245,-0.04776824278913974,2.5347833476061163,2.5420998349902817,7.868794111991637,0.04948966223252692,1.3113606463463348,1.128413321943746,0.1687917260496707,2.0292622669440954
13.0,0.0,0.0,0.00557421875,0.0117108154296875,0.0003172607421875,0.0,0.0,0.0,0.0,1.661626709602209,1.7573002276339498,-0.07433269358628564,1.7383804682904531,1.6135790259826006,8.283185307179584,0.05552327606707512,1.0,1.0,0.05789677975891787,4.154282278412278,1.7414024263849686,-0.04761263524819011,1.5672214630997874,1.7251844345656848,8.283185307179584,0.05179087235019356,1.0,1.0,0.07642042063515521,3.343406261550963,1.4883850872071522,-0.04932535482979735,2.494174162428826,2.4601706788762865,7.937839872146548,0.04814362413225414,1.2733084022136238,1.124055663472339,0.16790399747810428,2.0382835359800056
14.0,0.0,0.0,0.005615722656250001,0.01178924560546875,0.00032000732421875,0.0,0.0,0.0,0.0,1.6728823593291924,1.7599282574793376,-0.08221279764049087,1.7834258622397492,1.5996923129572003,8.283185307179584,0.0584089727943493,1.0,1.0,0.057905416224618075,4.1538483005107825,1.7458311513512839,-0.054785063508064835,1.6022491993259398,1.7033262236338442,8.283185307179584,0.0539551675561431,1.0,1.0,0.07630771362613639,3.346977942811747,1.4966443735652297,-0.05010391085012615,2.473869569840181,2.419206100819289,7.973165478273057,0.047470605082117756,1.2542822801472684,1.1218768342366356,0.16746013319232106,2.0427941704979604
15.0,0.0,0.0,0.0056572265625,0.01186767578125,0.00032275390625,0.0,0.0,0.0,0.0,1.6841380090561757,1.7627422116422755,-0.09009290169469611,1.828471256189045,1.5858055999318,8.283185307179584,0.06129466952162347,1.0,1.0,0.05791405269031829,4.153414322609287,1.750428530597381,-0.06195749176793957,1.637276935552092,1.6814680127020036,8.283185307179584,0.056119462762092634,1.0,1.0,0.07619500661711759,3.3505496240725314,1.5050382331024423,-0.05088246687045496,2.4535649772515358,2.3782415227622917,8.009043575626121,0.046797586031981364,1.235256158080913,1.1196980050009322,0.16701626890653787,2.0473048050159157
16.0,0.0,0.0,0.005740234375,0.0120245361328125,0.0003282470703125,0.0,0.0,0.0,0.0,1.7066493085101424,1.7689079248884898,-0.10585310980310658,1.918562044087637,1.5580321738809992,8.283185307179584,0.06706606297617182,1.0,1.0,0.05793132562171871,4.152546366806295,1.7601297164112988,-0.07630234828768903,1.7073324080043966,1.6377515908383222,8.283185307179584,0.060448053173991705,1.0,1.0,0.07596959259907997,3.3576929865941,1.5222460179373094,-0.05243957891111257,2.4129557920742455,2.296312366648297,8.082511908202896,0.04545154793170859,1.197203913948202,1.1153403465295253,0.16612854033497146,2.056326074051826
17.0,0.0,0.0,0.0058232421875,0.012181396484374999,0.000333740234375,0.0,0.0,0.0,0.0,1.729160607964109,1.775759194403303,-0.12161331791151704,2.008652831986229,1.5302587478301986,8.283185307179584,0.07283745643072018,1.0,1.0,0.057948598553119124,4.151678411003304,1.7705065317490947,-0.0906472048074385,1.7773878804567012,1.5940351689746408,8.283185307179584,0.06477664358589078,1.0,1.0,0.07574417858104235,3.3648363491156683,1.5400429992953133,-0.053996690951770177,2.372346606896955,2.2143832105343018,8.158358909925553,0.04410550983143581,1.1591516698154911,1.1109826880581184,0.16524081176340505,2.065347343087736
18.0,0.0,0.0,0.00590625,0.012338256835937499,0.0003392333984375,0.0,0.0,0.0,0.0,1.7516719074180758,1.7832609322118713,-0.1373735260199275,2.0987436198848206,1.5024853217793979,8.283185307179584,0.07860884988526853,1.0,1.0,0.057965871484519545,4.150810455200313,1.7815596210523865,-0.10499206132718797,1.8474433529090057,1.5503187471109596,8.283185307179584,0.06910523399778984,1.0,1.0,0.07551876456300471,3.3719797116372368,1.5584669786796308,-0.05555380299242778,2.331737421719665,2.132454054420307,8.23670662681917,0.042759471731163026,1.1210994256827802,1.1066250295867115,0.1643530831918386,2.074368612123646
19.0,0.0,0.0,0.0059477539062500005,0.01241668701171875,0.00034197998046875,0.0,0.0,0.0,0.0,1.762927557145059,1.7872456452757337,-0.14525363007413272,2.143789013834117,1.4885986087539975,8.283185307179584,0.08149454661254271,1.0,1.0,0.05797450795021976,4.150376477298817,1.7873401981731178,-0.11216448958706271,1.8824710891351581,1.5284605361791188,8.283185307179584,0.07126952920373937,1.0,1.0,0.07540605755398591,3.3755513928980214,1.5679268934234032,-0.056332359012756586,2.3114328291310198,2.09148947636331,8.276858758566421,0.042086452681026634,1.1020733036164247,1.104446200351008,0.16390921890605542,2.078879246641601
20.0,0.0,0.0,0.0059892578125,0.0124951171875,0.0003447265625,0.0,0.0,0.0,0.0,1.7741832068720425,1.7913812796827298,-0.15313373412833797,2.1888344077834128,1.4747118957285974,8.283185307179584,0.08438024333981688,1.0,1.0,0.057983144415919965,4.149942499397321,1.7932905253202471,-0.11933691784693744,1.9174988253613103,1.5066023252472782,8.283185307179584,0.0734338244096889,1.0,1.0,0.0752933505449671,3.3791230741588056,1.5775594165766713,-0.05711091503308539,2.291128236542375,2.0505248983063122,8.317685835520654,0.04141343363089025,1.083047181550069,1.1022673711153044,0.1634653546202722,2.0833898811595564
21.0,0.0,0.0,0.0061166992187500005,0.012766723632812501,0.00035070800781249997,0.0,0.0,0.0,0.0,1.8119951734811663,1.7919353732762624,-0.16129119793917296,2.2316974645287857,1.479162632384833,8.283185307179584,0.09024735668226391,1.0,1.0,0.05808058862017697,4.145105754919134,1.7893164591694808,-0.1284241800097767,1.9643179852966588,1.529700760999944,8.283185307179584,0.08106475390579349,1.0,1.0,0.07524063893415947,3.380832808283552,1.5672268830421623,-0.05038154449568105,2.2175143585290407,2.1441854291717397,8.331203297627198,0.04238375137755998,1.1258546921206722,1.1514183012947035,0.16417501961108427,2.0761250362505845
22.0,0.0,0.0,0.006244140625,0.013038330078125,0.00035668945312499996,0.0,0.0,0.0,0.0,1.84980714009029,1.7925470504319083,-0.16944866175000795,2.274560521274159,1.4836133690410684,8.283185307179584,0.09611447002471094,1.0,1.0,0.05817803282443398,4.1402690104409485,1.785473062355825,-0.13751144217261596,2.011137145232007,1.5527991967526096,8.283185307179584,0.08869568340189805,1.0,1.0,0.07518792732335183,3.3825425424082978,1.5580015913677192,-0.04365217395827671,2.1439004805157067,2.237845960037167,8.347383952293088,0.043354069124229705,1.1686622026912752,1.2005692314741023,0.16488468460189631,2.0688601913416127
23.0,0.0,0.0,0.00637158203125,0.0133099365234375,0.0003626708984375,0.0,0.0,0.0,0.0,1.8876191066994137,1.7932129979953735,-0.17760612556084293,2.317423578019532,1.4880641056973039,8.283185307179584,0.10198158336715796,1.0,1.0,0.058275477028690986,4.135432265962763,1.7817540069998523,-0.14659870433545522,2.0579563051673553,1.5758976325052751,8.283185307179584,0.09632661289800262,1.0,1.0,0.07513521571254421,3.384252276533044,1.5498423312210334,-0.036922803420872376,2.0702866025023727,2.3315064909025947,8.366139144976673,0.04432438687089943,1.2114697132618781,1.2497201616535012,0.16559434959270838,2.061595346432641
24.0,0.0,0.0,0.0064353027343749996,0.01344573974609375,0.00036566162109375,0.0,0.0,0.0,0.0,1.9065250900039756,1.7935653156935545,-0.1816848574662604,2.3388551063922183,1.4902894740254218,8.283185307179584,0.10491514003838147,1.0,1.0,0.05832419913081949,4.133013893723669,1.779939184040134,-0.15114233541687483,2.0813658851350296,1.587446850381608,8.283185307179584,0.10014207764605491,1.0,1.0,0.07510885990714039,3.385107143595417,1.546151881399222,-0.033558118152170205,2.0334796634957053,2.378336756335308,8.376456663577551,0.04480954574423429,1.2328734685471798,1.2742956267432006,0.16594918208811443,2.057962923978155
25.0,0.0,0.0,0.006499023437499999,0.013581542968749999,0.00036865234375,0.0,0.0,0.0,0.0,1.9254310733085376,1.7939300044826498,-0.1857635893716779,2.360286634764905,1.4925148423535395,8.283185307179584,0.10784869670960498,1.0,1.0,0.05837292123294799,4.130595521484576,1.7781531635586054,-0.15568596649829447,2.104775465102704,1.5989960682579407,8.283185307179584,0.1039575423941072,1.0,1.0,0.07508250410173659,3.3859620106577903,1.5427162240625583,-0.030193432883468038,1.9966727244890383,2.425167021768022,8.387388102715912,0.04529470461756916,1.2542772238324813,1.2988710918329,0.16630401458352045,2.054330501523669
26.0,0.0,0.0,0.006626464843749999,0.013853149414062498,0.0003746337890625,0.0,0.0,0.0,0.0,1.9632430399176615,1.7946949572787996,-0.19392105318251285,2.403149691510278,1.4969655790097751,8.283185307179584,0.113715810052052,1.0,1.0,0.05847036543720499,4.12575877700639,1.774664603492503,-0.16477322866113372,2.151594625038052,1.6220945040106063,8.283185307179584,0.11158847189021179,1.0,1.0,0.07502979249092896,3.3876717447825366,1.5365980957662035,-0.0234640623460637,1.9230588464757041,2.5188275526334496,8.411057227130106,0.04626502236423889,1.2970847344030845,1.348022022012299,0.1670136795743325,2.047065656614697
