alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
21.0,0.0,0.0,0.011484863281249987,0.000251953125,0.0,0.0,0.9182498115578708,1.52373362563771,-0.05910136125183246,2.2256661692718556,2.528777209492688,8.340360140855802,0.05139672217399123,1.0749091405759703,1.1034420721580402,0.14394540667263414,2.314502032917993,1.8176953307116026,-0.1559911973594058,1.9797954636852595,1.5061017400740202,8.283185307179584,0.10334068865437027,1.0,1.0,0.04796899789526193,4.849756042288341
22.0,0.0,0.0,0.011767578124999975,0.0002607421875,0.0,0.0,0.9411445651637036,1.5230773231376558,-0.061103829658898226,2.2193516535365343,2.5571378787463366,8.337024051172047,0.0581134577983731,1.071536677092273,1.0985497190980582,0.14548036568617384,2.2953575736227365,1.822452434588182,-0.1716325317470515,2.075512898750662,1.4838142448850293,8.283185307179584,0.11046749667779865,1.0,1.0,0.047970402397871814,4.849658118056207
23.0,0.0,0.0,0.012050292968749963,0.00026953125,0.0,0.0,0.9640393187695364,1.5224594640636693,-0.06310629806596399,2.213037137801213,2.5854985479999852,8.333707537336908,0.06483019342275496,1.0681642136085754,1.0936573660380762,0.14701532469971354,2.27621311432748,1.8278891756755589,-0.1872738661346972,2.171230333816065,1.4615267496960385,8.283185307179584,0.11759430470122703,1.0,1.0,0.047971806900481695,4.8495601938240736
24.0,0.0,0.0,0.012191650390624956,0.00027392578125,0.0,0.0,0.9754866955724528,1.5221646502807138,-0.06410753226949686,2.2098798799335526,2.59967888262681,8.332056632367982,0.0681885612349459,1.0664779818667265,1.0912111895080852,0.14778280420648338,2.266640884679852,1.8308475740915906,-0.19509453332852006,2.2190890513487664,1.450383002101543,8.283185307179584,0.12115770871294124,1.0,1.0,0.047972509151786635,4.849511231708006
25.0,0.0,0.0,0.01233300781249995,0.00027832031250000003,0.0,0.0,0.9869340723753693,1.5218790894577452,-0.06510876647302974,2.2067226220658918,2.6138592172536343,8.330410634610535,0.07154692904713683,1.0647917501248778,1.0887650129780944,0.14855028371325324,2.2570686550322234,1.8339587552232879,-0.20291520052234288,2.266947768881468,1.4392392545070476,8.283185307179584,0.12472111272465543,1.0,1.0,0.04797321140309158,4.849462269591939
26.0,0.0,0.0,0.012615722656249937,0.00028710937500000004,0.0,0.0,1.0098288259812023,1.5213352620349492,-0.0671112348800955,2.2004081063305705,2.642219886507283,8.327133378596534,0.0782636646715187,1.0614192866411802,1.0838726599181125,0.15008524272679294,2.237924195736967,1.8406195862842254,-0.21855653490998855,2.3626652039468707,1.4169517593180567,8.283185307179584,0.13184792074808382,1.0,1.0,0.04797461590570147,4.849364345359804
27.0,0.0,0.0,0.012898437499999926,0.00029589843750000005,0.0,0.0,1.032723579587035,1.520827065368433,-0.06911370328716127,2.194093590595249,2.6705805557609317,8.32387580524451,0.08498040029590057,1.0580468231574827,1.0789803068581305,0.15162020174033264,2.218779736441711,1.8478346551903484,-0.23419786929763425,2.4583826390122736,1.3946642641290659,8.283185307179584,0.1389747287715122,1.0,1.0,0.04797602040831135,4.849266421127671
28.0,0.0,0.0,0.013181152343749912,0.00030468750000000005,0.0,0.0,1.055618333192868,1.520353603115469,-0.07111617169422702,2.187779074859928,2.698941225014581,8.3206379508527,0.09169713592028242,1.0546743596737853,1.0740879537981485,0.15315516075387234,2.199635277146454,1.8555709642783569,-0.24983920368527995,2.5541000740776765,1.3723767689400748,8.283185307179584,0.1461015367949406,1.0,1.0,0.04797742491092123,4.849168496895537
29.0,0.0,0.0,0.013322509765624907,0.00030908203125,0.0,0.0,1.0670657099957843,1.5201296225740508,-0.07211740589775989,2.1846218169922675,2.7131215596414053,8.319026429706046,0.09505550373247335,1.0529881279319366,1.0716417772681575,0.15392264026064217,2.1900630474988256,1.8596252501171544,-0.2576598708791028,2.601958791610378,1.3612330213455794,8.283185307179584,0.14966494080665477,1.0,1.0,0.04797812716222617,4.8491195347794696
30.0,0.0,0.0,0.0134638671874999,0.0003134765625,0.0,0.0,1.0785130867987007,1.5199139982610395,-0.07311864010129278,2.1814645591246067,2.7273018942682294,8.317419852070586,0.09841387154466429,1.0513018961900877,1.0691956007381664,0.15469011976741204,2.1804908178511977,1.8637990494380616,-0.26548053807292565,2.6498175091430793,1.350089273751084,8.283185307179584,0.15322834481836897,1.0,1.0,0.04797882941353112,4.849070572663402
