alpha,H,He,Mg,S,Mg_1,S_1,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
23.0,0.0,0.0,0.06081762695312494,0.0006859130859375,0.0,3.662109375e-07,3.4275160412324635,1.7878491605007492,-0.23651928996794502,2.7246214790783325,1.5232990410589877,8.283185307179584,0.13381965851829195,1.0,1.0,0.3298906336810772,1.183532780380622,1.51733389633866,-0.13266841447783423,2.61448114078855,2.715153501351673,8.174545505760271,0.11437470925716678,1.15377950166822,1.11263594896939,0.12217379208445493,2.6433247601881305
24.0,0.0,0.0,0.061591430664062446,0.00070257568359375,0.0,4.2724609375e-07,3.4715445760078225,1.7861627194865268,-0.24198358275415327,2.773434147134887,1.5278096243297292,8.283185307179584,0.13690590763281096,1.0,1.0,0.32984591879404035,1.183674761548875,1.5105094063119218,-0.13009873615347617,2.567278156738075,2.80632164158832,8.148288631025656,0.1178960387172368,1.1538138505971607,1.101372354072451,0.12195854161165637,2.6471033148711536
25.0,0.0,0.0,0.062365234374999946,0.0007192382812499999,0.0,4.8828125e-07,3.5155731107831816,1.7845594246022973,-0.24744787554036152,2.8222468151914413,1.5323202076004705,8.283185307179584,0.13999215674732995,1.0,1.0,0.32980120390700346,1.183816742717128,1.5042260968126773,-0.12752905782911814,2.5200751726875996,2.8974897818249663,8.122129916097926,0.12141736817730683,1.1538481995261014,1.090108759175512,0.12174329113885782,2.650881869554177
26.0,0.0,0.0,0.06391284179687495,0.0007525634765624999,0.0,6.103515625e-07,3.6036301803338993,1.781588758144251,-0.258376461112778,2.91987215130455,1.5413413741419533,8.283185307179584,0.14616465497636796,1.0,1.0,0.32971177413292974,1.184100705053634,1.4931940855812893,-0.12238970118040204,2.425669204586649,3.0798260622982596,8.070105410256762,0.12846002709744686,1.1539168973839828,1.067581569381634,0.1213127901932607,2.658438978920224
27.0,0.0,0.0,0.06546044921874997,0.000785888671875,0.0,7.32421875e-07,3.691687249884617,1.7789116777565337,-0.2693050466851945,3.017497487417659,1.550362540683436,8.283185307179584,0.15233715320540597,1.0,1.0,0.32962234435885607,1.1843846673901401,1.484083886850752,-0.11725034453168594,2.3312632364856984,3.2621623427715525,8.018468893317554,0.13550268601758692,1.1539855952418643,1.045054379587756,0.12088228924766359,2.6659960882862705
28.0,0.0,0.0,0.06700805664062498,0.0008192138671875,0.0,8.544921875e-07,3.779744319435335,1.7765049653575389,-0.280233632257611,3.1151228235307684,1.5593837072249186,8.283185307179584,0.15850965143444398,1.0,1.0,0.3295329145847824,1.1846686297266462,1.476775298877142,-0.11211098788296983,2.236857268384748,3.4444986232448453,7.967217295642208,0.14254534493772697,1.1540542930997457,1.0225271897938781,0.12045178830206649,2.6735531976523172
29.0,0.0,0.0,0.06778186035156249,0.00083587646484375,0.0,9.1552734375e-07,3.823772854210694,1.7753962942303858,-0.28569792504381925,3.163935491587323,1.5638942904956599,8.283185307179584,0.161595900548963,1.0,1.0,0.32948819969774557,1.1848106108948993,1.4737669989498992,-0.10954130955861179,2.1896542843342726,3.5356667634814922,7.941734889127515,0.146066674397797,1.1540886420286864,1.011263594896939,0.12023653782926794,2.6773317523353404
30.0,0.0,0.0,0.0685556640625,0.0008525390625,0.0,9.765625e-07,3.8678013889860527,1.774347400341783,-0.2911622178300275,3.212748159643877,1.5684048737664014,8.283185307179584,0.164682149663482,1.0,1.0,0.32944348481070873,1.1849525920631525,1.4711768056500691,-0.10697163123425374,2.1424513002837977,3.6268349037181387,7.91634757266311,0.14958800385786702,1.1541229909576274,1.0,0.12002128735646937,2.681110307018364
31.0,0.0,0.0,0.07252563476562499,0.0009520263671875,0.0,8.544921875e-07,4.090982545797829,1.7649897880521443,-0.2894404356731266,3.1755193193681084,1.6174172418156538,8.283185307179584,0.1692734096222853,1.0,1.0,0.3283247646700128,1.18860252223089,1.4679598609091964,-0.12782346760482372,2.3851660280324634,3.46486695780281,7.940457566048586,0.1553353115784576,1.1509795043647721,1.0076041635178767,0.12084872074454028,2.6668986432459585
32.0,0.0,0.0,0.07451062011718748,0.00100177001953125,0.0,7.934570312500001e-07,4.202573124203717,1.7604708443421249,-0.28857954459467616,3.156904899230224,1.6419234258402802,8.283185307179584,0.17156903960168696,1.0,1.0,0.32776540459966486,1.190427487314759,1.4679979397245866,-0.1382493857901087,2.5065233919067964,3.383882984845146,7.952546868026366,0.15820896543875287,1.1494077610683444,1.011406245276815,0.12126243743857575,2.6597928113597558
33.0,0.0,0.0,0.07649560546874999,0.001051513671875,0.0,7.32421875e-07,4.314163702609605,1.756055332173514,-0.2877186535162258,3.1382904790923396,1.6664296098649063,8.283185307179584,0.1738646695810886,1.0,1.0,0.32720604452931684,1.1922524523986278,1.469047174918509,-0.1486753039753937,2.6278807557811295,3.302899011887482,7.964659110644317,0.16108261929904816,1.1478360177719167,1.0152083270357535,0.12167615413261121,2.6526869794735526
34.0,0.0,0.0,0.0784805908203125,0.00110125732421875,0.0,6.7138671875e-07,4.425754281015493,1.751741005614175,-0.2868577624377754,3.119676058954455,1.6909357938895324,8.283185307179584,0.17616029956049023,1.0,1.0,0.32664668445896883,1.1940774174824966,1.4710563988276117,-0.15910122216067868,2.7492381196554625,3.221915038929818,7.976794346927967,0.16395627315934344,1.146264274475489,1.0190104087946918,0.12208987082664667,2.6455811475873494
35.0,0.0,0.0,0.080465576171875,0.0011510009765625,0.0,6.103515625e-07,4.537344859421381,1.7475257033652505,-0.28599687135932494,3.101061638816571,1.7154419779141588,8.283185307179584,0.1784559295398919,1.0,1.0,0.32608732438862087,1.1959023825663655,1.4739836821346612,-0.16952714034596367,2.870595483529795,3.140931065972154,7.988952630053804,0.16682992701963872,1.1446925311790614,1.0228124905536302,0.12250358752068213,2.6384753157011467
36.0,0.0,0.0,0.0824505615234375,0.0012007446289062501,0.0,5.493164062500001e-07,4.648935437827269,1.7434073451938739,-0.2851359802808745,3.0824472186786864,1.739948161938785,8.283185307179584,0.18075155951929356,1.0,1.0,0.3255279643182729,1.1977273476502344,1.4777952148803242,-0.17995305853124866,2.9919528474041277,3.05994709301449,8.001134013349795,0.169703580879934,1.143120787882634,1.0266145723125686,0.1229173042147176,2.631369483814944
37.0,0.0,0.0,0.08443554687499999,0.00125048828125,0.0,4.8828125e-07,4.7605260162331575,1.7393839285068031,-0.28427508920242406,3.063832798540802,1.7644543459634112,8.283185307179584,0.1830471894986952,1.0,1.0,0.32496860424792495,1.1995523127341032,1.4824644169056063,-0.19037897671653364,3.1133102112784607,2.978963120056826,8.013338550295968,0.1725772347402293,1.1415490445862062,1.030416654071507,0.12333102090875306,2.6242636519287412
38.0,0.0,0.0,0.08642053222656249,0.0013002319335937498,0.0,4.2724609375e-07,4.872116594639046,1.7354535251162755,-0.2834141981239736,3.0452183784029176,1.7889605299880373,8.283185307179584,0.18534281947809683,1.0,1.0,0.324409244177577,1.201377277817972,1.4879712362681374,-0.20080489490181863,3.234667575152794,2.897979147099162,8.025566294524888,0.17545088860052457,1.1399773012897785,1.0342187358304453,0.12374473760278852,2.6171578200425385
39.0,0.0,0.0,0.088405517578125,0.0013499755859375,0.0,3.662109375e-07,4.983707173044934,1.7316142781684087,-0.2825533070455232,3.0266039582650333,1.8134667140126637,8.283185307179584,0.1876384494574985,1.0,1.0,0.32384988410722904,1.203202242901841,1.4943016040283599,-0.21123081308710362,3.3560249390271264,2.816995174141498,8.037817299822215,0.17832454246081986,1.138405557993351,1.0380208175893837,0.12415845429682398,2.6100519881563353
40.0,0.0,0.0,0.0903905029296875,0.00139971923828125,0.0,3.0517578125e-07,5.095297751450822,1.727864399272626,-0.28169241596707284,3.007989538127149,1.83797289803729,8.283185307179584,0.18993407943690016,1.0,1.0,0.3232905240368811,1.2050272079857098,1.5014470214511366,-0.2216567312723886,3.477382302901459,2.736011201183834,8.050091620127274,0.18119819632111514,1.1368338146969235,1.041822899348322,0.12457217099085945,2.602946156270132
41.0,0.0,0.0,0.09237548828125,0.0014494628906249999,0.0,2.44140625e-07,5.20688832985671,1.7242021656938524,-0.2808315248886224,2.9893751179892645,1.8624790820619161,8.283185307179584,0.1922297094163018,1.0,1.0,0.32273116396653306,1.2068521730695787,1.5094042617254366,-0.2320826494576736,3.598739666775792,2.65502722822617,8.062389309533557,0.18407185018141042,1.1352620714004957,1.0456249811072604,0.12498588768489491,2.5958403243839294
42.0,0.0,0.0,0.0943604736328125,0.00149920654296875,0.0,1.8310546875e-07,5.318478908262598,1.7206259177810521,-0.27997063381017195,2.97076069785138,1.8869852660865423,8.283185307179584,0.19452533939570346,1.0,1.0,0.32217180389618505,1.2086771381534476,1.5181751729166626,-0.24250856764295858,3.720097030650125,2.574043255268506,8.074710422289279,0.1869455040417057,1.133690328104068,1.0494270628661988,0.12539960437893038,2.5887344924977267
43.0,0.0,0.0,0.096345458984375,0.0015489501953125,0.0,1.220703125e-07,5.430069486668486,1.7171340564780668,-0.2791097427317215,2.9521462777134957,1.9114914501111686,8.283185307179584,0.19682096937510513,1.0,1.0,0.3216124438258371,1.2105021032373164,1.5277665734752532,-0.25293448582824357,3.8414543945244577,2.493059282310842,8.087055012797935,0.189819157902001,1.1321185848076403,1.0532291446251372,0.12581332107296583,2.581628660611524
44.0,0.0,0.0,0.09833044433593749,0.0015986938476562499,0.0,6.103515625e-08,5.541660065074375,1.7137250409674798,-0.27824885165327107,2.9335318575756113,1.935997634135795,8.283185307179584,0.19911659935450676,1.0,1.0,0.32105308375548913,1.2123270683211853,1.5381902340245355,-0.26336040401352856,3.9628117583987903,2.4120753093531775,8.099423135618837,0.19269281176229627,1.1305468415112125,1.0570312263840758,0.12622703776700128,2.5745228287253212
45.0,0.0,0.0,0.1003154296875,0.0016484375,0.0,0.0,5.653250643480263,1.710397386455682,-0.2773879605748207,2.914917437437727,1.960503818160421,8.283185307179584,0.20141222933390843,1.0,1.0,0.3204937236851412,1.214152033405054,1.5494629430702376,-0.27378632219881355,4.084169122273123,2.3310913363955135,8.111814845467679,0.19556646562259156,1.128975098214785,1.0608333081430141,0.12664075446103676,2.567416996839118
46.0,0.0,0.0,0.105169921875,0.00172265625,0.0,0.0,5.930985650092289,1.7314820290097903,-0.29829618018940113,3.0724517757949927,1.8529026889432525,8.283185307179584,0.20896404985929967,1.0,1.0,0.31751111764558954,1.2243035715252129,1.5304185751957726,-0.22082835290280484,3.2269162510059513,2.6733640148702196,8.272554100266508,0.18953325117441377,1.0759611299119545,1.0758398923261385,0.12164140952842424,2.655401557091082
47.0,0.0,0.0,0.10759716796875,0.001759765625,0.0,0.0,6.069853153398302,1.742937537613681,-0.30875028999669135,3.1512189449736256,1.7991021243346683,8.283185307179584,0.2127399601219953,1.0,1.0,0.31601981462581374,1.2293793405852922,1.5322373908946167,-0.19434936825480048,2.798289815372365,2.8445003541075726,8.35554975438639,0.1865166439503249,1.049454145760539,1.0833431844177008,0.11914173706211797,2.6993938372170643
48.0,0.0,0.0,0.1100244140625,0.001796875,0.0,0.0,6.208720656704315,1.7550193683156867,-0.3192043998039816,3.229986114152258,1.7453015597260841,8.283185307179584,0.21651587038469092,1.0,1.0,0.3145285116060379,1.2344551096453715,1.543650180782177,-0.16787038360679613,2.369663379738779,3.0156366933449257,8.440381812927113,0.18350003672623602,1.0229471616091237,1.0908464765092631,0.11664206459581172,2.743386117343046
