alpha,H,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
80,0.000E+00,0.000E+00,0.000E+00,1.412E-02,0.000E+00,3.396E-02,3.787E-02,1.987E-02,6.430E-02,3.952E+00,1.146E+00,-7.224E-01,2.524E+01,4.892E+00,3.142E+00,1.131E-02,2.193E+00,2.349E+00,5.770E-02,4.474E+00,1.284E+00,-5.206E-01,1.264E+01,3.564E+00,3.142E+00,9.130E-03,2.224E+00,2.350E+00,8.731E-02,3.906E+00,1.190E+00,-7.222E-01,2.225E+01,4.600E+00,3.142E+00,1.765E-02,2.034E+00,2.262E+00,4.120E-02,6.261E+00
81,0.000E+00,0.000E+00,0.000E+00,1.414E-02,0.000E+00,3.448E-02,3.810E-02,2.038E-02,6.547E-02,4.009E+00,1.100E+00,-7.072E-01,2.271E+01,5.776E+00,3.142E+00,2.007E-02,2.031E+00,2.286E+00,5.705E-02,4.510E+00,1.238E+00,-5.146E-01,1.265E+01,4.023E+00,3.142E+00,2.110E-02,2.010E+00,2.270E+00,8.641E-02,3.940E+00,1.159E+00,-7.265E-01,2.314E+01,4.950E+00,3.142E+00,3.172E-02,1.819E+00,2.185E+00,4.034E-02,6.359E+00
82,0.000E+00,0.000E+00,0.000E+00,1.417E-02,0.000E+00,3.500E-02,3.833E-02,2.089E-02,6.664E-02,4.066E+00,1.069E+00,-6.921E-01,2.019E+01,6.660E+00,3.142E+00,2.884E-02,1.870E+00,2.224E+00,5.641E-02,4.547E+00,1.198E+00,-5.085E-01,1.266E+01,4.481E+00,3.142E+00,3.306E-02,1.796E+00,2.191E+00,8.551E-02,3.974E+00,1.131E+00,-7.309E-01,2.403E+01,5.301E+00,3.142E+00,4.579E-02,1.603E+00,2.108E+00,3.948E-02,6.457E+00
83,0.000E+00,0.000E+00,0.000E+00,1.263E-02,0.000E+00,3.317E-02,3.609E-02,2.057E-02,6.330E-02,3.852E+00,1.043E+00,-6.834E-01,1.945E+01,7.335E+00,3.142E+00,4.610E-02,1.626E+00,2.121E+00,5.380E-02,4.711E+00,1.151E+00,-4.955E-01,1.190E+01,5.293E+00,3.142E+00,6.018E-02,1.493E+00,2.107E+00,8.303E-02,4.074E+00,1.067E+00,-7.035E-01,2.124E+01,6.625E+00,3.142E+00,6.667E-02,1.416E+00,2.101E+00,3.624E-02,6.896E+00
84,0.000E+00,0.000E+00,0.000E+00,1.108E-02,0.000E+00,3.135E-02,3.385E-02,2.025E-02,5.996E-02,3.637E+00,1.021E+00,-6.746E-01,1.871E+01,8.009E+00,3.142E+00,6.336E-02,1.381E+00,2.018E+00,5.118E-02,4.876E+00,1.115E+00,-4.826E-01,1.114E+01,6.104E+00,3.142E+00,8.730E-02,1.189E+00,2.023E+00,8.056E-02,4.174E+00,1.026E+00,-6.762E-01,1.844E+01,7.949E+00,3.142E+00,8.755E-02,1.228E+00,2.093E+00,3.300E-02,7.335E+00
85,0.000E+00,0.000E+00,0.000E+00,8.275E-03,0.000E+00,2.370E-02,2.521E-02,1.540E-02,4.571E-02,2.749E+00,1.030E+00,-6.724E-01,1.678E+01,8.305E+00,3.142E+00,7.619E-02,1.172E+00,1.816E+00,4.673E-02,5.226E+00,1.092E+00,-4.649E-01,1.004E+01,6.983E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,7.625E-02,4.376E+00,1.037E+00,-6.752E-01,1.662E+01,8.208E+00,3.142E+00,8.828E-02,1.091E+00,1.846E+00,3.129E-02,7.627E+00
86,0.000E+00,0.000E+00,0.000E+00,5.466E-03,0.000E+00,1.604E-02,1.657E-02,1.056E-02,3.146E-02,1.861E+00,1.044E+00,-6.703E-01,1.485E+01,8.600E+00,3.142E+00,8.901E-02,9.621E-01,1.614E+00,4.228E-02,5.577E+00,1.078E+00,-4.473E-01,8.937E+00,7.862E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,7.193E-02,4.579E+00,1.051E+00,-6.743E-01,1.480E+01,8.466E+00,3.142E+00,8.901E-02,9.539E-01,1.598E+00,2.958E-02,7.918E+00
87,0.000E+00,0.000E+00,0.000E+00,2.765E-03,0.000E+00,8.196E-03,8.507E-03,5.404E-03,1.609E-02,9.508E-01,9.734E-01,-7.605E-01,1.852E+01,1.080E+01,3.142E+00,8.901E-02,8.408E-01,1.427E+00,3.123E-02,7.319E+00,1.099E+00,-5.351E-01,9.968E+00,7.770E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,6.638E-02,4.911E+00,1.004E+00,-7.657E-01,1.685E+01,1.034E+01,3.142E+00,0.000E+00,0.000E+00,0.000E+00,2.200E-02,1.029E+01
88,0.000E+00,0.000E+00,0.000E+00,6.348E-05,0.000E+00,3.486E-04,4.414E-04,2.510E-04,7.207E-04,4.045E-02,9.219E-01,-8.507E-01,2.220E+01,1.299E+01,3.142E+00,8.901E-02,7.195E-01,1.241E+00,2.017E-02,9.062E+00,1.119E+00,-6.229E-01,1.100E+01,7.679E+00,3.142E+00,-5.864E-01,1.158E+01,5.986E-01,6.083E-02,5.243E+00,9.660E-01,-8.572E-01,1.891E+01,1.221E+01,3.142E+00,0.000E+00,0.000E+00,0.000E+00,1.442E-02,1.267E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.883E-06,3.906E-06,3.906E-06,1.465E-05,2.616E-05,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
