alpha,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,1.243E-02,0.000E+00,6.534E-03,0.000E+00,0.000E+00,0.000E+00,5.750E-03,2.173E-02,1.234E-02,2.728E-02,1.748E+00,1.869E+00,2.061E-02,1.202E+00,1.268E+00,3.142E+00,2.810E-03,2.326E+00,2.367E+00,1.007E-01,4.338E+00,1.741E+00,-8.507E-02,2.243E+00,1.375E+00,3.142E+00,6.986E-03,2.497E+00,2.608E+00,3.631E-01,1.286E+00,1.769E+00,-1.563E-02,1.642E+00,1.353E+00,3.142E+00,2.604E-03,2.491E+00,2.532E+00,1.376E-01,3.296E+00,1.979E+00,6.138E-02,8.870E-01,1.178E+00,3.142E+00,-3.393E-03,2.327E+00,2.280E+00,9.373E-02,4.630E+00
1,0.000E+00,1.252E-02,0.000E+00,6.580E-03,0.000E+00,9.766E-08,1.953E-07,5.809E-03,2.193E-02,1.244E-02,2.744E-02,1.761E+00,1.850E+00,2.418E-02,1.152E+00,1.410E+00,3.142E+00,2.137E-03,2.336E+00,2.367E+00,1.012E-01,4.319E+00,1.715E+00,-7.209E-02,2.139E+00,1.496E+00,3.142E+00,5.960E-03,2.515E+00,2.609E+00,3.606E-01,1.295E+00,1.761E+00,-3.750E-02,1.796E+00,1.371E+00,3.142E+00,2.277E-03,2.496E+00,2.531E+00,1.372E-01,3.305E+00,1.929E+00,2.967E-02,1.052E+00,1.194E+00,3.142E+00,-2.897E-03,2.307E+00,2.267E+00,9.295E-02,4.669E+00
2,0.000E+00,1.260E-02,0.000E+00,6.625E-03,0.000E+00,1.953E-07,3.906E-07,5.868E-03,2.213E-02,1.254E-02,2.760E-02,1.775E+00,1.834E+00,2.776E-02,1.102E+00,1.552E+00,3.142E+00,1.464E-03,2.346E+00,2.367E+00,1.017E-01,4.299E+00,1.692E+00,-5.911E-02,2.036E+00,1.617E+00,3.142E+00,4.934E-03,2.532E+00,2.610E+00,3.581E-01,1.304E+00,1.754E+00,-5.937E-02,1.950E+00,1.389E+00,3.142E+00,1.949E-03,2.500E+00,2.530E+00,1.368E-01,3.314E+00,1.883E+00,-2.037E-03,1.217E+00,1.211E+00,3.142E+00,-2.401E-03,2.288E+00,2.254E+00,9.216E-02,4.707E+00
3,0.000E+00,1.269E-02,0.000E+00,6.670E-03,0.000E+00,2.930E-07,5.859E-07,5.928E-03,2.233E-02,1.263E-02,2.776E-02,1.788E+00,1.822E+00,3.133E-02,1.052E+00,1.694E+00,3.142E+00,7.913E-04,2.356E+00,2.368E+00,1.022E-01,4.280E+00,1.672E+00,-4.613E-02,1.932E+00,1.738E+00,3.142E+00,3.908E-03,2.549E+00,2.611E+00,3.556E-01,1.313E+00,1.749E+00,-8.124E-02,2.104E+00,1.407E+00,3.142E+00,1.622E-03,2.504E+00,2.529E+00,1.364E-01,3.323E+00,1.875E+00,-3.374E-02,1.382E+00,1.227E+00,3.142E+00,-1.905E-03,2.268E+00,2.241E+00,9.138E-02,4.746E+00
4,0.000E+00,1.274E-02,0.000E+00,6.693E-03,0.000E+00,3.418E-07,6.836E-07,5.957E-03,2.243E-02,1.268E-02,2.784E-02,1.794E+00,1.817E+00,3.312E-02,1.026E+00,1.765E+00,3.142E+00,4.549E-04,2.362E+00,2.368E+00,1.025E-01,4.271E+00,1.663E+00,-3.964E-02,1.880E+00,1.798E+00,3.142E+00,3.395E-03,2.558E+00,2.612E+00,3.544E-01,1.318E+00,1.747E+00,-9.217E-02,2.181E+00,1.416E+00,3.142E+00,1.458E-03,2.506E+00,2.529E+00,1.362E-01,3.327E+00,1.872E+00,-4.960E-02,1.464E+00,1.235E+00,3.142E+00,-1.657E-03,2.258E+00,2.235E+00,9.098E-02,4.765E+00
5,0.000E+00,1.278E-02,0.000E+00,6.715E-03,0.000E+00,3.906E-07,7.812E-07,5.987E-03,2.253E-02,1.273E-02,2.792E-02,1.801E+00,1.813E+00,3.491E-02,1.001E+00,1.836E+00,3.142E+00,1.184E-04,2.367E+00,2.368E+00,1.027E-01,4.261E+00,1.655E+00,-3.315E-02,1.828E+00,1.859E+00,3.142E+00,2.882E-03,2.567E+00,2.612E+00,3.531E-01,1.322E+00,1.745E+00,-1.031E-01,2.258E+00,1.425E+00,3.142E+00,1.294E-03,2.508E+00,2.528E+00,1.360E-01,3.332E+00,1.870E+00,-6.545E-02,1.547E+00,1.243E+00,3.142E+00,-1.410E-03,2.249E+00,2.229E+00,9.059E-02,4.785E+00
6,0.000E+00,1.287E-02,0.000E+00,6.760E-03,0.000E+00,4.883E-07,9.766E-07,6.046E-03,2.273E-02,1.283E-02,2.807E-02,1.814E+00,1.806E+00,3.848E-02,9.512E-01,1.978E+00,3.142E+00,-5.544E-04,2.377E+00,2.368E+00,1.032E-01,4.242E+00,1.640E+00,-2.017E-02,1.725E+00,1.980E+00,3.142E+00,1.856E-03,2.584E+00,2.613E+00,3.506E-01,1.331E+00,1.742E+00,-1.250E-01,2.412E+00,1.443E+00,3.142E+00,9.669E-04,2.512E+00,2.527E+00,1.357E-01,3.341E+00,1.867E+00,-9.716E-02,1.712E+00,1.260E+00,3.142E+00,-9.136E-04,2.229E+00,2.216E+00,8.981E-02,4.823E+00
7,0.000E+00,1.296E-02,0.000E+00,6.806E-03,0.000E+00,5.859E-07,1.172E-06,6.105E-03,2.293E-02,1.292E-02,2.823E-02,1.828E+00,1.802E+00,4.206E-02,9.010E-01,2.119E+00,3.142E+00,-1.227E-03,2.387E+00,2.369E+00,1.037E-01,4.223E+00,1.628E+00,-7.187E-03,1.621E+00,2.101E+00,3.142E+00,8.302E-04,2.601E+00,2.614E+00,3.481E-01,1.340E+00,1.740E+00,-1.468E-01,2.566E+00,1.461E+00,3.142E+00,6.394E-04,2.517E+00,2.526E+00,1.353E-01,3.350E+00,1.865E+00,-1.289E-01,1.877E+00,1.276E+00,3.142E+00,-4.177E-04,2.209E+00,2.203E+00,8.902E-02,4.862E+00
8,0.000E+00,1.305E-02,0.000E+00,6.851E-03,0.000E+00,6.836E-07,1.367E-06,6.164E-03,2.313E-02,1.302E-02,2.839E-02,1.841E+00,1.800E+00,4.563E-02,8.508E-01,2.261E+00,3.142E+00,-1.900E-03,2.397E+00,2.369E+00,1.042E-01,4.204E+00,1.625E+00,5.794E-03,1.517E+00,2.222E+00,3.142E+00,-1.959E-04,2.619E+00,2.615E+00,3.456E-01,1.349E+00,1.738E+00,-1.687E-01,2.720E+00,1.479E+00,3.142E+00,3.120E-04,2.521E+00,2.526E+00,1.349E-01,3.359E+00,1.865E+00,-1.606E-01,2.042E+00,1.292E+00,3.142E+00,7.815E-05,2.190E+00,2.190E+00,8.824E-02,4.900E+00
9,0.000E+00,1.310E-02,0.000E+00,6.873E-03,0.000E+00,7.324E-07,1.465E-06,6.194E-03,2.323E-02,1.307E-02,2.847E-02,1.848E+00,1.800E+00,4.742E-02,8.257E-01,2.332E+00,3.142E+00,-2.237E-03,2.402E+00,2.369E+00,1.044E-01,4.195E+00,1.628E+00,1.228E-02,1.465E+00,2.282E+00,3.142E+00,-7.089E-04,2.627E+00,2.616E+00,3.444E-01,1.354E+00,1.738E+00,-1.796E-01,2.797E+00,1.488E+00,3.142E+00,1.483E-04,2.523E+00,2.525E+00,1.347E-01,3.364E+00,1.865E+00,-1.764E-01,2.124E+00,1.300E+00,3.142E+00,3.261E-04,2.180E+00,2.184E+00,8.785E-02,4.920E+00
10,0.000E+00,1.314E-02,0.000E+00,6.896E-03,0.000E+00,7.812E-07,1.562E-06,6.223E-03,2.333E-02,1.311E-02,2.855E-02,1.854E+00,1.800E+00,4.921E-02,8.006E-01,2.403E+00,3.142E+00,-2.573E-03,2.407E+00,2.369E+00,1.047E-01,4.185E+00,1.632E+00,1.878E-02,1.414E+00,2.343E+00,3.142E+00,-1.222E-03,2.636E+00,2.616E+00,3.431E-01,1.358E+00,1.738E+00,-1.906E-01,2.873E+00,1.497E+00,3.142E+00,-1.541E-05,2.525E+00,2.525E+00,1.345E-01,3.368E+00,1.866E+00,-1.923E-01,2.207E+00,1.308E+00,3.142E+00,5.741E-04,2.170E+00,2.178E+00,8.745E-02,4.939E+00
11,0.000E+00,1.339E-02,0.000E+00,6.949E-03,0.000E+00,6.836E-07,1.660E-06,6.428E-03,2.401E-02,1.335E-02,2.890E-02,1.890E+00,1.719E+00,4.654E-03,1.087E+00,2.296E+00,3.142E+00,-2.353E-03,2.405E+00,2.371E+00,1.050E-01,4.174E+00,1.601E+00,-5.894E-03,1.616E+00,2.296E+00,3.142E+00,-5.288E-04,2.629E+00,2.620E+00,3.420E-01,1.363E+00,1.736E+00,-1.876E-01,2.800E+00,1.527E+00,3.142E+00,3.968E-04,2.514E+00,2.520E+00,1.344E-01,3.370E+00,1.862E+00,-2.067E-01,2.286E+00,1.332E+00,3.142E+00,5.260E-04,2.168E+00,2.175E+00,8.738E-02,4.943E+00
12,0.000E+00,1.364E-02,0.000E+00,7.001E-03,0.000E+00,5.859E-07,1.758E-06,6.632E-03,2.469E-02,1.358E-02,2.925E-02,1.926E+00,1.701E+00,-3.990E-02,1.373E+00,2.189E+00,3.142E+00,-2.133E-03,2.404E+00,2.373E+00,1.053E-01,4.163E+00,1.595E+00,-3.056E-02,1.819E+00,2.250E+00,3.142E+00,1.643E-04,2.622E+00,2.625E+00,3.408E-01,1.367E+00,1.735E+00,-1.846E-01,2.727E+00,1.556E+00,3.142E+00,8.090E-04,2.503E+00,2.515E+00,1.343E-01,3.372E+00,1.858E+00,-2.211E-01,2.366E+00,1.356E+00,3.142E+00,4.780E-04,2.166E+00,2.172E+00,8.730E-02,4.947E+00
13,0.000E+00,1.388E-02,0.000E+00,7.053E-03,0.000E+00,4.883E-07,1.855E-06,6.836E-03,2.537E-02,1.381E-02,2.960E-02,1.961E+00,1.700E+00,-8.446E-02,1.659E+00,2.081E+00,3.142E+00,-1.913E-03,2.403E+00,2.375E+00,1.056E-01,4.152E+00,1.592E+00,-5.523E-02,2.021E+00,2.204E+00,3.142E+00,8.573E-04,2.615E+00,2.629E+00,3.397E-01,1.372E+00,1.734E+00,-1.816E-01,2.654E+00,1.586E+00,3.142E+00,1.221E-03,2.492E+00,2.511E+00,1.342E-01,3.375E+00,1.854E+00,-2.355E-01,2.445E+00,1.380E+00,3.142E+00,4.300E-04,2.164E+00,2.170E+00,8.723E-02,4.951E+00
14,0.000E+00,1.401E-02,0.000E+00,7.080E-03,0.000E+00,4.395E-07,1.904E-06,6.938E-03,2.571E-02,1.393E-02,2.977E-02,1.979E+00,1.703E+00,-1.067E-01,1.802E+00,2.028E+00,3.142E+00,-1.803E-03,2.402E+00,2.376E+00,1.057E-01,4.146E+00,1.592E+00,-6.757E-02,2.123E+00,2.181E+00,3.142E+00,1.204E-03,2.612E+00,2.632E+00,3.391E-01,1.374E+00,1.733E+00,-1.801E-01,2.617E+00,1.600E+00,3.142E+00,1.427E-03,2.487E+00,2.508E+00,1.342E-01,3.376E+00,1.853E+00,-2.427E-01,2.485E+00,1.392E+00,3.142E+00,4.060E-04,2.163E+00,2.169E+00,8.719E-02,4.953E+00
15,0.000E+00,1.413E-02,0.000E+00,7.106E-03,0.000E+00,3.906E-07,1.953E-06,7.041E-03,2.605E-02,1.404E-02,2.995E-02,1.997E+00,1.708E+00,-1.290E-01,1.945E+00,1.974E+00,3.142E+00,-1.693E-03,2.402E+00,2.377E+00,1.059E-01,4.141E+00,1.592E+00,-7.990E-02,2.224E+00,2.158E+00,3.142E+00,1.550E-03,2.609E+00,2.634E+00,3.386E-01,1.376E+00,1.733E+00,-1.787E-01,2.581E+00,1.615E+00,3.142E+00,1.633E-03,2.481E+00,2.506E+00,1.341E-01,3.377E+00,1.851E+00,-2.499E-01,2.525E+00,1.404E+00,3.142E+00,3.820E-04,2.162E+00,2.167E+00,8.715E-02,4.955E+00
16,0.000E+00,1.438E-02,0.000E+00,7.158E-03,0.000E+00,2.930E-07,2.051E-06,7.245E-03,2.674E-02,1.428E-02,3.029E-02,2.033E+00,1.723E+00,-1.736E-01,2.231E+00,1.867E+00,3.142E+00,-1.473E-03,2.400E+00,2.379E+00,1.062E-01,4.129E+00,1.595E+00,-1.046E-01,2.426E+00,2.111E+00,3.142E+00,2.244E-03,2.602E+00,2.638E+00,3.374E-01,1.381E+00,1.733E+00,-1.757E-01,2.507E+00,1.645E+00,3.142E+00,2.046E-03,2.471E+00,2.502E+00,1.340E-01,3.379E+00,1.847E+00,-2.643E-01,2.604E+00,1.428E+00,3.142E+00,3.340E-04,2.160E+00,2.165E+00,8.708E-02,4.959E+00
17,0.000E+00,1.463E-02,0.000E+00,7.211E-03,0.000E+00,1.953E-07,2.148E-06,7.449E-03,2.742E-02,1.451E-02,3.064E-02,2.068E+00,1.745E+00,-2.181E-01,2.517E+00,1.760E+00,3.142E+00,-1.253E-03,2.399E+00,2.381E+00,1.065E-01,4.118E+00,1.600E+00,-1.292E-01,2.629E+00,2.065E+00,3.142E+00,2.937E-03,2.595E+00,2.643E+00,3.363E-01,1.385E+00,1.733E+00,-1.727E-01,2.434E+00,1.674E+00,3.142E+00,2.458E-03,2.460E+00,2.497E+00,1.339E-01,3.381E+00,1.844E+00,-2.787E-01,2.684E+00,1.451E+00,3.142E+00,2.860E-04,2.158E+00,2.162E+00,8.700E-02,4.963E+00
18,0.000E+00,1.487E-02,0.000E+00,7.263E-03,0.000E+00,9.766E-08,2.246E-06,7.654E-03,2.810E-02,1.474E-02,3.099E-02,2.104E+00,1.772E+00,-2.627E-01,2.803E+00,1.652E+00,3.142E+00,-1.033E-03,2.398E+00,2.383E+00,1.068E-01,4.107E+00,1.607E+00,-1.539E-01,2.832E+00,2.019E+00,3.142E+00,3.630E-03,2.588E+00,2.647E+00,3.351E-01,1.390E+00,1.734E+00,-1.697E-01,2.361E+00,1.703E+00,3.142E+00,2.870E-03,2.449E+00,2.492E+00,1.339E-01,3.383E+00,1.841E+00,-2.930E-01,2.763E+00,1.475E+00,3.142E+00,2.380E-04,2.157E+00,2.160E+00,8.693E-02,4.967E+00
19,0.000E+00,1.500E-02,0.000E+00,7.289E-03,0.000E+00,4.883E-08,2.295E-06,7.756E-03,2.844E-02,1.486E-02,3.116E-02,2.122E+00,1.787E+00,-2.850E-01,2.946E+00,1.599E+00,3.142E+00,-9.227E-04,2.397E+00,2.384E+00,1.069E-01,4.101E+00,1.611E+00,-1.662E-01,2.933E+00,1.996E+00,3.142E+00,3.976E-03,2.584E+00,2.650E+00,3.346E-01,1.392E+00,1.734E+00,-1.682E-01,2.324E+00,1.718E+00,3.142E+00,3.076E-03,2.443E+00,2.490E+00,1.338E-01,3.384E+00,1.840E+00,-3.002E-01,2.803E+00,1.487E+00,3.142E+00,2.139E-04,2.156E+00,2.158E+00,8.689E-02,4.969E+00
20,0.000E+00,1.512E-02,0.000E+00,7.316E-03,0.000E+00,0.000E+00,2.344E-06,7.858E-03,2.878E-02,1.498E-02,3.134E-02,2.140E+00,1.804E+00,-3.072E-01,3.089E+00,1.545E+00,3.142E+00,-8.127E-04,2.397E+00,2.385E+00,1.071E-01,4.096E+00,1.616E+00,-1.786E-01,3.034E+00,1.972E+00,3.142E+00,4.323E-03,2.581E+00,2.652E+00,3.340E-01,1.394E+00,1.735E+00,-1.667E-01,2.288E+00,1.733E+00,3.142E+00,3.282E-03,2.438E+00,2.488E+00,1.338E-01,3.385E+00,1.838E+00,-3.074E-01,2.842E+00,1.499E+00,3.142E+00,1.899E-04,2.155E+00,2.157E+00,8.685E-02,4.971E+00
21,0.000E+00,1.556E-02,0.000E+00,7.474E-03,0.000E+00,1.953E-07,3.027E-06,8.161E-03,2.976E-02,1.547E-02,3.230E-02,2.207E+00,1.803E+00,-3.186E-01,3.225E+00,1.536E+00,3.142E+00,-6.610E-04,2.404E+00,2.394E+00,1.060E-01,4.137E+00,1.618E+00,-1.871E-01,3.120E+00,1.950E+00,3.142E+00,4.311E-03,2.590E+00,2.661E+00,3.340E-01,1.394E+00,1.727E+00,-1.806E-01,2.443E+00,1.732E+00,3.142E+00,2.989E-03,2.456E+00,2.501E+00,1.335E-01,3.392E+00,1.834E+00,-3.250E-01,3.060E+00,1.487E+00,3.142E+00,-5.246E-04,2.189E+00,2.181E+00,8.644E-02,4.993E+00
22,0.000E+00,1.600E-02,0.000E+00,7.633E-03,0.000E+00,3.906E-07,3.711E-06,8.465E-03,3.073E-02,1.597E-02,3.327E-02,2.275E+00,1.802E+00,-3.299E-01,3.362E+00,1.526E+00,3.142E+00,-5.092E-04,2.411E+00,2.403E+00,1.050E-01,4.178E+00,1.622E+00,-1.956E-01,3.205E+00,1.928E+00,3.142E+00,4.299E-03,2.599E+00,2.670E+00,3.341E-01,1.394E+00,1.721E+00,-1.945E-01,2.598E+00,1.732E+00,3.142E+00,2.696E-03,2.474E+00,2.515E+00,1.332E-01,3.399E+00,1.832E+00,-3.426E-01,3.277E+00,1.474E+00,3.142E+00,-1.239E-03,2.224E+00,2.205E+00,8.604E-02,5.016E+00
23,0.000E+00,1.644E-02,0.000E+00,7.792E-03,0.000E+00,5.859E-07,4.395E-06,8.769E-03,3.171E-02,1.646E-02,3.423E-02,2.342E+00,1.802E+00,-3.412E-01,3.498E+00,1.517E+00,3.142E+00,-3.575E-04,2.418E+00,2.413E+00,1.039E-01,4.219E+00,1.625E+00,-2.041E-01,3.291E+00,1.906E+00,3.142E+00,4.287E-03,2.608E+00,2.679E+00,3.342E-01,1.394E+00,1.716E+00,-2.085E-01,2.754E+00,1.731E+00,3.142E+00,2.403E-03,2.492E+00,2.528E+00,1.329E-01,3.406E+00,1.831E+00,-3.602E-01,3.495E+00,1.462E+00,3.142E+00,-1.954E-03,2.258E+00,2.229E+00,8.563E-02,5.038E+00
24,0.000E+00,1.666E-02,0.000E+00,7.871E-03,0.000E+00,6.836E-07,4.736E-06,8.920E-03,3.220E-02,1.671E-02,3.472E-02,2.376E+00,1.802E+00,-3.469E-01,3.566E+00,1.512E+00,3.142E+00,-2.816E-04,2.421E+00,2.417E+00,1.034E-01,4.239E+00,1.627E+00,-2.083E-01,3.333E+00,1.895E+00,3.142E+00,4.281E-03,2.612E+00,2.683E+00,3.342E-01,1.393E+00,1.713E+00,-2.154E-01,2.831E+00,1.730E+00,3.142E+00,2.256E-03,2.500E+00,2.535E+00,1.328E-01,3.409E+00,1.831E+00,-3.689E-01,3.603E+00,1.455E+00,3.142E+00,-2.311E-03,2.276E+00,2.242E+00,8.542E-02,5.050E+00
25,0.000E+00,1.688E-02,0.000E+00,7.950E-03,0.000E+00,7.812E-07,5.078E-06,9.072E-03,3.269E-02,1.696E-02,3.520E-02,2.410E+00,1.803E+00,-3.526E-01,3.635E+00,1.507E+00,3.142E+00,-2.057E-04,2.425E+00,2.422E+00,1.029E-01,4.260E+00,1.629E+00,-2.126E-01,3.376E+00,1.884E+00,3.142E+00,4.275E-03,2.616E+00,2.688E+00,3.342E-01,1.393E+00,1.711E+00,-2.224E-01,2.909E+00,1.730E+00,3.142E+00,2.109E-03,2.509E+00,2.542E+00,1.327E-01,3.412E+00,1.831E+00,-3.777E-01,3.712E+00,1.449E+00,3.142E+00,-2.668E-03,2.293E+00,2.254E+00,8.522E-02,5.061E+00
26,0.000E+00,1.732E-02,0.000E+00,8.109E-03,0.000E+00,9.766E-07,5.762E-06,9.376E-03,3.367E-02,1.746E-02,3.617E-02,2.478E+00,1.804E+00,-3.639E-01,3.771E+00,1.498E+00,3.142E+00,-5.398E-05,2.432E+00,2.431E+00,1.018E-01,4.301E+00,1.633E+00,-2.211E-01,3.462E+00,1.862E+00,3.142E+00,4.264E-03,2.625E+00,2.697E+00,3.343E-01,1.393E+00,1.708E+00,-2.363E-01,3.064E+00,1.729E+00,3.142E+00,1.816E-03,2.527E+00,2.555E+00,1.324E-01,3.419E+00,1.832E+00,-3.953E-01,3.930E+00,1.437E+00,3.142E+00,-3.383E-03,2.328E+00,2.278E+00,8.481E-02,5.083E+00
27,0.000E+00,1.776E-02,0.000E+00,8.268E-03,0.000E+00,1.172E-06,6.445E-06,9.679E-03,3.464E-02,1.795E-02,3.713E-02,2.545E+00,1.805E+00,-3.753E-01,3.908E+00,1.488E+00,3.142E+00,9.777E-05,2.439E+00,2.441E+00,1.007E-01,4.342E+00,1.637E+00,-2.296E-01,3.547E+00,1.840E+00,3.142E+00,4.252E-03,2.634E+00,2.706E+00,3.343E-01,1.393E+00,1.705E+00,-2.502E-01,3.219E+00,1.729E+00,3.142E+00,1.523E-03,2.545E+00,2.569E+00,1.321E-01,3.426E+00,1.834E+00,-4.129E-01,4.147E+00,1.424E+00,3.142E+00,-4.097E-03,2.362E+00,2.302E+00,8.440E-02,5.106E+00
28,0.000E+00,1.819E-02,0.000E+00,8.426E-03,0.000E+00,1.367E-06,7.129E-06,9.983E-03,3.562E-02,1.845E-02,3.810E-02,2.613E+00,1.807E+00,-3.866E-01,4.044E+00,1.479E+00,3.142E+00,2.495E-04,2.446E+00,2.450E+00,9.969E-02,4.383E+00,1.642E+00,-2.381E-01,3.633E+00,1.818E+00,3.142E+00,4.240E-03,2.643E+00,2.715E+00,3.344E-01,1.393E+00,1.703E+00,-2.641E-01,3.375E+00,1.728E+00,3.142E+00,1.230E-03,2.563E+00,2.582E+00,1.318E-01,3.432E+00,1.837E+00,-4.304E-01,4.364E+00,1.412E+00,3.142E+00,-4.812E-03,2.397E+00,2.326E+00,8.400E-02,5.128E+00
29,0.000E+00,1.841E-02,0.000E+00,8.506E-03,0.000E+00,1.465E-06,7.471E-06,1.013E-02,3.611E-02,1.870E-02,3.858E-02,2.646E+00,1.808E+00,-3.923E-01,4.112E+00,1.474E+00,3.142E+00,3.254E-04,2.450E+00,2.455E+00,9.916E-02,4.404E+00,1.644E+00,-2.423E-01,3.675E+00,1.806E+00,3.142E+00,4.234E-03,2.647E+00,2.719E+00,3.344E-01,1.393E+00,1.702E+00,-2.711E-01,3.452E+00,1.728E+00,3.142E+00,1.083E-03,2.572E+00,2.589E+00,1.317E-01,3.436E+00,1.839E+00,-4.392E-01,4.473E+00,1.406E+00,3.142E+00,-5.169E-03,2.414E+00,2.338E+00,8.379E-02,5.140E+00
30,0.000E+00,1.863E-02,0.000E+00,8.585E-03,0.000E+00,1.562E-06,7.813E-06,1.029E-02,3.660E-02,1.895E-02,3.906E-02,2.680E+00,1.809E+00,-3.979E-01,4.181E+00,1.469E+00,3.142E+00,4.013E-04,2.453E+00,2.459E+00,9.863E-02,4.424E+00,1.646E+00,-2.466E-01,3.718E+00,1.795E+00,3.142E+00,4.228E-03,2.652E+00,2.724E+00,3.344E-01,1.392E+00,1.701E+00,-2.780E-01,3.530E+00,1.727E+00,3.142E+00,9.366E-04,2.581E+00,2.596E+00,1.316E-01,3.439E+00,1.841E+00,-4.480E-01,4.582E+00,1.399E+00,3.142E+00,-5.526E-03,2.431E+00,2.350E+00,8.359E-02,5.151E+00
31,0.000E+00,2.004E-02,0.000E+00,8.887E-03,0.000E+00,3.320E-06,9.082E-06,1.137E-02,3.977E-02,2.032E-02,4.136E-02,2.876E+00,1.805E+00,-4.051E-01,4.311E+00,1.474E+00,3.142E+00,7.318E-04,2.448E+00,2.459E+00,9.843E-02,4.433E+00,1.638E+00,-2.324E-01,3.541E+00,1.849E+00,3.142E+00,3.980E-03,2.653E+00,2.721E+00,3.330E-01,1.398E+00,1.697E+00,-2.765E-01,3.502E+00,1.754E+00,3.142E+00,9.196E-04,2.586E+00,2.601E+00,1.309E-01,3.455E+00,1.825E+00,-4.484E-01,4.651E+00,1.441E+00,3.142E+00,-3.333E-03,2.389E+00,2.338E+00,8.286E-02,5.196E+00
32,0.000E+00,2.074E-02,0.000E+00,9.038E-03,0.000E+00,4.199E-06,9.717E-06,1.191E-02,4.136E-02,2.101E-02,4.250E-02,2.974E+00,1.803E+00,-4.087E-01,4.376E+00,1.476E+00,3.142E+00,8.971E-04,2.445E+00,2.458E+00,9.833E-02,4.437E+00,1.634E+00,-2.253E-01,3.453E+00,1.877E+00,3.142E+00,3.856E-03,2.654E+00,2.719E+00,3.323E-01,1.401E+00,1.695E+00,-2.758E-01,3.488E+00,1.767E+00,3.142E+00,9.110E-04,2.588E+00,2.603E+00,1.306E-01,3.463E+00,1.818E+00,-4.487E-01,4.686E+00,1.462E+00,3.142E+00,-2.236E-03,2.368E+00,2.331E+00,8.249E-02,5.218E+00
33,0.000E+00,2.144E-02,0.000E+00,9.188E-03,0.000E+00,5.078E-06,1.035E-05,1.244E-02,4.294E-02,2.170E-02,4.365E-02,3.072E+00,1.801E+00,-4.123E-01,4.441E+00,1.479E+00,3.142E+00,1.062E-03,2.442E+00,2.458E+00,9.823E-02,4.441E+00,1.631E+00,-2.182E-01,3.365E+00,1.904E+00,3.142E+00,3.733E-03,2.654E+00,2.718E+00,3.315E-01,1.404E+00,1.693E+00,-2.751E-01,3.474E+00,1.781E+00,3.142E+00,9.025E-04,2.591E+00,2.606E+00,1.303E-01,3.471E+00,1.810E+00,-4.489E-01,4.721E+00,1.483E+00,3.142E+00,-1.139E-03,2.346E+00,2.325E+00,8.212E-02,5.241E+00
