alpha,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
54,0.000E+00,4.396E-02,0.000E+00,1.451E-02,0.000E+00,3.862E-05,5.742E-05,2.947E-02,9.504E-02,4.403E-02,8.016E-02,6.239E+00,1.623E+00,-5.250E-01,1.109E+01,1.620E+00,3.142E+00,2.951E-03,2.434E+00,2.479E+00,9.555E-02,4.562E+00,1.549E+00,-1.549E-01,2.985E+00,2.299E+00,3.142E+00,-2.979E-03,2.830E+00,2.777E+00,3.214E-01,1.447E+00,1.617E+00,-3.178E-01,4.832E+00,1.865E+00,3.142E+00,3.055E-05,2.679E+00,2.680E+00,1.252E-01,3.606E+00,1.705E+00,-7.071E-01,2.063E+01,1.361E+00,3.142E+00,-1.636E-03,2.446E+00,2.421E+00,7.933E-02,5.407E+00
55,0.000E+00,4.510E-02,0.000E+00,1.477E-02,0.000E+00,4.180E-05,6.094E-05,3.036E-02,9.787E-02,4.516E-02,8.191E-02,6.401E+00,1.626E+00,-5.363E-01,1.177E+01,1.587E+00,3.142E+00,2.988E-03,2.444E+00,2.489E+00,9.512E-02,4.582E+00,1.553E+00,-1.696E-01,3.172E+00,2.233E+00,3.142E+00,-3.186E-03,2.835E+00,2.778E+00,3.208E-01,1.450E+00,1.617E+00,-3.275E-01,5.058E+00,1.839E+00,3.142E+00,2.167E-04,2.674E+00,2.677E+00,1.253E-01,3.604E+00,1.694E+00,-6.961E-01,1.980E+01,1.393E+00,3.142E+00,-2.000E-03,2.449E+00,2.419E+00,7.934E-02,5.406E+00
56,0.000E+00,4.738E-02,0.000E+00,1.529E-02,0.000E+00,4.814E-05,6.797E-05,3.215E-02,1.035E-01,4.743E-02,8.540E-02,6.726E+00,1.637E+00,-5.587E-01,1.315E+01,1.522E+00,3.142E+00,3.063E-03,2.463E+00,2.511E+00,9.426E-02,4.621E+00,1.565E+00,-1.990E-01,3.548E+00,2.102E+00,3.142E+00,-3.601E-03,2.845E+00,2.781E+00,3.194E-01,1.456E+00,1.620E+00,-3.469E-01,5.508E+00,1.787E+00,3.142E+00,5.889E-04,2.663E+00,2.673E+00,1.255E-01,3.598E+00,1.675E+00,-6.741E-01,1.813E+01,1.457E+00,3.142E+00,-2.730E-03,2.455E+00,2.415E+00,7.936E-02,5.405E+00
57,0.000E+00,4.966E-02,0.000E+00,1.581E-02,0.000E+00,5.449E-05,7.500E-05,3.393E-02,1.092E-01,4.970E-02,8.889E-02,7.051E+00,1.651E+00,-5.812E-01,1.452E+01,1.457E+00,3.142E+00,3.138E-03,2.483E+00,2.532E+00,9.339E-02,4.659E+00,1.583E+00,-2.284E-01,3.923E+00,1.970E+00,3.142E+00,-4.015E-03,2.855E+00,2.783E+00,3.181E-01,1.462E+00,1.626E+00,-3.663E-01,5.959E+00,1.735E+00,3.142E+00,9.611E-04,2.653E+00,2.668E+00,1.257E-01,3.593E+00,1.659E+00,-6.521E-01,1.646E+01,1.521E+00,3.142E+00,-3.459E-03,2.462E+00,2.410E+00,7.938E-02,5.404E+00
58,0.000E+00,5.194E-02,0.000E+00,1.633E-02,0.000E+00,6.084E-05,8.203E-05,3.572E-02,1.149E-01,5.197E-02,9.238E-02,7.377E+00,1.669E+00,-6.036E-01,1.590E+01,1.392E+00,3.142E+00,3.213E-03,2.503E+00,2.553E+00,9.253E-02,4.698E+00,1.606E+00,-2.578E-01,4.298E+00,1.839E+00,3.142E+00,-4.430E-03,2.865E+00,2.786E+00,3.168E-01,1.467E+00,1.634E+00,-3.857E-01,6.409E+00,1.683E+00,3.142E+00,1.333E-03,2.642E+00,2.664E+00,1.259E-01,3.588E+00,1.647E+00,-6.301E-01,1.479E+01,1.585E+00,3.142E+00,-4.189E-03,2.468E+00,2.406E+00,7.940E-02,5.402E+00
59,0.000E+00,5.308E-02,0.000E+00,1.659E-02,0.000E+00,6.401E-05,8.555E-05,3.661E-02,1.177E-01,5.311E-02,9.413E-02,7.539E+00,1.679E+00,-6.148E-01,1.659E+01,1.359E+00,3.142E+00,3.250E-03,2.513E+00,2.564E+00,9.210E-02,4.718E+00,1.619E+00,-2.725E-01,4.486E+00,1.774E+00,3.142E+00,-4.637E-03,2.870E+00,2.787E+00,3.162E-01,1.470E+00,1.639E+00,-3.954E-01,6.634E+00,1.657E+00,3.142E+00,1.519E-03,2.637E+00,2.662E+00,1.260E-01,3.585E+00,1.642E+00,-6.191E-01,1.395E+01,1.617E+00,3.142E+00,-4.553E-03,2.471E+00,2.403E+00,7.941E-02,5.402E+00
60,0.000E+00,5.422E-02,0.000E+00,1.685E-02,0.000E+00,6.719E-05,8.906E-05,3.750E-02,1.205E-01,5.424E-02,9.588E-02,7.702E+00,1.690E+00,-6.261E-01,1.727E+01,1.327E+00,3.142E+00,3.288E-03,2.523E+00,2.575E+00,9.166E-02,4.737E+00,1.633E+00,-2.872E-01,4.674E+00,1.708E+00,3.142E+00,-4.844E-03,2.875E+00,2.788E+00,3.155E-01,1.473E+00,1.644E+00,-4.051E-01,6.860E+00,1.631E+00,3.142E+00,1.706E-03,2.631E+00,2.659E+00,1.260E-01,3.582E+00,1.639E+00,-6.081E-01,1.312E+01,1.649E+00,3.142E+00,-4.918E-03,2.475E+00,2.401E+00,7.942E-02,5.401E+00
61,0.000E+00,5.774E-02,0.000E+00,1.738E-02,0.000E+00,8.184E-05,1.023E-04,4.054E-02,1.296E-01,5.783E-02,1.012E-01,8.210E+00,1.660E+00,-6.122E-01,1.699E+01,1.401E+00,3.142E+00,2.979E-03,2.533E+00,2.581E+00,9.195E-02,4.724E+00,1.620E+00,-3.023E-01,5.145E+00,1.704E+00,3.142E+00,-4.643E-03,2.850E+00,2.768E+00,3.174E-01,1.464E+00,1.638E+00,-4.115E-01,7.320E+00,1.608E+00,3.142E+00,1.618E-03,2.634E+00,2.661E+00,1.264E-01,3.574E+00,1.628E+00,-6.018E-01,1.328E+01,1.664E+00,3.142E+00,-4.460E-03,2.499E+00,2.432E+00,7.973E-02,5.382E+00
62,0.000E+00,6.127E-02,0.000E+00,1.791E-02,0.000E+00,9.648E-05,1.156E-04,4.357E-02,1.387E-01,6.142E-02,1.064E-01,8.719E+00,1.630E+00,-5.983E-01,1.670E+01,1.475E+00,3.142E+00,2.670E-03,2.544E+00,2.587E+00,9.223E-02,4.710E+00,1.610E+00,-3.174E-01,5.616E+00,1.701E+00,3.142E+00,-4.442E-03,2.825E+00,2.747E+00,3.194E-01,1.456E+00,1.633E+00,-4.178E-01,7.781E+00,1.584E+00,3.142E+00,1.530E-03,2.638E+00,2.663E+00,1.267E-01,3.565E+00,1.617E+00,-5.956E-01,1.345E+01,1.679E+00,3.142E+00,-4.001E-03,2.524E+00,2.462E+00,8.004E-02,5.363E+00
63,0.000E+00,6.479E-02,0.000E+00,1.844E-02,0.000E+00,1.111E-04,1.289E-04,4.660E-02,1.478E-01,6.501E-02,1.117E-01,9.227E+00,1.603E+00,-5.845E-01,1.642E+01,1.549E+00,3.142E+00,2.361E-03,2.555E+00,2.592E+00,9.252E-02,4.696E+00,1.601E+00,-3.325E-01,6.087E+00,1.697E+00,3.142E+00,-4.240E-03,2.800E+00,2.726E+00,3.214E-01,1.447E+00,1.630E+00,-4.241E-01,8.241E+00,1.561E+00,3.142E+00,1.442E-03,2.641E+00,2.665E+00,1.270E-01,3.556E+00,1.606E+00,-5.894E-01,1.361E+01,1.694E+00,3.142E+00,-3.542E-03,2.548E+00,2.493E+00,8.035E-02,5.343E+00
