alpha,H,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
61,0.000E+00,0.000E+00,1.376E-02,0.000E+00,0.000E+00,1.318E-05,3.027E-05,2.880E-02,5.653E-02,2.017E+00,1.581E+00,-5.153E-01,6.582E+00,2.395E+00,3.142E+00,-2.408E-03,2.685E+00,2.645E+00,7.168E-02,4.174E+00,1.587E+00,-4.549E-01,6.589E+00,2.129E+00,3.142E+00,5.622E-04,2.714E+00,2.723E+00,1.909E-01,1.905E+00,1.567E+00,-3.826E-01,5.096E+00,2.344E+00,3.142E+00,3.206E-04,2.753E+00,2.758E+00,1.029E-01,3.405E+00
62,0.000E+00,0.000E+00,1.419E-02,0.000E+00,0.000E+00,1.538E-05,2.930E-05,2.975E-02,5.835E-02,2.082E+00,1.575E+00,-5.179E-01,6.666E+00,2.423E+00,3.142E+00,-2.898E-03,2.685E+00,2.637E+00,7.018E-02,4.242E+00,1.571E+00,-4.471E-01,6.601E+00,2.187E+00,3.142E+00,4.174E-04,2.707E+00,2.714E+00,1.915E-01,1.900E+00,1.559E+00,-3.887E-01,5.265E+00,2.367E+00,3.142E+00,1.061E-03,2.734E+00,2.752E+00,1.027E-01,3.413E+00
63,0.000E+00,0.000E+00,1.461E-02,0.000E+00,0.000E+00,1.758E-05,2.832E-05,3.071E-02,6.017E-02,2.147E+00,1.569E+00,-5.206E-01,6.750E+00,2.450E+00,3.142E+00,-3.388E-03,2.686E+00,2.629E+00,6.868E-02,4.310E+00,1.555E+00,-4.394E-01,6.613E+00,2.244E+00,3.142E+00,2.725E-04,2.701E+00,2.705E+00,1.921E-01,1.895E+00,1.551E+00,-3.947E-01,5.434E+00,2.390E+00,3.142E+00,1.801E-03,2.714E+00,2.745E+00,1.024E-01,3.420E+00
64,0.000E+00,0.000E+00,1.587E-02,0.000E+00,0.000E+00,2.100E-05,4.395E-05,3.296E-02,6.484E-02,2.314E+00,1.555E+00,-5.491E-01,8.042E+00,2.390E+00,3.142E+00,-3.204E-03,2.653E+00,2.600E+00,7.140E-02,4.186E+00,1.550E+00,-4.961E-01,9.068E+00,2.062E+00,3.142E+00,-7.583E-05,2.673E+00,2.672E+00,1.886E-01,1.925E+00,1.539E+00,-4.222E-01,6.323E+00,2.337E+00,3.142E+00,1.458E-03,2.750E+00,2.775E+00,1.024E-01,3.420E+00
65,0.000E+00,0.000E+00,1.650E-02,0.000E+00,0.000E+00,2.271E-05,5.176E-05,3.409E-02,6.718E-02,2.398E+00,1.551E+00,-5.633E-01,8.688E+00,2.360E+00,3.142E+00,-3.111E-03,2.636E+00,2.586E+00,7.277E-02,4.123E+00,1.559E+00,-5.244E-01,1.030E+01,1.971E+00,3.142E+00,-2.500E-04,2.660E+00,2.656E+00,1.869E-01,1.940E+00,1.536E+00,-4.359E-01,6.768E+00,2.310E+00,3.142E+00,1.286E-03,2.768E+00,2.790E+00,1.024E-01,3.421E+00
66,0.000E+00,0.000E+00,1.713E-02,0.000E+00,0.000E+00,2.441E-05,5.957E-05,3.521E-02,6.952E-02,2.481E+00,1.549E+00,-5.775E-01,9.334E+00,2.331E+00,3.142E+00,-3.019E-03,2.620E+00,2.571E+00,7.413E-02,4.061E+00,1.573E+00,-5.528E-01,1.152E+01,1.880E+00,3.142E+00,-4.242E-04,2.646E+00,2.639E+00,1.852E-01,1.955E+00,1.534E+00,-4.497E-01,7.212E+00,2.284E+00,3.142E+00,1.115E-03,2.785E+00,2.805E+00,1.024E-01,3.421E+00
67,0.000E+00,0.000E+00,1.854E-02,0.000E+00,0.000E+00,2.246E-05,6.836E-05,3.809E-02,7.503E-02,2.680E+00,1.542E+00,-6.248E-01,1.185E+01,2.240E+00,3.142E+00,-9.391E-04,2.637E+00,2.622E+00,7.311E-02,4.106E+00,1.544E+00,-5.859E-01,1.421E+01,1.910E+00,3.142E+00,-1.283E-03,2.682E+00,2.661E+00,1.828E-01,1.976E+00,1.522E+00,-4.782E-01,8.412E+00,2.247E+00,3.142E+00,-1.382E-04,2.774E+00,2.771E+00,1.009E-01,3.463E+00
68,0.000E+00,0.000E+00,1.924E-02,0.000E+00,0.000E+00,2.148E-05,7.275E-05,3.953E-02,7.779E-02,2.780E+00,1.544E+00,-6.484E-01,1.311E+01,2.194E+00,3.142E+00,1.011E-04,2.645E+00,2.647E+00,7.260E-02,4.128E+00,1.534E+00,-6.024E-01,1.555E+01,1.925E+00,3.142E+00,-1.713E-03,2.700E+00,2.671E+00,1.817E-01,1.987E+00,1.519E+00,-4.924E-01,9.012E+00,2.229E+00,3.142E+00,-7.647E-04,2.768E+00,2.754E+00,1.001E-01,3.485E+00
69,0.000E+00,0.000E+00,1.995E-02,0.000E+00,0.000E+00,2.051E-05,7.715E-05,4.096E-02,8.055E-02,2.880E+00,1.549E+00,-6.721E-01,1.436E+01,2.148E+00,3.142E+00,1.141E-03,2.653E+00,2.672E+00,7.209E-02,4.151E+00,1.525E+00,-6.190E-01,1.689E+01,1.940E+00,3.142E+00,-2.142E-03,2.719E+00,2.682E+00,1.805E-01,1.998E+00,1.516E+00,-5.066E-01,9.612E+00,2.210E+00,3.142E+00,-1.391E-03,2.762E+00,2.738E+00,9.941E-02,3.506E+00
70,0.000E+00,0.000E+00,2.155E-02,0.000E+00,0.000E+00,3.711E-05,9.131E-05,4.445E-02,8.738E-02,3.124E+00,1.507E+00,-6.819E-01,1.612E+01,2.280E+00,3.142E+00,3.915E-03,2.556E+00,2.618E+00,7.000E-02,4.249E+00,1.470E+00,-5.782E-01,1.562E+01,2.155E+00,3.142E+00,-2.054E-03,2.701E+00,2.667E+00,1.855E-01,1.953E+00,1.494E+00,-5.237E-01,1.091E+01,2.239E+00,3.142E+00,-6.813E-05,2.735E+00,2.734E+00,9.812E-02,3.545E+00
