alpha,He,Fe,Si,O,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
72,0.000E+00,1.996E-01,9.941E-02,3.962E-01,2.028E+01,1.540E+00,-5.506E-01,1.190E+01,1.994E+00,3.142E+00,1.834E-03,2.150E+00,2.173E+00,8.969E-02,4.616E+00,1.616E+00,-3.255E-01,5.572E+00,1.713E+00,3.142E+00,1.173E-03,2.451E+00,2.469E+00,1.968E-01,2.340E+00,1.592E+00,-4.471E-01,8.632E+00,1.747E+00,3.142E+00,1.234E-02,2.112E+00,2.276E+00,8.956E-02,4.831E+00
73,0.000E+00,2.101E-01,1.047E-01,4.173E-01,2.135E+01,1.511E+00,-5.348E-01,1.132E+01,2.141E+00,3.142E+00,-1.755E-04,2.188E+00,2.185E+00,9.197E-02,4.514E+00,1.619E+00,-3.256E-01,5.535E+00,1.707E+00,3.142E+00,-3.139E-04,2.455E+00,2.450E+00,1.971E-01,2.337E+00,1.571E+00,-4.537E-01,8.809E+00,1.844E+00,3.142E+00,9.684E-03,2.155E+00,2.284E+00,9.132E-02,4.746E+00
74,0.000E+00,2.206E-01,1.100E-01,4.384E-01,2.242E+01,1.486E+00,-5.190E-01,1.075E+01,2.288E+00,3.142E+00,-2.185E-03,2.226E+00,2.197E+00,9.425E-02,4.412E+00,1.622E+00,-3.257E-01,5.497E+00,1.700E+00,3.142E+00,-1.801E-03,2.458E+00,2.431E+00,1.975E-01,2.333E+00,1.551E+00,-4.603E-01,8.985E+00,1.941E+00,3.142E+00,7.029E-03,2.198E+00,2.293E+00,9.307E-02,4.661E+00
75,0.000E+00,2.319E-01,1.156E-01,4.605E-01,2.356E+01,1.462E+00,-5.064E-01,1.045E+01,2.416E+00,3.142E+00,9.131E-03,2.055E+00,2.162E+00,9.537E-02,4.365E+00,1.589E+00,-3.183E-01,5.543E+00,1.819E+00,3.142E+00,-4.710E-04,2.433E+00,2.426E+00,1.999E-01,2.306E+00,1.530E+00,-4.349E-01,8.125E+00,2.080E+00,3.142E+00,5.931E-03,2.195E+00,2.275E+00,9.387E-02,4.624E+00
76,0.000E+00,2.432E-01,1.212E-01,4.827E-01,2.471E+01,1.441E+00,-4.938E-01,1.014E+01,2.543E+00,3.142E+00,2.045E-02,1.883E+00,2.127E+00,9.649E-02,4.318E+00,1.558E+00,-3.108E-01,5.589E+00,1.938E+00,3.142E+00,8.592E-04,2.408E+00,2.420E+00,2.022E-01,2.280E+00,1.514E+00,-4.096E-01,7.265E+00,2.219E+00,3.142E+00,4.833E-03,2.192E+00,2.256E+00,9.467E-02,4.587E+00
77,0.000E+00,2.554E-01,1.273E-01,5.070E-01,2.595E+01,1.423E+00,-4.698E-01,9.200E+00,2.716E+00,3.142E+00,1.255E-02,1.946E+00,2.096E+00,9.343E-02,4.451E+00,1.541E+00,-3.054E-01,5.588E+00,2.005E+00,3.142E+00,1.156E-03,2.373E+00,2.389E+00,1.968E-01,2.342E+00,1.481E+00,-3.867E-01,7.123E+00,2.350E+00,3.142E+00,9.633E-03,2.059E+00,2.178E+00,9.234E-02,4.698E+00
78,0.000E+00,2.675E-01,1.333E-01,5.313E-01,2.719E+01,1.410E+00,-4.459E-01,8.256E+00,2.888E+00,3.142E+00,4.644E-03,2.008E+00,2.064E+00,9.038E-02,4.583E+00,1.525E+00,-3.000E-01,5.587E+00,2.071E+00,3.142E+00,1.452E-03,2.338E+00,2.358E+00,1.913E-01,2.405E+00,1.450E+00,-3.638E-01,6.981E+00,2.482E+00,3.142E+00,1.443E-02,1.926E+00,2.099E+00,9.000E-02,4.809E+00
79,0.000E+00,2.793E-01,1.392E-01,5.549E-01,2.839E+01,1.377E+00,-4.405E-01,8.481E+00,3.082E+00,3.142E+00,6.948E-03,1.949E+00,2.030E+00,8.848E-02,4.675E+00,1.504E+00,-2.808E-01,5.196E+00,2.228E+00,3.142E+00,4.354E-03,2.260E+00,2.319E+00,1.935E-01,2.379E+00,1.449E+00,-3.661E-01,7.010E+00,2.496E+00,3.142E+00,1.069E-02,1.972E+00,2.101E+00,8.994E-02,4.812E+00
80,0.000E+00,2.911E-01,1.451E-01,5.785E-01,2.959E+01,1.345E+00,-4.351E-01,8.705E+00,3.276E+00,3.142E+00,9.252E-03,1.889E+00,1.995E+00,8.658E-02,4.766E+00,1.486E+00,-2.616E-01,4.804E+00,2.385E+00,3.142E+00,7.256E-03,2.182E+00,2.279E+00,1.956E-01,2.354E+00,1.447E+00,-3.685E-01,7.038E+00,2.511E+00,3.142E+00,6.954E-03,2.018E+00,2.104E+00,8.987E-02,4.815E+00
81,0.000E+00,2.995E-01,1.492E-01,5.948E-01,3.043E+01,1.317E+00,-4.029E-01,7.871E+00,3.604E+00,3.142E+00,1.292E-02,1.802E+00,1.942E+00,8.660E-02,4.765E+00,1.456E+00,-2.526E-01,4.765E+00,2.571E+00,3.142E+00,5.203E-03,2.149E+00,2.218E+00,1.943E-01,2.370E+00,1.381E+00,-3.543E-01,6.941E+00,2.971E+00,3.142E+00,7.174E-03,1.958E+00,2.042E+00,8.768E-02,4.930E+00
82,0.000E+00,3.078E-01,1.534E-01,6.111E-01,3.128E+01,1.295E+00,-3.708E-01,7.038E+00,3.932E+00,3.142E+00,1.658E-02,1.715E+00,1.890E+00,8.662E-02,4.764E+00,1.428E+00,-2.436E-01,4.726E+00,2.757E+00,3.142E+00,3.151E-03,2.117E+00,2.157E+00,1.929E-01,2.386E+00,1.327E+00,-3.401E-01,6.844E+00,3.432E+00,3.142E+00,7.394E-03,1.897E+00,1.981E+00,8.549E-02,5.044E+00
83,0.000E+00,3.062E-01,1.526E-01,6.079E-01,3.111E+01,1.214E+00,-3.526E-01,6.849E+00,5.046E+00,3.142E+00,4.284E-02,1.432E+00,1.812E+00,8.546E-02,4.824E+00,1.373E+00,-2.236E-01,4.625E+00,3.183E+00,3.142E+00,4.754E-03,2.040E+00,2.098E+00,1.904E-01,2.416E+00,1.269E+00,-3.152E-01,6.448E+00,4.090E+00,3.142E+00,2.861E-02,1.646E+00,1.928E+00,8.426E-02,5.113E+00
84,0.000E+00,3.046E-01,1.517E-01,6.047E-01,3.095E+01,1.154E+00,-3.344E-01,6.661E+00,6.159E+00,3.142E+00,6.910E-02,1.149E+00,1.734E+00,8.430E-02,4.883E+00,1.325E+00,-2.037E-01,4.524E+00,3.610E+00,3.142E+00,6.356E-03,1.963E+00,2.038E+00,1.879E-01,2.447E+00,1.225E+00,-2.903E-01,6.052E+00,4.748E+00,3.142E+00,4.983E-02,1.396E+00,1.874E+00,8.303E-02,5.183E+00
85,0.000E+00,2.694E-01,1.342E-01,5.351E-01,2.738E+01,1.002E+00,-3.025E-01,6.755E+00,1.060E+01,3.142E+00,7.830E-02,9.957E-01,1.581E+00,8.167E-02,5.030E+00,1.261E+00,-1.976E-01,4.770E+00,4.216E+00,3.142E+00,1.712E-02,1.720E+00,1.887E+00,1.839E-01,2.499E+00,1.146E+00,-2.757E-01,5.925E+00,6.253E+00,3.142E+00,6.926E-02,1.134E+00,1.682E+00,8.284E-02,5.194E+00
86,0.000E+00,2.343E-01,1.167E-01,4.654E-01,2.381E+01,9.136E-01,-2.705E-01,6.849E+00,1.504E+01,3.142E+00,8.750E-02,8.423E-01,1.428E+00,7.904E-02,5.177E+00,1.205E+00,-1.915E-01,5.016E+00,4.821E+00,3.142E+00,2.788E-02,1.477E+00,1.736E+00,1.799E-01,2.552E+00,1.089E+00,-2.610E-01,5.797E+00,7.758E+00,3.142E+00,8.869E-02,8.721E-01,1.489E+00,8.264E-02,5.206E+00
87,0.000E+00,1.230E-01,6.126E-02,2.442E-01,1.250E+01,1.164E+00,-1.353E-01,3.424E+00,7.521E+00,1.571E+00,4.375E-02,4.211E-01,7.138E-01,3.952E-02,2.588E+00,1.535E+00,-9.576E-02,2.508E+00,2.411E+00,1.571E+00,1.394E-02,7.383E-01,8.681E-01,8.993E-02,1.276E+00,1.378E+00,-1.305E-01,2.899E+00,3.879E+00,1.571E+00,4.435E-02,4.361E-01,7.445E-01,4.132E-02,2.603E+00
88,0.000E+00,1.170E-02,5.784E-03,2.305E-02,1.185E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
