alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
37,0.000E+00,0.000E+00,8.076E-03,0.000E+00,0.000E+00,2.061E-04,6.030E-04,4.118E-03,1.589E-02,8.423E-01,1.746E+00,-3.041E-01,3.279E+00,1.713E+00,3.142E+00,-1.090E-03,2.397E+00,2.381E+00,5.536E-02,4.198E+00,1.695E+00,-2.362E-01,2.994E+00,1.827E+00,3.142E+00,-1.241E-03,2.752E+00,2.731E+00,1.016E-01,3.443E+00,1.772E+00,-3.317E-01,3.410E+00,1.644E+00,3.142E+00,-3.095E-03,2.642E+00,2.592E+00,5.007E-02,5.446E+00
38,0.000E+00,0.000E+00,8.265E-03,0.000E+00,0.000E+00,2.274E-04,6.599E-04,4.224E-03,1.628E-02,8.641E-01,1.751E+00,-3.230E-01,3.457E+00,1.689E+00,3.142E+00,-6.884E-04,2.389E+00,2.378E+00,5.519E-02,4.207E+00,1.696E+00,-2.422E-01,3.033E+00,1.827E+00,3.142E+00,-1.011E-03,2.751E+00,2.734E+00,1.014E-01,3.447E+00,1.773E+00,-3.369E-01,3.420E+00,1.650E+00,3.142E+00,-3.190E-03,2.639E+00,2.587E+00,4.960E-02,5.483E+00
39,0.000E+00,0.000E+00,8.453E-03,0.000E+00,0.000E+00,2.488E-04,7.167E-04,4.331E-03,1.667E-02,8.859E-01,1.757E+00,-3.419E-01,3.636E+00,1.665E+00,3.142E+00,-2.865E-04,2.381E+00,2.376E+00,5.501E-02,4.216E+00,1.697E+00,-2.481E-01,3.072E+00,1.826E+00,3.142E+00,-7.803E-04,2.750E+00,2.737E+00,1.013E-01,3.452E+00,1.775E+00,-3.422E-01,3.429E+00,1.655E+00,3.142E+00,-3.284E-03,2.637E+00,2.583E+00,4.913E-02,5.521E+00
40,0.000E+00,0.000E+00,8.642E-03,0.000E+00,0.000E+00,2.701E-04,7.735E-04,4.437E-03,1.706E-02,9.078E-01,1.763E+00,-3.608E-01,3.814E+00,1.641E+00,3.142E+00,1.154E-04,2.373E+00,2.374E+00,5.484E-02,4.225E+00,1.699E+00,-2.541E-01,3.110E+00,1.826E+00,3.142E+00,-5.499E-04,2.750E+00,2.740E+00,1.011E-01,3.456E+00,1.777E+00,-3.475E-01,3.439E+00,1.661E+00,3.142E+00,-3.378E-03,2.634E+00,2.579E+00,4.867E-02,5.559E+00
41,0.000E+00,0.000E+00,8.831E-03,0.000E+00,0.000E+00,2.915E-04,8.303E-04,4.543E-03,1.746E-02,9.296E-01,1.770E+00,-3.797E-01,3.992E+00,1.617E+00,3.142E+00,5.173E-04,2.365E+00,2.372E+00,5.466E-02,4.235E+00,1.700E+00,-2.601E-01,3.149E+00,1.826E+00,3.142E+00,-3.195E-04,2.749E+00,2.743E+00,1.010E-01,3.460E+00,1.779E+00,-3.528E-01,3.448E+00,1.667E+00,3.142E+00,-3.472E-03,2.631E+00,2.575E+00,4.820E-02,5.596E+00
42,0.000E+00,0.000E+00,9.019E-03,0.000E+00,0.000E+00,3.129E-04,8.871E-04,4.649E-03,1.785E-02,9.515E-01,1.778E+00,-3.986E-01,4.170E+00,1.594E+00,3.142E+00,9.192E-04,2.357E+00,2.370E+00,5.449E-02,4.244E+00,1.701E+00,-2.660E-01,3.188E+00,1.825E+00,3.142E+00,-8.901E-05,2.748E+00,2.746E+00,1.008E-01,3.465E+00,1.781E+00,-3.581E-01,3.458E+00,1.673E+00,3.142E+00,-3.567E-03,2.629E+00,2.571E+00,4.773E-02,5.634E+00
43,0.000E+00,0.000E+00,9.208E-03,0.000E+00,0.000E+00,3.342E-04,9.440E-04,4.755E-03,1.824E-02,9.733E-01,1.787E+00,-4.175E-01,4.348E+00,1.570E+00,3.142E+00,1.321E-03,2.349E+00,2.367E+00,5.431E-02,4.253E+00,1.703E+00,-2.720E-01,3.226E+00,1.825E+00,3.142E+00,1.414E-04,2.747E+00,2.749E+00,1.007E-01,3.469E+00,1.782E+00,-3.633E-01,3.468E+00,1.678E+00,3.142E+00,-3.661E-03,2.626E+00,2.567E+00,4.726E-02,5.672E+00
44,0.000E+00,0.000E+00,9.396E-03,0.000E+00,0.000E+00,3.556E-04,1.001E-03,4.862E-03,1.863E-02,9.952E-01,1.796E+00,-4.364E-01,4.526E+00,1.546E+00,3.142E+00,1.723E-03,2.341E+00,2.365E+00,5.413E-02,4.262E+00,1.704E+00,-2.779E-01,3.265E+00,1.825E+00,3.142E+00,3.719E-04,2.746E+00,2.753E+00,1.005E-01,3.474E+00,1.784E+00,-3.686E-01,3.477E+00,1.684E+00,3.142E+00,-3.755E-03,2.623E+00,2.563E+00,4.680E-02,5.710E+00
45,0.000E+00,0.000E+00,9.585E-03,0.000E+00,0.000E+00,3.770E-04,1.058E-03,4.968E-03,1.903E-02,1.017E+00,1.805E+00,-4.553E-01,4.705E+00,1.522E+00,3.142E+00,2.125E-03,2.333E+00,2.363E+00,5.396E-02,4.271E+00,1.705E+00,-2.839E-01,3.304E+00,1.825E+00,3.142E+00,6.023E-04,2.745E+00,2.756E+00,1.004E-01,3.478E+00,1.786E+00,-3.739E-01,3.487E+00,1.690E+00,3.142E+00,-3.849E-03,2.621E+00,2.559E+00,4.633E-02,5.747E+00
46,0.000E+00,0.000E+00,1.010E-02,0.000E+00,0.000E+00,4.292E-04,1.177E-03,5.268E-03,1.987E-02,1.073E+00,1.805E+00,-4.988E-01,5.424E+00,1.502E+00,3.142E+00,-1.646E-03,2.451E+00,2.424E+00,5.469E-02,4.232E+00,1.688E+00,-2.593E-01,2.977E+00,1.977E+00,3.142E+00,-1.497E-04,2.782E+00,2.780E+00,1.003E-01,3.481E+00,1.759E+00,-4.031E-01,3.908E+00,1.762E+00,3.142E+00,-2.504E-03,2.612E+00,2.571E+00,4.879E-02,5.540E+00
