alpha,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
36,0.000E+00,0.000E+00,1.478E-02,0.000E+00,3.216E-02,3.918E-02,1.734E-02,5.710E-02,3.731E+00,1.732E+00,-3.796E-01,4.678E+00,1.600E+00,3.142E+00,8.569E-03,2.289E+00,2.412E+00,1.162E-01,3.719E+00,1.690E+00,-2.176E-01,2.841E+00,1.852E+00,3.142E+00,6.132E-04,2.595E+00,2.605E+00,1.218E-01,3.701E+00,1.735E+00,-3.744E-01,3.982E+00,1.758E+00,3.142E+00,-5.407E-04,2.348E+00,2.340E+00,7.940E-02,5.409E+00
37,0.000E+00,0.000E+00,1.511E-02,0.000E+00,3.304E-02,4.017E-02,1.787E-02,5.873E-02,3.833E+00,1.731E+00,-3.962E-01,5.012E+00,1.582E+00,3.142E+00,9.295E-03,2.284E+00,2.418E+00,1.160E-01,3.727E+00,1.691E+00,-2.237E-01,2.906E+00,1.838E+00,3.142E+00,7.329E-04,2.595E+00,2.607E+00,1.216E-01,3.706E+00,1.738E+00,-3.828E-01,4.088E+00,1.742E+00,3.142E+00,-3.011E-04,2.350E+00,2.346E+00,7.903E-02,5.432E+00
38,0.000E+00,0.000E+00,1.545E-02,0.000E+00,3.392E-02,4.116E-02,1.840E-02,6.035E-02,3.934E+00,1.731E+00,-4.127E-01,5.345E+00,1.563E+00,3.142E+00,1.002E-02,2.279E+00,2.423E+00,1.157E-01,3.734E+00,1.693E+00,-2.298E-01,2.970E+00,1.825E+00,3.142E+00,8.526E-04,2.594E+00,2.608E+00,1.214E-01,3.712E+00,1.740E+00,-3.911E-01,4.193E+00,1.726E+00,3.142E+00,-6.163E-05,2.351E+00,2.351E+00,7.867E-02,5.455E+00
39,0.000E+00,0.000E+00,1.579E-02,0.000E+00,3.480E-02,4.216E-02,1.893E-02,6.198E-02,4.036E+00,1.732E+00,-4.292E-01,5.679E+00,1.545E+00,3.142E+00,1.075E-02,2.274E+00,2.429E+00,1.155E-01,3.741E+00,1.694E+00,-2.359E-01,3.034E+00,1.811E+00,3.142E+00,9.723E-04,2.594E+00,2.610E+00,1.213E-01,3.717E+00,1.743E+00,-3.995E-01,4.299E+00,1.711E+00,3.142E+00,1.779E-04,2.353E+00,2.356E+00,7.831E-02,5.478E+00
40,0.000E+00,0.000E+00,1.613E-02,0.000E+00,3.569E-02,4.315E-02,1.946E-02,6.361E-02,4.138E+00,1.735E+00,-4.458E-01,6.012E+00,1.527E+00,3.142E+00,1.147E-02,2.268E+00,2.434E+00,1.152E-01,3.749E+00,1.695E+00,-2.420E-01,3.098E+00,1.798E+00,3.142E+00,1.092E-03,2.594E+00,2.612E+00,1.211E-01,3.723E+00,1.747E+00,-4.079E-01,4.404E+00,1.695E+00,3.142E+00,4.174E-04,2.355E+00,2.361E+00,7.795E-02,5.501E+00
41,0.000E+00,0.000E+00,1.646E-02,0.000E+00,3.657E-02,4.414E-02,1.998E-02,6.523E-02,4.239E+00,1.738E+00,-4.623E-01,6.346E+00,1.509E+00,3.142E+00,1.220E-02,2.263E+00,2.439E+00,1.150E-01,3.756E+00,1.697E+00,-2.481E-01,3.163E+00,1.784E+00,3.142E+00,1.212E-03,2.594E+00,2.614E+00,1.209E-01,3.728E+00,1.750E+00,-4.163E-01,4.510E+00,1.679E+00,3.142E+00,6.569E-04,2.357E+00,2.366E+00,7.759E-02,5.524E+00
42,0.000E+00,0.000E+00,1.680E-02,0.000E+00,3.745E-02,4.514E-02,2.051E-02,6.686E-02,4.341E+00,1.743E+00,-4.788E-01,6.679E+00,1.490E+00,3.142E+00,1.292E-02,2.258E+00,2.445E+00,1.147E-01,3.763E+00,1.699E+00,-2.543E-01,3.227E+00,1.771E+00,3.142E+00,1.331E-03,2.594E+00,2.616E+00,1.207E-01,3.733E+00,1.754E+00,-4.246E-01,4.616E+00,1.663E+00,3.142E+00,8.964E-04,2.358E+00,2.372E+00,7.722E-02,5.547E+00
43,0.000E+00,0.000E+00,1.714E-02,0.000E+00,3.833E-02,4.613E-02,2.104E-02,6.848E-02,4.442E+00,1.748E+00,-4.954E-01,7.012E+00,1.472E+00,3.142E+00,1.365E-02,2.253E+00,2.450E+00,1.145E-01,3.771E+00,1.701E+00,-2.604E-01,3.291E+00,1.757E+00,3.142E+00,1.451E-03,2.594E+00,2.617E+00,1.205E-01,3.739E+00,1.757E+00,-4.330E-01,4.721E+00,1.648E+00,3.142E+00,1.136E-03,2.360E+00,2.377E+00,7.686E-02,5.570E+00
44,0.000E+00,0.000E+00,1.747E-02,0.000E+00,3.922E-02,4.712E-02,2.157E-02,7.011E-02,4.544E+00,1.754E+00,-5.119E-01,7.346E+00,1.454E+00,3.142E+00,1.438E-02,2.248E+00,2.455E+00,1.142E-01,3.778E+00,1.703E+00,-2.665E-01,3.355E+00,1.744E+00,3.142E+00,1.571E-03,2.593E+00,2.619E+00,1.203E-01,3.744E+00,1.761E+00,-4.414E-01,4.827E+00,1.632E+00,3.142E+00,1.375E-03,2.362E+00,2.382E+00,7.650E-02,5.593E+00
45,0.000E+00,0.000E+00,1.781E-02,0.000E+00,4.010E-02,4.812E-02,2.210E-02,7.174E-02,4.646E+00,1.761E+00,-5.284E-01,7.679E+00,1.436E+00,3.142E+00,1.510E-02,2.243E+00,2.461E+00,1.140E-01,3.786E+00,1.706E+00,-2.726E-01,3.420E+00,1.730E+00,3.142E+00,1.691E-03,2.593E+00,2.621E+00,1.201E-01,3.750E+00,1.765E+00,-4.498E-01,4.932E+00,1.616E+00,3.142E+00,1.615E-03,2.364E+00,2.387E+00,7.614E-02,5.616E+00
46,0.000E+00,0.000E+00,1.849E-02,0.000E+00,4.201E-02,5.009E-02,2.347E-02,7.568E-02,4.874E+00,1.742E+00,-5.709E-01,1.054E+01,1.360E+00,3.142E+00,1.331E-02,2.260E+00,2.452E+00,1.128E-01,3.822E+00,1.691E+00,-2.674E-01,3.413E+00,1.782E+00,3.142E+00,1.602E-03,2.605E+00,2.632E+00,1.205E-01,3.739E+00,1.753E+00,-4.811E-01,5.998E+00,1.560E+00,3.142E+00,2.950E-03,2.362E+00,2.405E+00,7.607E-02,5.621E+00
47,0.000E+00,0.000E+00,1.916E-02,0.000E+00,4.392E-02,5.207E-02,2.483E-02,7.963E-02,5.103E+00,1.746E+00,-6.133E-01,1.339E+01,1.285E+00,3.142E+00,1.152E-02,2.277E+00,2.444E+00,1.117E-01,3.859E+00,1.677E+00,-2.622E-01,3.406E+00,1.833E+00,3.142E+00,1.513E-03,2.618E+00,2.642E+00,1.208E-01,3.729E+00,1.750E+00,-5.124E-01,7.063E+00,1.503E+00,3.142E+00,4.286E-03,2.360E+00,2.424E+00,7.600E-02,5.626E+00
48,0.000E+00,0.000E+00,1.984E-02,0.000E+00,4.583E-02,5.405E-02,2.620E-02,8.358E-02,5.332E+00,1.766E+00,-6.558E-01,1.625E+01,1.209E+00,3.142E+00,9.732E-03,2.294E+00,2.435E+00,1.106E-01,3.895E+00,1.664E+00,-2.570E-01,3.398E+00,1.885E+00,3.142E+00,1.424E-03,2.630E+00,2.653E+00,1.212E-01,3.718E+00,1.755E+00,-5.437E-01,8.129E+00,1.447E+00,3.142E+00,5.621E-03,2.359E+00,2.442E+00,7.593E-02,5.631E+00
49,0.000E+00,0.000E+00,2.018E-02,0.000E+00,4.679E-02,5.504E-02,2.688E-02,8.556E-02,5.446E+00,1.779E+00,-6.770E-01,1.768E+01,1.171E+00,3.142E+00,8.837E-03,2.303E+00,2.431E+00,1.100E-01,3.914E+00,1.657E+00,-2.544E-01,3.395E+00,1.911E+00,3.142E+00,1.379E-03,2.636E+00,2.659E+00,1.214E-01,3.713E+00,1.760E+00,-5.593E-01,8.661E+00,1.418E+00,3.142E+00,6.289E-03,2.358E+00,2.451E+00,7.589E-02,5.633E+00
