alpha,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
63,0.000E+00,8.184E-02,0.000E+00,1.086E-04,1.600E-02,2.874E-02,9.782E-02,2.650E-01,1.525E+01,1.619E+00,-6.421E-01,1.667E+01,1.629E+00,3.142E+00,3.666E-03,2.388E+00,2.442E+00,6.569E-02,6.155E+00,1.645E+00,-6.371E-01,1.727E+01,1.500E+00,3.142E+00,6.309E-04,2.476E+00,2.485E+00,9.354E-02,4.443E+00,1.581E+00,-3.329E-01,5.985E+00,1.818E+00,3.142E+00,-8.696E-04,2.727E+00,2.713E+00,1.427E-01,3.183E+00
64,0.000E+00,8.342E-02,0.000E+00,1.117E-04,1.686E-02,3.014E-02,1.003E-01,2.710E-01,1.563E+01,1.610E+00,-6.352E-01,1.635E+01,1.662E+00,3.142E+00,4.081E-03,2.391E+00,2.452E+00,6.547E-02,6.173E+00,1.639E+00,-6.411E-01,1.802E+01,1.501E+00,3.142E+00,1.266E-03,2.463E+00,2.482E+00,9.390E-02,4.427E+00,1.583E+00,-3.456E-01,6.282E+00,1.792E+00,3.142E+00,-1.105E-03,2.725E+00,2.706E+00,1.428E-01,3.181E+00
65,0.000E+00,8.501E-02,0.000E+00,1.148E-04,1.772E-02,3.154E-02,1.027E-01,2.770E-01,1.602E+01,1.600E+00,-6.284E-01,1.602E+01,1.696E+00,3.142E+00,4.496E-03,2.394E+00,2.461E+00,6.525E-02,6.192E+00,1.634E+00,-6.450E-01,1.877E+01,1.501E+00,3.142E+00,1.901E-03,2.450E+00,2.479E+00,9.426E-02,4.411E+00,1.587E+00,-3.582E-01,6.579E+00,1.766E+00,3.142E+00,-1.341E-03,2.722E+00,2.699E+00,1.429E-01,3.178E+00
66,0.000E+00,8.864E-02,0.000E+00,1.219E-04,2.059E-02,3.624E-02,1.092E-01,2.915E-01,1.703E+01,1.576E+00,-6.124E-01,1.557E+01,1.772E+00,3.142E+00,4.759E-03,2.356E+00,2.426E+00,6.536E-02,6.183E+00,1.593E+00,-6.207E-01,1.734E+01,1.641E+00,3.142E+00,2.750E-03,2.397E+00,2.437E+00,9.277E-02,4.479E+00,1.578E+00,-3.519E-01,6.555E+00,1.791E+00,3.142E+00,-1.117E-03,2.723E+00,2.704E+00,1.423E-01,3.191E+00
67,0.000E+00,9.226E-02,0.000E+00,1.289E-04,2.346E-02,4.094E-02,1.157E-01,3.061E-01,1.804E+01,1.553E+00,-5.965E-01,1.511E+01,1.847E+00,3.142E+00,5.022E-03,2.318E+00,2.390E+00,6.547E-02,6.173E+00,1.558E+00,-5.964E-01,1.591E+01,1.781E+00,3.142E+00,3.600E-03,2.343E+00,2.394E+00,9.128E-02,4.546E+00,1.568E+00,-3.457E-01,6.531E+00,1.816E+00,3.142E+00,-8.942E-04,2.724E+00,2.709E+00,1.417E-01,3.205E+00
68,0.000E+00,9.588E-02,0.000E+00,1.359E-04,2.632E-02,4.564E-02,1.222E-01,3.207E-01,1.904E+01,1.531E+00,-5.806E-01,1.465E+01,1.923E+00,3.142E+00,5.284E-03,2.280E+00,2.355E+00,6.558E-02,6.164E+00,1.528E+00,-5.721E-01,1.449E+01,1.921E+00,3.142E+00,4.450E-03,2.290E+00,2.352E+00,8.979E-02,4.614E+00,1.559E+00,-3.394E-01,6.508E+00,1.841E+00,3.142E+00,-6.709E-04,2.726E+00,2.714E+00,1.411E-01,3.218E+00
69,0.000E+00,9.770E-02,0.000E+00,1.395E-04,2.776E-02,4.800E-02,1.255E-01,3.280E-01,1.955E+01,1.521E+00,-5.726E-01,1.442E+01,1.961E+00,3.142E+00,5.416E-03,2.261E+00,2.337E+00,6.563E-02,6.159E+00,1.516E+00,-5.600E-01,1.377E+01,1.991E+00,3.142E+00,4.875E-03,2.263E+00,2.331E+00,8.904E-02,4.648E+00,1.555E+00,-3.363E-01,6.496E+00,1.854E+00,3.142E+00,-5.593E-04,2.726E+00,2.717E+00,1.408E-01,3.225E+00
70,0.000E+00,9.951E-02,0.000E+00,1.430E-04,2.919E-02,5.035E-02,1.287E-01,3.353E-01,2.005E+01,1.511E+00,-5.647E-01,1.420E+01,1.999E+00,3.142E+00,5.547E-03,2.242E+00,2.319E+00,6.569E-02,6.155E+00,1.504E+00,-5.478E-01,1.306E+01,2.061E+00,3.142E+00,5.300E-03,2.237E+00,2.310E+00,8.830E-02,4.682E+00,1.550E+00,-3.332E-01,6.484E+00,1.866E+00,3.142E+00,-4.477E-04,2.727E+00,2.719E+00,1.404E-01,3.232E+00
71,0.000E+00,1.019E-01,0.000E+00,1.422E-04,3.315E-02,5.660E-02,1.350E-01,3.480E-01,2.104E+01,1.484E+00,-5.627E-01,1.448E+01,2.108E+00,3.142E+00,5.131E-03,2.242E+00,2.313E+00,6.514E-02,6.202E+00,1.490E+00,-5.209E-01,1.179E+01,2.156E+00,3.142E+00,5.443E-03,2.275E+00,2.351E+00,8.976E-02,4.613E+00,1.540E+00,-3.300E-01,6.465E+00,1.911E+00,3.142E+00,9.367E-05,2.726E+00,2.728E+00,1.405E-01,3.231E+00
72,0.000E+00,1.042E-01,0.000E+00,1.414E-04,3.710E-02,6.286E-02,1.413E-01,3.607E-01,2.202E+01,1.458E+00,-5.607E-01,1.476E+01,2.216E+00,3.142E+00,4.714E-03,2.242E+00,2.307E+00,6.459E-02,6.249E+00,1.480E+00,-4.940E-01,1.052E+01,2.251E+00,3.142E+00,5.587E-03,2.312E+00,2.392E+00,9.123E-02,4.545E+00,1.529E+00,-3.268E-01,6.447E+00,1.956E+00,3.142E+00,6.350E-04,2.725E+00,2.736E+00,1.405E-01,3.230E+00
